RaceClass,Venue,Track,Distance,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 4,沙田,Turf,1200,31,383,90,44.31,8.09,23.5
Class 3,沙田,Turf,1200,10,163,28,49.17,6.13,17.18
Class 4,沙田,Turf,1400,9,150,27,49.11,6.0,18.0
Class 4,跑馬地,Turf,1200,10,149,32,35.42,6.71,21.48
Class 4,沙田,Turf,1000,13,137,26,43.34,9.49,18.98
Class 3,沙田,Turf,1400,8,117,17,56.76,6.84,14.53
Class 3,沙田,Turf,1000,4,67,12,43.62,5.97,17.91
Class 3,跑馬地,Turf,1200,4,61,12,34.23,6.56,19.67
Class 4,跑馬地,Turf,1650,3,43,8,35.35,6.98,18.6
Class 4,跑馬地,Turf,1000,3,42,11,32.98,7.14,26.19
Class 3,沙田,Turf,1600,2,40,6,37.61,5.0,15.0
Class 3,跑馬地,Turf,1650,4,37,9,27.46,10.81,24.32
Class 4,沙田,AWT,1200,3,37,9,33.02,8.11,24.32
Class 3,跑馬地,Turf,1000,2,34,5,28.32,5.88,14.71
Class 5,沙田,Turf,1400,2,30,6,26.47,6.67,20.0
Class 3,沙田,AWT,1200,2,28,4,38.81,7.14,14.29
Griffin,沙田,Turf,1000,3,26,9,21.04,11.54,34.62
Class 5,跑馬地,Turf,1200,3,21,6,22.2,14.29,28.57
Class 5,沙田,Turf,1200,2,19,6,26.29,10.53,31.58
Group 1,沙田,Turf,2000,0,18,6,37.49,0.0,33.33
Class 4,沙田,AWT,1650,2,17,4,27.09,11.76,23.53
Class 2,沙田,Turf,1400,2,16,5,25.94,12.5,31.25
Class 5,沙田,Turf,1600,1,16,4,30.58,6.25,25.0
Class 5,跑馬地,Turf,1000,1,15,3,18.17,6.67,20.0
Group 1,沙田,Turf,2400,2,14,4,11.74,14.29,28.57
Class 4,沙田,Turf,1600,0,14,3,48.69,0.0,21.43
Group 1,沙田,Turf,1600,0,14,1,41.39,0.0,7.14
Class 2,沙田,Turf,1200,0,13,1,35.04,0.0,7.69
Class 2,跑馬地,Turf,1650,1,12,3,24.82,8.33,25.0
Class 4,跑馬地,Turf,1800,1,11,2,23.26,9.09,18.18
Group 1,沙田,Turf,1200,0,11,1,104.82,0.0,9.09
Class 1,沙田,Turf,1200,1,10,3,25.17,10.0,30.0
Class 5,跑馬地,Turf,1650,1,10,3,11.08,10.0,30.0
Class 2,沙田,Turf,1600,1,9,1,34.4,11.11,11.11
Group 2,沙田,Turf,1600,1,9,3,22.49,11.11,33.33
Class 2,沙田,AWT,1650,1,8,3,15.25,12.5,37.5
Griffin,沙田,Turf,1200,1,8,1,39.86,12.5,12.5
Class 4,沙田,Turf,1800,0,6,2,47.83,0.0,33.33
Group 2,沙田,Turf,1200,0,6,2,60.38,0.0,33.33
Class 5,沙田,AWT,1650,0,5,1,11.56,0.0,20.0
Class 5,跑馬地,Turf,1800,1,4,2,17.58,25.0,50.0
Group 3,沙田,Turf,1400,1,4,3,9.55,25.0,75.0
Class 2,跑馬地,Turf,1200,0,4,1,31.48,0.0,25.0
Class 3,沙田,AWT,1650,0,4,0,66.75,0.0,0.0
Group 3,沙田,Turf,1000,0,4,1,12.12,0.0,25.0
Group 3,沙田,Turf,1800,0,4,0,34.6,0.0,0.0
Class 2,沙田,Turf,2000,0,3,0,28.0,0.0,0.0
Class 3,沙田,Turf,1800,0,3,0,56.33,0.0,0.0
Class 5,沙田,AWT,1200,0,3,0,22.37,0.0,0.0
Class 2,沙田,Turf,1800,1,2,1,17.0,50.0,50.0
Class 3,跑馬地,Turf,1800,0,2,0,20.35,0.0,0.0
Group 1,沙田,AWT,1200,0,2,0,40.5,0.0,0.0
Group 2,沙田,Turf,2000,1,1,1,1.1,100.0,100.0
Class 2,沙田,Turf,1000,0,1,0,65.0,0.0,0.0
Class 2,跑馬地,Turf,1800,0,1,1,14.0,0.0,100.0
Class 3,沙田,Turf,2000,0,1,0,2.3,0.0,0.0
Class 3,跑馬地,Turf,2200,0,1,0,24.0,0.0,0.0
Class 4,沙田,Turf,2000,0,1,0,33.0,0.0,0.0
Class 5,沙田,Turf,1000,0,1,0,25.0,0.0,0.0
Group 1,跑馬地,Turf,1650,0,1,0,13.0,0.0,0.0
Unknown,沙田,Turf,1800,0,1,0,129.0,0.0,0.0
