RaceClass,Venue,Track,Distance,DrawBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 4,沙田,Turf,1200,10+,8,106,26,57.55,7.55,24.53
Class 4,沙田,Turf,1200,7-9,7,99,18,45.15,7.07,18.18
Class 4,沙田,Turf,1200,1-3,10,90,26,31.85,11.11,28.89
Class 4,沙田,Turf,1200,4-6,6,88,20,40.15,6.82,22.73
Class 3,沙田,Turf,1200,7-9,3,47,10,50.06,6.38,21.28
Class 3,沙田,Turf,1200,10+,4,46,7,60.6,8.7,15.22
Class 4,沙田,Turf,1000,10+,5,44,12,33.15,11.36,27.27
Class 4,沙田,Turf,1400,10+,4,44,9,63.04,9.09,20.45
Class 4,沙田,Turf,1400,7-9,3,44,9,57.7,6.82,20.45
Class 4,跑馬地,Turf,1200,7-9,0,44,4,51.02,0.0,9.09
Class 4,跑馬地,Turf,1200,4-6,6,39,13,22.24,15.38,33.33
Class 4,跑馬地,Turf,1200,1-3,4,38,13,16.47,10.53,34.21
Class 4,沙田,Turf,1000,7-9,3,38,6,50.23,7.89,15.79
Class 3,沙田,Turf,1200,4-6,1,38,3,46.65,2.63,7.89
Class 4,沙田,Turf,1400,1-3,1,35,7,32.02,2.86,20.0
Class 3,沙田,Turf,1400,10+,3,33,7,64.89,9.09,21.21
Class 3,沙田,Turf,1400,4-6,1,33,4,56.11,3.03,12.12
Class 3,沙田,Turf,1200,1-3,2,32,8,34.39,6.25,25.0
Class 4,沙田,Turf,1000,4-6,4,29,6,36.35,13.79,20.69
Class 4,跑馬地,Turf,1200,10+,0,28,2,55.02,0.0,7.14
Class 3,沙田,Turf,1400,1-3,1,27,2,49.53,3.7,7.41
Class 4,沙田,Turf,1400,4-6,1,27,2,34.55,3.7,7.41
Class 4,沙田,Turf,1000,1-3,1,26,2,58.32,3.85,7.69
Class 3,沙田,Turf,1400,7-9,3,24,4,54.59,12.5,16.67
Class 3,沙田,Turf,1000,7-9,2,20,3,36.58,10.0,15.0
Class 3,沙田,Turf,1000,10+,1,19,5,28.99,5.26,26.32
Class 3,跑馬地,Turf,1200,1-3,1,19,2,24.99,5.26,10.53
Class 3,跑馬地,Turf,1200,7-9,1,19,5,41.2,5.26,26.32
Class 4,跑馬地,Turf,1650,7-9,1,16,4,42.71,6.25,25.0
Class 3,沙田,Turf,1000,1-3,0,16,3,60.22,0.0,18.75
Class 3,沙田,Turf,1600,4-6,0,14,1,35.77,0.0,7.14
Griffin,沙田,Turf,1000,4-6,3,12,6,17.92,25.0,50.0
Class 3,跑馬地,Turf,1200,4-6,2,12,4,33.37,16.67,33.33
Class 3,沙田,Turf,1000,4-6,1,12,1,56.38,8.33,8.33
Class 3,沙田,Turf,1600,10+,0,12,2,34.63,0.0,16.67
Class 4,跑馬地,Turf,1000,1-3,0,12,3,18.44,0.0,25.0
Class 3,跑馬地,Turf,1650,1-3,1,11,3,24.88,9.09,27.27
Class 4,沙田,AWT,1200,10+,1,11,2,47.81,9.09,18.18
Class 4,跑馬地,Turf,1000,7-9,1,11,2,47.24,9.09,18.18
Class 3,跑馬地,Turf,1000,4-6,0,11,1,29.42,0.0,9.09
Class 3,跑馬地,Turf,1200,10+,0,11,1,39.09,0.0,9.09
Class 4,跑馬地,Turf,1650,4-6,0,11,0,32.2,0.0,0.0
Griffin,沙田,Turf,1000,1-3,0,11,2,22.45,0.0,18.18
Class 3,跑馬地,Turf,1000,10+,1,10,2,38.62,10.0,20.0
Class 3,跑馬地,Turf,1650,7-9,1,10,2,24.28,10.0,20.0
Class 4,跑馬地,Turf,1000,10+,1,10,2,38.76,10.0,20.0
Class 5,沙田,Turf,1400,7-9,1,10,1,44.6,10.0,10.0
Class 3,沙田,AWT,1200,10+,0,10,1,44.34,0.0,10.0
Class 4,沙田,AWT,1200,1-3,2,9,2,31.87,22.22,22.22
Class 4,跑馬地,Turf,1000,4-6,1,9,4,28.51,11.11,44.44
Class 3,沙田,Turf,1600,7-9,0,9,0,57.78,0.0,0.0
Class 4,沙田,AWT,1200,7-9,0,9,2,16.67,0.0,22.22
Class 3,跑馬地,Turf,1650,4-6,2,8,3,25.08,25.0,37.5
Class 4,跑馬地,Turf,1650,1-3,1,8,3,12.08,12.5,37.5
Class 4,跑馬地,Turf,1650,10+,1,8,1,48.26,12.5,12.5
Class 5,跑馬地,Turf,1200,4-6,1,8,4,19.23,12.5,50.0
Class 3,沙田,AWT,1200,7-9,0,8,0,45.62,0.0,0.0
Class 3,跑馬地,Turf,1650,10+,0,8,1,37.38,0.0,12.5
Class 4,沙田,AWT,1200,4-6,0,8,3,32.4,0.0,37.5
Class 5,沙田,Turf,1400,4-6,0,8,3,9.6,0.0,37.5
Class 2,沙田,Turf,1400,1-3,2,7,2,40.06,28.57,28.57
Class 3,跑馬地,Turf,1000,1-3,0,7,1,15.14,0.0,14.29
Group 1,沙田,Turf,2000,7-9,0,7,1,48.44,0.0,14.29
Class 4,沙田,AWT,1650,7-9,2,6,3,17.48,33.33,50.0
Class 5,沙田,Turf,1200,7-9,2,6,3,23.67,33.33,50.0
Class 5,跑馬地,Turf,1200,1-3,2,6,2,31.18,33.33,33.33
Class 3,沙田,AWT,1200,1-3,1,6,1,30.22,16.67,16.67
Class 3,跑馬地,Turf,1000,7-9,1,6,1,24.52,16.67,16.67
Class 5,沙田,Turf,1400,10+,1,6,2,12.6,16.67,33.33
Class 2,沙田,Turf,1400,4-6,0,6,2,10.55,0.0,33.33
Class 5,沙田,Turf,1400,1-3,0,6,0,32.63,0.0,0.0
Class 5,跑馬地,Turf,1200,7-9,0,6,0,18.57,0.0,0.0
Class 3,沙田,Turf,1600,1-3,2,5,3,13.56,40.0,60.0
Class 2,沙田,Turf,1600,4-6,1,5,1,38.42,20.0,20.0
Class 4,沙田,AWT,1650,1-3,0,5,1,23.46,0.0,20.0
Class 4,沙田,Turf,1600,1-3,0,5,1,23.76,0.0,20.0
Class 5,沙田,Turf,1200,4-6,0,5,1,32.52,0.0,20.0
Class 5,沙田,Turf,1600,10+,0,5,1,48.5,0.0,20.0
Class 5,跑馬地,Turf,1000,4-6,0,5,1,16.1,0.0,20.0
Group 1,沙田,Turf,2000,4-6,0,5,5,7.56,0.0,100.0
Class 3,沙田,AWT,1200,4-6,1,4,2,24.25,25.0,50.0
Class 5,沙田,Turf,1600,4-6,1,4,2,33.1,25.0,50.0
Class 5,跑馬地,Turf,1000,7-9,1,4,2,12.8,25.0,50.0
Group 1,沙田,Turf,2400,7-9,1,4,1,15.48,25.0,25.0
Class 2,沙田,Turf,1200,4-6,0,4,0,50.85,0.0,0.0
Class 4,沙田,AWT,1650,10+,0,4,0,38.6,0.0,0.0
Class 4,沙田,Turf,1600,7-9,0,4,0,53.75,0.0,0.0
Class 4,跑馬地,Turf,1800,7-9,0,4,1,33.2,0.0,25.0
Class 5,沙田,AWT,1650,4-6,0,4,1,10.7,0.0,25.0
Class 5,沙田,Turf,1200,1-3,0,4,1,11.8,0.0,25.0
Class 5,沙田,Turf,1200,10+,0,4,1,36.95,0.0,25.0
Class 5,沙田,Turf,1600,1-3,0,4,1,15.9,0.0,25.0
Group 1,沙田,Turf,1600,1-3,0,4,0,44.9,0.0,0.0
Group 1,沙田,Turf,1600,10+,0,4,1,19.2,0.0,25.0
Group 1,沙田,Turf,1600,7-9,0,4,0,56.25,0.0,0.0
Group 1,沙田,Turf,2000,1-3,0,4,0,33.25,0.0,0.0
Group 1,沙田,Turf,2400,1-3,0,4,0,10.05,0.0,0.0
Group 2,沙田,Turf,1200,1-3,0,4,1,40.33,0.0,25.0
Group 2,沙田,Turf,1600,7-9,0,4,2,19.85,0.0,50.0
Class 1,沙田,Turf,1200,7-9,1,3,1,31.1,33.33,33.33
Class 2,跑馬地,Turf,1650,7-9,1,3,2,30.23,33.33,66.67
Class 4,跑馬地,Turf,1800,4-6,1,3,1,10.7,33.33,33.33
Class 5,跑馬地,Turf,1650,4-6,1,3,1,7.67,33.33,33.33
Griffin,沙田,Turf,1200,1-3,1,3,1,30.53,33.33,33.33
Group 1,沙田,Turf,2400,4-6,1,3,2,13.67,33.33,66.67
Group 2,沙田,Turf,1600,1-3,1,3,1,18.03,33.33,33.33
Group 3,沙田,Turf,1400,1-3,1,3,2,6.07,33.33,66.67
Class 1,沙田,Turf,1200,1-3,0,3,2,8.13,0.0,66.67
Class 1,沙田,Turf,1200,4-6,0,3,0,34.0,0.0,0.0
Class 2,沙田,Turf,1200,1-3,0,3,1,22.03,0.0,33.33
