Jockey,DebutWins,DebutStarts,DebutPlaces,DebutProfit,DebutAvgOdds,DebutWinRate,DebutPlaceRate,DebutROI,OverallWins,OverallStarts,OverallPlaces,OverallProfit,OverallAvgOdds,OverallWinRate,OverallPlaceRate,OverallROI,WinRateUplift,PlaceRateUplift,ROIUplift
潘頓,30,125,62,-15.8,5.73,24.0,49.6,-12.64,249,1143,556,-250.1,5.51,21.78,48.64,-21.88,2.22,0.96,9.24
田泰安,8,122,25,5.600000000000001,31.25,6.56,20.49,4.59,78,1132,276,-322.7,24.4,6.89,24.38,-28.51,-0.33,-3.89,33.1
梁家俊,6,103,23,-10.0,41.66,5.83,22.33,-9.71,59,783,172,-6.100000000000023,38.16,7.54,21.97,-0.78,-1.71,0.36,-8.93
周俊樂,5,102,13,-64.6,51.03,4.9,12.75,-63.33,60,770,166,-216.8,35.59,7.79,21.56,-28.16,-2.89,-8.81,-35.17
希威森,5,101,15,-66.4,44.49,4.95,14.85,-65.74,53,867,190,-358.3,34.34,6.11,21.91,-41.33,-1.16,-7.06,-24.41
潘明輝,10,99,22,127.3,39.91,10.1,22.22,128.59,61,942,208,-137.9,32.35,6.48,22.08,-14.64,3.62,0.14,143.23
艾兆禮,3,94,19,-60.1,30.05,3.19,20.21,-63.94,111,1095,307,-225.70000000000002,23.93,10.14,28.04,-20.61,-6.95,-7.83,-43.33
布文,10,92,31,-35.2,20.62,10.87,33.7,-38.26,127,1054,353,-225.70000000000002,14.38,12.05,33.49,-21.41,-1.18,0.21,-16.85
艾道拿,5,92,23,-26.7,30.71,5.43,25.0,-29.02,62,855,220,-267.4,26.24,7.25,25.73,-31.27,-1.82,-0.73,2.25
蔡明紹,5,91,17,-19.200000000000003,44.35,5.49,18.68,-21.1,47,918,190,-420.2,33.71,5.12,20.7,-45.77,0.37,-2.02,24.67
霍宏聲,10,88,19,75.10000000000001,30.95,11.36,21.59,85.34,78,838,202,154.60000000000002,25.24,9.31,24.11,18.45,2.05,-2.52,66.89
鍾易禮,2,83,7,-36.8,54.69,2.41,8.43,-44.34,39,771,116,-166.6,48.52,5.06,15.05,-21.61,-2.65,-6.62,-22.73
何澤堯,9,82,21,-14.500000000000002,28.99,10.98,25.61,-17.68,56,598,166,-165.5,24.41,9.36,27.76,-27.68,1.62,-2.15,10.0
楊明綸,4,75,13,-19.200000000000003,51.16,5.33,17.33,-25.6,37,806,124,-224.0,54.61,4.59,15.38,-27.79,0.74,1.95,2.19
巴度,3,75,11,-56.7,44.85,4.0,14.67,-75.6,58,896,212,-390.2,28.27,6.47,23.66,-43.55,-2.47,-8.99,-32.05
班德禮,3,72,11,22.0,51.03,4.17,15.28,30.56,62,844,190,-246.7,32.04,7.35,22.51,-29.23,-3.18,-7.23,59.79
湯普新,0,61,6,-61.0,77.93,0.0,9.84,-100.0,9,380,52,-299.9,63.9,2.37,13.68,-78.92,-2.37,-3.84,-21.08
董明朗,2,39,3,-6.100000000000001,73.36,5.13,7.69,-15.64,12,307,47,-36.89999999999999,58.24,3.91,15.31,-12.02,1.22,-7.62,-3.62
賀銘年,0,34,2,-34.0,56.16,0.0,5.88,-100.0,12,273,49,-50.5,40.07,4.4,17.95,-18.5,-4.4,-12.07,-81.5
奧爾民,4,32,7,86.8,57.38,12.5,21.88,271.25,40,601,135,-49.800000000000004,39.96,6.66,22.46,-8.29,5.84,-0.58,279.54
黃智弘,2,31,4,-9.6,35.07,6.45,12.9,-30.97,45,553,131,-9.600000000000001,30.88,8.14,23.69,-1.74,-1.69,-10.79,-29.23
黃寶妮,2,26,3,59.0,33.93,7.69,11.54,226.92,28,342,64,-40.0,30.12,8.19,18.71,-11.7,-0.5,-7.17,238.62
巫顯東,0,23,2,-23.0,87.7,0.0,8.7,-100.0,8,236,22,-89.4,83.17,3.39,9.32,-37.88,-3.39,-0.62,-62.12
金誠剛,1,15,1,-11.5,72.57,6.67,6.67,-76.67,16,407,74,-119.2,52.03,3.93,18.18,-29.29,2.74,-11.51,-47.38
麥道朗,3,9,4,1.4000000000000004,11.88,33.33,44.44,15.56,43,228,97,-40.6,9.86,18.86,42.54,-17.81,14.47,1.9,33.37
潘大衛,0,7,1,-7.0,50.57,0.0,14.29,-100.0,0,132,8,-132.0,67.62,0.0,6.06,-100.0,0.0,8.23,0.0
貝知仁,0,7,1,-7.0,48.57,0.0,14.29,-100.0,2,106,15,-79.0,39.08,1.89,14.15,-74.53,-1.89,0.14,-25.47
陳嘉熙,0,7,3,-7.0,13.47,0.0,42.86,-100.0,1,18,4,-15.9,22.52,5.56,22.22,-88.33,-5.56,20.64,-11.67
莫雷拉,0,7,4,-7.0,16.89,0.0,57.14,-100.0,15,104,38,-16.600000000000005,11.04,14.42,36.54,-15.96,-14.42,20.6,-84.04
袁幸堯,2,6,6,19.6,12.93,33.33,100.0,326.67,7,53,20,-6.5,9.33,13.21,37.74,-12.26,20.12,62.26,338.93
麥文堅,1,6,1,29.0,41.6,16.67,16.67,483.33,10,142,31,-18.9,25.92,7.04,21.83,-13.31,9.63,-5.16,496.64
莫艾誠,1,6,1,6.0,113.0,16.67,16.67,100.0,1,7,1,5.0,103.29,14.29,14.29,71.43,2.38,2.38,28.57
莫雅,1,6,1,-4.3,30.65,16.67,16.67,-71.67,8,51,17,-5.399999999999999,11.25,15.69,33.33,-10.59,0.98,-16.66,-61.08
麥當能,0,5,0,-5.0,88.4,0.0,0.0,-100.0,1,35,2,-21.0,72.0,2.86,5.71,-60.0,-2.86,-5.71,-40.0
李慕華,0,4,1,-4.0,15.38,0.0,25.0,-100.0,0,9,2,-9.0,17.86,0.0,22.22,-100.0,0.0,2.78,0.0
杜苑欣,0,4,0,-4.0,32.25,0.0,0.0,-100.0,7,121,28,-50.2,21.08,5.79,23.14,-41.49,-5.79,-23.14,-58.51
薛恩,0,4,0,-4.0,29.25,0.0,0.0,-100.0,2,27,7,-19.3,27.12,7.41,25.93,-71.48,-7.41,-25.93,-28.52
馬昆,0,4,1,-4.0,38.0,0.0,25.0,-100.0,2,26,3,-0.6999999999999993,36.03,7.69,11.54,-2.69,-7.69,13.46,-97.31
紀仁安,1,3,1,-0.2999999999999998,10.97,33.33,33.33,-10.0,15,171,51,-79.8,17.35,8.77,29.82,-46.67,24.56,3.51,36.67
川田將雅,0,3,1,-3.0,22.1,0.0,33.33,-100.0,0,10,1,-10.0,26.72,0.0,10.0,-100.0,0.0,23.33,0.0
薛凱華,0,3,0,-3.0,71.63,0.0,0.0,-100.0,0,6,1,-6.0,43.72,0.0,16.67,-100.0,0.0,-16.67,0.0
蘇銘倫,0,3,1,-3.0,11.03,0.0,33.33,-100.0,0,22,5,-22.0,30.07,0.0,22.73,-100.0,0.0,10.6,0.0
韋紀力,0,3,0,-3.0,31.87,0.0,0.0,-100.0,4,38,12,5.900000000000003,19.6,10.53,31.58,15.53,-10.53,-31.58,-115.53
杜滿樂,0,2,0,-2.0,15.5,0.0,0.0,-100.0,0,3,1,-3.0,12.7,0.0,33.33,-100.0,0.0,-33.33,0.0
羅敦,0,2,0,-2.0,46.0,0.0,0.0,-100.0,0,2,0,-2.0,46.0,0.0,0.0,-100.0,0.0,0.0,0.0
布浩榮,0,2,0,-2.0,39.0,0.0,0.0,-100.0,1,33,7,-26.8,30.39,3.03,21.21,-81.21,-3.03,-21.21,-18.79
連達文,0,2,1,-2.0,54.0,0.0,50.0,-100.0,1,3,2,0.7000000000000002,37.23,33.33,66.67,23.33,-33.33,-16.67,-123.33
三浦皇成,0,1,0,-1.0,69.0,0.0,0.0,-100.0,0,1,0,-1.0,69.0,0.0,0.0,-100.0,0.0,0.0,0.0
司徒岳,0,1,0,-1.0,175.0,0.0,0.0,-100.0,0,1,0,-1.0,175.0,0.0,0.0,-100.0,0.0,0.0,0.0
柯浩新,0,1,0,-1.0,51.0,0.0,0.0,-100.0,0,1,0,-1.0,51.0,0.0,0.0,-100.0,0.0,0.0,0.0
橫山和生,0,1,1,-1.0,9.4,0.0,100.0,-100.0,0,1,1,-1.0,9.4,0.0,100.0,-100.0,0.0,0.0,0.0
