Month,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
2024-09,49,545,147,25.93,8.99,26.97
2024-10,22,261,67,35.21,8.43,25.67
2024-11,9,131,20,59.77,6.87,15.27
2024-12,4,116,17,46.28,3.45,14.66
2025-01,5,73,10,41.04,6.85,13.7
2025-02,2,46,9,53.46,4.35,19.57
2025-03,6,63,11,53.32,9.52,17.46
2025-04,1,67,7,51.25,1.49,10.45
2025-05,4,60,12,46.79,6.67,20.0
2025-06,2,51,7,60.51,3.92,13.73
2025-07,1,33,3,49.33,3.03,9.09
2025-09,1,18,5,66.58,5.56,27.78
2025-10,3,45,6,56.0,6.67,13.33
2025-11,5,78,13,42.71,6.41,16.67
2025-12,4,58,12,38.37,6.9,20.69
2026-01,4,67,13,46.77,5.97,19.4
2026-02,5,45,8,49.23,11.11,17.78
2026-03,3,42,3,37.87,7.14,7.14
2026-04,6,51,14,48.75,11.76,27.45
2026-05,2,24,5,26.11,8.33,20.83
