Trainer,RaceClass,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
黎昭昇,Class 4,沙田,Turf,1200,1,28,10,-25.6,42.34,3.57,35.71,-91.43
呂健威,Class 4,沙田,Turf,1200,4,26,9,9.4,42.39,15.38,34.62,36.15
姚本輝,Class 4,沙田,Turf,1200,3,26,9,-8.7,31.1,11.54,34.62,-33.46
蘇偉賢,Class 4,沙田,Turf,1200,4,24,7,72.0,47.4,16.67,29.17,300.0
廖康銘,Class 4,沙田,Turf,1200,3,23,7,-16.3,32.29,13.04,30.43,-70.87
蔡約翰,Class 4,沙田,Turf,1200,1,23,7,-21.0,38.9,4.35,30.43,-91.3
文家良,Class 4,沙田,Turf,1200,1,22,1,-17.2,54.6,4.55,4.55,-78.18
巫偉傑,Class 4,沙田,Turf,1200,3,21,8,61.0,47.9,14.29,38.1,290.48
大衛希斯,Class 4,沙田,Turf,1200,1,21,4,-16.4,31.42,4.76,19.05,-78.1
羅富全,Class 4,沙田,Turf,1200,3,20,4,64.0,29.24,15.0,20.0,320.0
葉楚航,Class 4,沙田,Turf,1200,1,19,2,-16.2,49.25,5.26,10.53,-85.26
沈集成,Class 4,沙田,Turf,1200,0,17,4,-17.0,64.15,0.0,23.53,-100.0
賀賢,Class 4,沙田,Turf,1200,0,17,4,-17.0,44.02,0.0,23.53,-100.0
廖康銘,Class 4,跑馬地,Turf,1200,3,14,5,-1.5000000000000004,15.02,21.43,35.71,-10.71
伍鵬志,Class 4,沙田,Turf,1200,2,14,3,3.7,38.35,14.29,21.43,26.43
大衛希斯,Class 3,沙田,Turf,1200,2,14,3,20.8,69.63,14.29,21.43,148.57
韋達,Class 4,沙田,Turf,1200,0,14,3,-14.0,42.16,0.0,21.43,-100.0
沈集成,Class 4,沙田,Turf,1400,1,13,1,44.0,75.46,7.69,7.69,338.46
伍鵬志,Class 3,沙田,Turf,1200,0,13,1,-13.0,37.99,0.0,7.69,-100.0
呂健威,Class 3,沙田,Turf,1200,1,12,3,-10.5,27.75,8.33,25.0,-87.5
廖康銘,Class 3,沙田,Turf,1200,1,12,4,30.0,25.97,8.33,33.33,250.0
游達榮,Class 3,沙田,Turf,1400,1,12,2,58.0,58.81,8.33,16.67,483.33
丁冠豪,Class 4,沙田,Turf,1200,1,11,3,-7.7,58.45,9.09,27.27,-70.0
文家良,Class 4,沙田,Turf,1000,1,11,3,-8.0,60.32,9.09,27.27,-72.73
方嘉柏,Class 4,沙田,Turf,1200,1,11,1,10.0,40.27,9.09,9.09,90.91
葉楚航,Class 4,沙田,Turf,1000,1,11,2,-9.2,44.78,9.09,18.18,-83.64
蘇偉賢,Class 4,沙田,Turf,1000,1,11,3,-9.1,55.17,9.09,27.27,-82.73
游達榮,Class 4,沙田,Turf,1200,0,11,1,-11.0,55.35,0.0,9.09,-100.0
黎昭昇,Class 4,跑馬地,Turf,1200,0,11,0,-11.0,38.83,0.0,0.0,-100.0
呂健威,Class 4,沙田,Turf,1000,2,10,2,-4.4,54.12,20.0,20.0,-44.0
沈集成,Class 4,跑馬地,Turf,1200,1,10,3,-8.7,23.18,10.0,30.0,-87.0
羅富全,Class 4,跑馬地,Turf,1200,1,10,2,-5.9,33.8,10.0,20.0,-59.0
巫偉傑,Class 3,沙田,Turf,1200,0,10,0,-10.0,64.3,0.0,0.0,-100.0
游達榮,Class 4,沙田,Turf,1400,0,10,1,-10.0,42.92,0.0,10.0,-100.0
韋達,Class 3,沙田,Turf,1400,0,10,1,-10.0,88.35,0.0,10.0,-100.0
伍鵬志,Class 4,沙田,Turf,1400,1,9,2,32.0,35.51,11.11,22.22,355.56
告東尼,Class 4,沙田,Turf,1200,1,9,1,0.9000000000000004,37.29,11.11,11.11,10.0
大衛希斯,Class 4,沙田,Turf,1400,1,9,3,9.0,20.53,11.11,33.33,100.0
方嘉柏,Class 4,沙田,Turf,1400,1,9,2,-5.9,44.43,11.11,22.22,-65.56
蔡約翰,Class 4,跑馬地,Turf,1200,1,9,3,-5.3,27.02,11.11,33.33,-58.89
伍鵬志,Class 4,沙田,Turf,1000,0,9,0,-9.0,38.6,0.0,0.0,-100.0
大衛希斯,Class 4,沙田,Turf,1000,0,9,1,-9.0,28.28,0.0,11.11,-100.0
巫偉傑,Class 4,跑馬地,Turf,1200,0,9,1,-9.0,46.22,0.0,11.11,-100.0
徐雨石,Class 3,沙田,Turf,1200,0,9,1,-9.0,67.09,0.0,11.11,-100.0
賀賢,Class 4,沙田,Turf,1400,0,9,1,-9.0,96.09,0.0,11.11,-100.0
鄭俊偉,Class 4,沙田,Turf,1200,0,9,1,-9.0,49.41,0.0,11.11,-100.0
姚本輝,Class 3,沙田,Turf,1400,3,8,3,16.2,45.28,37.5,37.5,202.5
丁冠豪,Class 4,沙田,Turf,1400,2,8,3,46.0,46.94,25.0,37.5,575.0
呂健威,Class 3,沙田,Turf,1400,1,8,2,-4.4,47.01,12.5,25.0,-55.0
方嘉柏,Class 4,跑馬地,Turf,1200,1,8,3,-3.5,44.65,12.5,37.5,-43.75
蔡約翰,Class 4,沙田,Turf,1400,1,8,2,-6.3,54.34,12.5,25.0,-78.75
蘇偉賢,Class 4,沙田,Turf,1400,1,8,1,-2.8,48.19,12.5,12.5,-35.0
