Trainer,DebutWins,DebutStarts,DebutPlaces,DebutProfit,DebutAvgOdds,DebutWinRate,DebutPlaceRate,DebutROI,OverallWins,OverallStarts,OverallPlaces,OverallProfit,OverallAvgOdds,OverallWinRate,OverallPlaceRate,OverallROI,WinRateUplift,PlaceRateUplift,ROIUplift
大衛希斯,6,112,26,-47.1,37.78,5.36,23.21,-42.05,109,1201,300,-471.9,32.31,9.08,24.98,-39.29,-3.72,-1.77,-2.76
伍鵬志,9,100,20,40.400000000000006,30.02,9.0,20.0,40.4,61,1055,221,-420.6,28.96,5.78,20.95,-39.87,3.22,-0.95,80.27
沈集成,6,100,16,-28.2,46.21,6.0,16.0,-28.2,91,921,228,-115.00000000000001,34.35,9.88,24.76,-12.49,-3.88,-8.76,-15.71
呂健威,12,99,27,-25.1,35.62,12.12,27.27,-25.35,96,912,271,-91.5,30.62,10.53,29.71,-10.03,1.59,-2.44,-15.32
姚本輝,9,96,32,-26.6,29.31,9.38,33.33,-27.71,81,892,262,-215.4,24.3,9.08,29.37,-24.15,0.3,3.96,-3.56
廖康銘,10,96,22,-2.8000000000000016,26.91,10.42,22.92,-2.92,96,937,276,-231.70000000000002,22.4,10.25,29.46,-24.73,0.17,-6.54,21.81
羅富全,8,95,23,34.2,26.97,8.42,24.21,36.0,80,1010,249,-309.7,28.7,7.92,24.65,-30.66,0.5,-0.44,66.66
巫偉傑,7,94,18,62.9,51.37,7.45,19.15,66.91,74,888,214,-54.599999999999994,33.61,8.33,24.1,-6.15,-0.88,-4.95,73.06
蘇偉賢,10,92,21,54.3,43.48,10.87,22.83,59.02,62,811,186,-110.4,35.82,7.64,22.93,-13.61,3.23,-0.1,72.63
賀賢,6,88,19,-8.5,49.64,6.82,21.59,-9.66,51,784,189,-230.8,30.8,6.51,24.11,-29.44,0.31,-2.52,19.78
方嘉柏,9,87,21,-29.5,32.28,10.34,24.14,-33.91,103,965,270,-223.7,21.42,10.67,27.98,-23.18,-0.33,-3.84,-10.73
蔡約翰,7,86,21,-17.5,32.87,8.14,24.42,-20.35,113,1110,349,-229.10000000000002,21.94,10.18,31.44,-20.64,-2.04,-7.02,0.29
韋達,1,86,14,-80.8,47.6,1.16,16.28,-93.95,51,833,176,-402.6,38.3,6.12,21.13,-48.33,-4.96,-4.85,-45.62
告東尼,4,85,12,-58.3,33.0,4.71,14.12,-68.59,85,1128,256,-394.8,29.72,7.54,22.7,-35.0,-2.83,-8.58,-33.59
