Trainer,Distance,Wins,Starts,Places,WinRate
廖康銘,1200,9,61,20,14.8
呂健威,1200,7,54,17,13.0
蘇偉賢,1200,6,52,13,11.5
羅富全,1200,5,47,10,10.6
巫偉傑,1200,5,48,11,10.4
伍鵬志,1400,4,20,7,20.0
大衛希斯,1200,4,62,12,6.5
文家良,1200,4,42,5,9.5
姚本輝,1200,4,48,17,8.3
伍鵬志,1600,3,6,4,50.0
方嘉柏,1650,3,9,4,33.3
姚本輝,1400,3,14,7,21.4
方嘉柏,1000,3,16,7,18.8
游達榮,1200,3,28,4,10.7
賀賢,1200,3,44,10,6.8
黎昭昇,1000,3,13,6,23.1
蔡約翰,1200,3,47,14,6.4
羅富全,1000,2,16,3,12.5
沈集成,1400,2,21,3,9.5
沈集成,1200,2,41,8,4.9
方嘉柏,1200,2,35,5,5.7
徐雨石,1000,2,5,2,40.0
呂健威,1000,2,17,2,11.8
丁冠豪,1400,2,11,3,18.2
巫偉傑,1000,2,17,3,11.8
伍鵬志,1200,2,40,7,5.0
鄭俊偉,1200,2,27,6,7.4
葉楚航,1000,2,21,5,9.5
賀賢,1000,2,20,6,10.0
蘇偉賢,1400,2,14,2,14.3
文家良,1000,1,18,4,5.6
文家良,1400,1,13,3,7.7
布銘球,2400,1,1,1,100.0
徐雨石,1800,1,1,1,100.0
桂福特,1200,1,4,1,25.0
沈集成,2000,1,1,1,100.0
蔡約翰,1650,1,5,1,20.0
游達榮,1400,1,23,3,4.3
方嘉柏,1400,1,19,3,5.3
廖康銘,1600,1,6,1,16.7
文家良,1650,1,4,1,25.0
沈集成,1650,1,13,2,7.7
丁冠豪,1000,1,7,1,14.3
丁冠豪,1200,1,20,5,5.0
告東尼,1000,1,12,2,8.3
大衛希斯,1650,1,6,5,16.7
告東尼,1650,1,15,2,6.7
大衛希斯,1400,1,15,4,6.7
告東尼,1200,1,33,5,3.0
姚本輝,1000,1,15,3,6.7
容天鵬,1200,1,21,1,4.8
姚本輝,1650,1,9,3,11.1
告東尼,1400,1,14,2,7.1
呂健威,1650,1,4,1,25.0
呂健威,1400,1,18,4,5.6
呂健威,1800,1,1,1,100.0
葉楚航,1400,1,10,1,10.0
蔡約翰,1000,1,15,3,6.7
葉楚航,1200,1,33,4,3.0
羅富全,1650,1,8,3,12.5
黎昭昇,1200,1,55,11,1.8
賀賢,1400,1,15,2,6.7
費伯華,2400,1,2,1,50.0
鄭俊偉,1000,1,15,4,6.7
蘇偉賢,1000,1,20,3,5.0
蔡約翰,1400,1,12,2,8.3
蔡約翰,1800,1,1,1,100.0
蘇偉賢,1600,1,2,2,50.0
韋達,1000,1,17,5,5.9
鄭俊偉,1650,1,4,2,25.0
岳品賢,1200,0,1,0,0.0
岳伯仁,2400,0,3,0,0.0
岳本賢,2400,0,1,0,0.0
岳本賢,2000,0,1,0,0.0
大衛希斯,1600,0,2,1,0.0
大衛希斯,1800,0,2,0,0.0
國枝榮,2400,0,1,1,0.0
堀宣行,1200,0,1,1,0.0
堀宣行,2000,0,1,1,0.0
告東尼,1800,0,2,0,0.0
大衛希斯,1000,0,25,4,0.0
丁冠豪,1650,0,4,0,0.0
中內田充正,2000,0,2,2,0.0
伍鵬志,1650,0,10,2,0.0
吉村圭司,1200,0,1,0,0.0
包義定,2400,0,1,0,0.0
包義定,2000,0,1,0,0.0
侯耀誠,1200,0,1,0,0.0
伯特,2000,0,1,0,0.0
伍鵬志,2000,0,3,0,0.0
伍鵬志,1800,0,4,0,0.0
呂健威,1600,0,5,2,0.0
伊比軒,1600,0,1,0,0.0
伍鵬志,1000,0,17,0,0.0
上村洋行,2000,0,1,1,0.0
丁冠豪,1800,0,1,0,0.0
岳伯仁,1600,0,1,0,0.0
岳伯仁,2000,0,2,0,0.0
容天鵬,1800,0,1,0,0.0
容天鵬,1650,0,6,0,0.0
姚本輝,1600,0,9,2,0.0
容天鵬,1600,0,2,1,0.0
容天鵬,1400,0,12,1,0.0
容天鵬,1000,0,5,0,0.0
姚本輝,1800,0,1,0,0.0
告東尼,1600,0,9,1,0.0
廖康銘,1000,0,11,1,0.0
巫偉傑,1400,0,18,3,0.0
杉山晴紀,1200,0,1,0,0.0
方嘉柏,1800,0,3,2,0.0
方嘉柏,1600,0,5,0,0.0
文家良,1600,0,4,0,0.0
手塚貴久,2000,0,1,1,0.0
徐雨石,1650,0,1,0,0.0
徐雨石,1600,0,1,0,0.0
巴伯樂,1600,0,1,0,0.0
徐雨石,1400,0,6,0,0.0
徐雨石,1200,0,25,2,0.0
廖康銘,1800,0,1,0,0.0
廖康銘,1650,0,3,0,0.0
廖康銘,1400,0,14,0,0.0
巫偉傑,1800,0,2,0,0.0
巫偉傑,1600,0,1,0,0.0
巫偉傑,1650,0,8,1,0.0
田中博康,2000,0,1,0,0.0
白祈達,1200,0,1,0,0.0
游達榮,1650,0,9,1,0.0
游達榮,2200,0,1,0,0.0
游達榮,1600,0,4,0,0.0
活侯夫人及布特,1600,0,1,0,0.0
游孝廉,1600,0,1,0,0.0
游達榮,1000,0,7,1,0.0
沈集成,1600,0,6,1,0.0
沈集成,1800,0,2,0,0.0
武井亮,2400,0,1,0,0.0
武英智,2000,0,1,0,0.0
池江泰壽,1600,0,1,1,0.0
比安威詹 希斯,1600,0,1,0,0.0
沈集成,1000,0,16,1,0.0
池添學,2400,0,1,0,0.0
桂福特,1000,0,2,1,0.0
杉山晴紀,2000,0,1,0,0.0
桂福特,1650,0,1,0,0.0
桂福特,1400,0,2,0,0.0
杉山晴紀,1600,0,1,0,0.0
武井亮,1600,0,1,0,0.0
森一誠,1600,0,1,0,0.0
葛威法,2000,0,2,1,0.0
羅富全,1400,0,15,4,0.0
羅富全,1600,0,6,2,0.0
葉楚航,1800,0,2,0,0.0
葉楚航,1650,0,3,1,0.0
羅富全,1800,0,3,1,0.0
范景新,1600,0,1,0,0.0
范鴻禧,2000,0,1,0,0.0
菲德文及菲敦盟,2400,0,1,0,0.0
蘇偉賢,1650,0,3,0,0.0
蘇偉賢,1800,0,1,1,0.0
藤原英昭,1200,0,1,0,0.0
蔡約翰,2000,0,1,0,0.0
蔡約翰,1600,0,5,0,0.0
葉楚航,1600,0,5,0,0.0
賀賢,2000,0,1,0,0.0
賀賢,1800,0,2,1,0.0
鄭俊偉,1400,0,9,3,0.0
郗國思,2400,0,1,1,0.0
鄭俊偉,1800,0,1,0,0.0
鄭俊偉,1600,0,2,0,0.0
雷拿及雷恩,2000,0,1,0,0.0
雷里雅,1600,0,1,0,0.0
賀賢,1600,0,2,0,0.0
賀賢,1650,0,4,0,0.0
韋達,1400,0,16,1,0.0
韋達,1200,0,41,7,0.0
韋達,1600,0,4,0,0.0
韋達,1650,0,6,1,0.0
馬晏殊,2000,0,1,0,0.0
馬漢雅,1200,0,1,0,0.0
韋達,1800,0,2,0,0.0
顧永賢,2400,0,1,0,0.0
高柳瑞樹,1200,0,1,0,0.0
高亮能,1600,0,1,0,0.0
鹿戶雄一,1200,0,1,0,0.0
高野友和,1600,0,1,0,0.0
黎昭昇,1400,0,6,0,0.0
黎昭昇,1600,0,2,0,0.0
黎昭昇,1650,0,2,1,0.0
黎昭昇,1800,0,1,0,0.0
