Distance,Draw,Wins,Starts,Places,WinRate
1000,1,11,138,32,8.0
1000,10,8,124,28,6.5
1000,11,5,118,25,4.2
1000,12,6,109,24,5.5
1000,13,6,52,21,11.5
1000,14,2,48,10,4.2
1000,2,15,137,31,10.9
1000,3,8,138,30,5.8
1000,4,19,138,48,13.8
1000,5,13,138,36,9.4
1000,6,10,137,33,7.3
1000,7,18,136,40,13.2
1000,8,10,133,35,7.5
1000,9,9,128,24,7.0
1200,1,80,615,215,13.0
1200,10,39,592,114,6.6
1200,11,30,566,95,5.3
1200,12,29,534,97,5.4
1200,13,5,122,20,4.1
1200,14,10,108,21,9.3
1200,2,71,612,192,11.6
1200,3,48,612,184,7.8
1200,4,70,615,172,11.4
1200,5,57,613,171,9.3
1200,6,54,615,163,8.8
1200,7,48,613,145,7.8
1200,8,37,611,136,6.1
1200,9,39,603,128,6.5
1400,1,22,257,72,8.6
1400,10,22,246,56,8.9
1400,11,14,240,48,5.8
1400,12,17,229,39,7.4
1400,13,16,213,36,7.5
1400,14,7,196,26,3.6
1400,2,29,257,80,11.3
1400,3,25,256,58,9.8
1400,4,19,257,66,7.4
1400,5,17,255,54,6.7
1400,6,16,255,62,6.3
1400,7,17,255,64,6.7
1400,8,20,255,66,7.8
1400,9,16,251,44,6.4
1600,1,11,113,30,9.7
1600,10,6,102,25,5.9
1600,11,6,100,15,6.0
1600,12,8,96,19,8.3
1600,13,3,93,14,3.2
1600,14,8,85,17,9.4
1600,2,10,113,29,8.8
1600,3,17,113,34,15.0
1600,4,11,113,35,9.7
1600,5,6,113,21,5.3
1600,6,7,113,29,6.2
1600,7,4,113,24,3.5
1600,8,5,110,22,4.5
1600,9,11,108,26,10.2
1650,1,28,236,75,11.9
1650,10,15,224,42,6.7
1650,11,10,216,34,4.6
1650,12,9,196,36,4.6
1650,13,3,47,8,6.4
1650,14,1,38,4,2.6
1650,2,28,236,69,11.9
1650,3,24,235,70,10.2
1650,4,15,236,61,6.4
1650,5,16,237,62,6.8
1650,6,24,236,62,10.2
1650,7,31,235,78,13.2
1650,8,14,235,53,6.0
1650,9,21,230,58,9.1
1800,1,7,104,23,6.7
1800,10,12,101,30,11.9
1800,11,4,98,22,4.1
1800,12,3,87,16,3.4
1800,13,5,42,15,11.9
1800,14,1,35,3,2.9
1800,2,7,105,25,6.7
1800,3,12,105,34,11.4
1800,4,6,105,29,5.7
1800,5,9,105,29,8.6
1800,6,7,105,24,6.7
1800,7,11,105,24,10.5
1800,8,9,103,20,8.7
1800,9,12,103,22,11.7
2000,1,5,37,12,13.5
2000,10,1,31,3,3.2
2000,11,3,27,4,11.1
2000,12,0,21,4,0.0
2000,13,0,18,5,0.0
2000,14,0,15,2,0.0
2000,2,6,37,13,16.2
2000,3,4,37,11,10.8
2000,4,4,37,16,10.8
2000,5,2,37,7,5.4
2000,6,4,37,14,10.8
2000,7,3,36,8,8.3
2000,8,2,35,6,5.7
2000,9,3,34,6,8.8
2200,1,5,18,9,27.8
2200,10,1,14,1,7.1
2200,11,0,12,3,0.0
2200,12,1,10,3,10.0
2200,2,0,18,2,0.0
2200,3,2,18,6,11.1
2200,4,1,18,6,5.6
2200,5,1,18,3,5.6
2200,6,2,18,6,11.1
2200,7,3,18,7,16.7
2200,8,1,17,5,5.9
2200,9,1,16,4,6.2
2400,1,0,5,1,0.0
2400,10,0,3,0,0.0
2400,11,0,2,0,0.0
2400,12,0,1,0,0.0
2400,13,0,1,1,0.0
2400,2,2,5,2,40.0
2400,3,1,5,2,20.0
2400,4,0,5,2,0.0
2400,5,1,5,2,20.0
2400,6,0,5,2,0.0
2400,7,0,4,1,0.0
2400,8,1,3,2,33.3
2400,9,0,3,0,0.0
