Venue,Track,Distance,Draw,Wins,Starts,Places,WinRate
沙田,AWT,1200,1,8,86,22,9.3
沙田,AWT,1200,10,9,82,22,11.0
沙田,AWT,1200,11,2,81,11,2.5
沙田,AWT,1200,12,2,80,15,2.5
沙田,AWT,1200,2,13,85,29,15.3
沙田,AWT,1200,3,11,86,31,12.8
沙田,AWT,1200,4,17,86,27,19.8
沙田,AWT,1200,5,4,85,20,4.7
沙田,AWT,1200,6,12,86,26,14.0
沙田,AWT,1200,7,5,85,17,5.9
沙田,AWT,1200,8,2,86,21,2.3
沙田,AWT,1200,9,1,85,18,1.2
沙田,AWT,1650,1,6,62,18,9.7
沙田,AWT,1650,10,5,59,13,8.5
沙田,AWT,1650,11,4,56,11,7.1
沙田,AWT,1650,12,2,50,9,4.0
沙田,AWT,1650,13,3,47,8,6.4
沙田,AWT,1650,14,1,38,4,2.6
沙田,AWT,1650,2,6,62,16,9.7
沙田,AWT,1650,3,6,61,11,9.8
沙田,AWT,1650,4,5,62,14,8.1
沙田,AWT,1650,5,4,62,16,6.5
沙田,AWT,1650,6,7,62,20,11.3
沙田,AWT,1650,7,6,61,16,9.8
沙田,AWT,1650,8,1,61,14,1.6
沙田,AWT,1650,9,6,59,16,10.2
沙田,AWT,1800,1,1,12,3,8.3
沙田,AWT,1800,10,1,12,3,8.3
沙田,AWT,1800,11,1,12,3,8.3
沙田,AWT,1800,12,0,9,2,0.0
沙田,AWT,1800,13,2,9,3,22.2
沙田,AWT,1800,14,0,8,0,0.0
沙田,AWT,1800,2,1,12,3,8.3
沙田,AWT,1800,3,4,12,6,33.3
沙田,AWT,1800,4,0,12,1,0.0
沙田,AWT,1800,5,0,12,4,0.0
沙田,AWT,1800,6,1,12,2,8.3
沙田,AWT,1800,7,1,12,4,8.3
沙田,AWT,1800,8,0,12,1,0.0
沙田,AWT,1800,9,0,12,1,0.0
沙田,Turf,1000,1,4,71,10,5.6
沙田,Turf,1000,10,2,62,13,3.2
沙田,Turf,1000,11,3,60,16,5.0
沙田,Turf,1000,12,3,55,13,5.5
沙田,Turf,1000,13,6,52,21,11.5
沙田,Turf,1000,14,2,48,10,4.2
沙田,Turf,1000,2,7,70,14,10.0
沙田,Turf,1000,3,1,71,11,1.4
沙田,Turf,1000,4,11,71,23,15.5
沙田,Turf,1000,5,7,72,21,9.7
沙田,Turf,1000,6,5,71,16,7.0
沙田,Turf,1000,7,10,69,23,14.5
