RaceClass,Venue,Track,Distance,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 4,跑馬地,Turf,1200,153,1807,459,28.98,8.47,25.4
Class 4,沙田,Turf,1200,129,1673,387,42.06,7.71,23.13
Class 4,沙田,Turf,1400,121,1668,363,41.77,7.25,21.76
Class 4,跑馬地,Turf,1650,89,1059,268,25.69,8.4,25.31
Class 3,沙田,Turf,1400,71,954,213,42.16,7.44,22.33
Class 3,沙田,Turf,1200,77,941,231,40.52,8.18,24.55
Class 3,跑馬地,Turf,1200,71,826,213,25.71,8.6,25.79
Class 3,跑馬地,Turf,1650,47,542,141,22.97,8.67,26.01
Class 3,沙田,Turf,1600,35,484,105,35.05,7.23,21.69
Class 4,沙田,Turf,1600,35,482,106,35.18,7.26,21.99
Class 4,沙田,AWT,1200,40,477,120,28.86,8.39,25.16
Class 5,沙田,Turf,1400,35,477,105,29.79,7.34,22.01
Class 4,沙田,Turf,1000,31,426,93,41.05,7.28,21.83
Class 4,沙田,AWT,1650,27,358,81,28.37,7.54,22.63
Class 5,跑馬地,Turf,1200,30,355,90,22.4,8.45,25.35
Class 3,沙田,Turf,1000,26,333,75,36.52,7.81,22.52
Class 5,跑馬地,Turf,1650,26,285,75,20.16,9.12,26.32
Class 4,跑馬地,Turf,1000,23,275,69,27.71,8.36,25.09
Class 3,沙田,AWT,1200,23,270,69,26.22,8.52,25.56
Class 5,沙田,Turf,1200,20,261,60,26.42,7.66,22.99
Class 2,沙田,Turf,1400,21,236,63,30.89,8.9,26.69
Class 3,沙田,AWT,1650,18,236,54,27.22,7.63,22.88
Class 3,跑馬地,Turf,1000,20,224,60,24.0,8.93,26.79
Class 5,沙田,AWT,1200,18,213,55,21.02,8.45,25.82
Class 2,沙田,Turf,1200,19,212,57,30.21,8.96,26.89
Class 4,跑馬地,Turf,1800,17,203,52,21.56,8.37,25.62
Class 5,跑馬地,Turf,1000,17,199,51,21.28,8.54,25.63
Class 5,沙田,Turf,1600,14,188,42,23.48,7.45,22.34
Class 3,跑馬地,Turf,1800,16,186,48,22.38,8.6,25.81
Class 4,沙田,Turf,1800,13,178,39,30.7,7.3,21.91
Class 5,沙田,AWT,1650,12,156,36,25.71,7.69,23.08
Class 3,沙田,Turf,1800,11,150,33,30.45,7.33,22.0
