RaceClass,Venue,Track,Distance,DrawBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 4,沙田,Turf,1400,10+,41,581,110,48.78,7.06,18.93
Class 4,沙田,Turf,1200,10+,35,515,92,48.96,6.8,17.86
Class 4,跑馬地,Turf,1200,4-6,48,458,125,23.76,10.48,27.29
Class 4,跑馬地,Turf,1200,1-3,48,455,142,18.27,10.55,31.21
Class 4,跑馬地,Turf,1200,7-9,38,454,118,33.19,8.37,25.99
Class 4,跑馬地,Turf,1200,10+,19,440,74,41.14,4.32,16.82
Class 4,沙田,Turf,1200,7-9,30,387,80,47.06,7.75,20.67
Class 4,沙田,Turf,1200,4-6,23,386,90,39.37,5.96,23.32
Class 4,沙田,Turf,1200,1-3,41,385,125,30.49,10.65,32.47
Class 4,沙田,Turf,1400,1-3,37,363,91,32.32,10.19,25.07
Class 4,沙田,Turf,1400,7-9,25,363,84,43.28,6.89,23.14
Class 4,沙田,Turf,1400,4-6,18,361,78,38.47,4.99,21.61
Class 3,沙田,Turf,1400,10+,20,316,54,50.24,6.33,17.09
Class 4,跑馬地,Turf,1650,4-6,19,267,65,23.83,7.12,24.34
Class 4,跑馬地,Turf,1650,7-9,29,266,77,27.01,10.9,28.95
Class 4,跑馬地,Turf,1650,1-3,28,265,81,16.65,10.57,30.57
Class 4,跑馬地,Turf,1650,10+,13,261,45,35.41,4.98,17.24
Class 3,沙田,Turf,1200,10+,23,253,60,52.31,9.09,23.72
Class 3,沙田,Turf,1200,1-3,24,230,67,28.71,10.43,29.13
Class 3,沙田,Turf,1200,7-9,15,230,47,47.26,6.52,20.43
Class 3,沙田,Turf,1200,4-6,15,228,57,32.54,6.58,25.0
Class 3,跑馬地,Turf,1200,4-6,31,213,71,20.78,14.55,33.33
Class 3,沙田,Turf,1400,4-6,24,213,60,37.29,11.27,28.17
Class 3,跑馬地,Turf,1200,1-3,20,213,66,17.72,9.39,30.99
