Venue,Track,FieldSizeBucket,DrawBand,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
沙田,AWT,large14+,Inside,17,164,40,26.45,10.37,24.39
沙田,AWT,large14+,Middle,12,205,49,26.07,5.85,23.9
沙田,AWT,large14+,Outside,12,205,34,33.9,5.85,16.59
沙田,AWT,med12-13,Inside,54,387,116,20.5,13.95,29.97
沙田,AWT,med12-13,Middle,23,388,95,24.46,5.93,24.48
沙田,AWT,med12-13,Outside,20,404,81,33.43,4.95,20.05
沙田,AWT,small<=11,Inside,4,63,18,16.18,6.35,28.57
沙田,AWT,small<=11,Middle,10,74,23,15.45,13.51,31.08
沙田,AWT,small<=11,Outside,8,83,25,24.66,9.64,30.12
沙田,Turf,large14+,Inside,168,1856,479,32.68,9.05,25.81
沙田,Turf,large14+,Middle,153,2320,492,40.32,6.59,21.21
沙田,Turf,large14+,Outside,143,2320,422,44.42,6.16,18.19
沙田,Turf,med12-13,Inside,69,725,204,29.16,9.52,28.14
沙田,Turf,med12-13,Middle,58,724,172,36.48,8.01,23.76
沙田,Turf,med12-13,Outside,57,813,173,41.26,7.01,21.28
沙田,Turf,small<=11,Inside,52,397,136,25.92,13.1,34.26
沙田,Turf,small<=11,Middle,44,475,151,28.12,9.26,31.79
沙田,Turf,small<=11,Outside,49,527,148,34.66,9.3,28.08
跑馬地,Turf,med12-13,Inside,195,1872,574,18.42,10.42,30.66
跑馬地,Turf,med12-13,Middle,165,1872,482,24.32,8.81,25.75
跑馬地,Turf,med12-13,Outside,110,1872,351,34.71,5.88,18.75
跑馬地,Turf,small<=11,Inside,33,300,103,13.75,11.0,34.33
跑馬地,Turf,small<=11,Middle,43,366,114,18.67,11.75,31.15
跑馬地,Turf,small<=11,Outside,32,421,108,25.02,7.6,25.65
