HorseID,Horse,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
G277,極速滿貫(G277),跑馬地,Turf,1650,3,23,5,63.0,36.17,13.04,21.74,273.91
E301,電源之駒(E301),跑馬地,Turf,1200,2,21,7,-14.4,27.6,9.52,33.33,-68.57
H439,健康快車(H439),沙田,Turf,1200,1,21,10,-18.0,9.1,4.76,47.62,-85.71
G095,駟跑得(G095),跑馬地,Turf,1650,0,21,5,-21.0,13.72,0.0,23.81,-100.0
J237,勇霸龍(J237),跑馬地,Turf,1200,3,20,10,-4.6,12.96,15.0,50.0,-23.0
E184,有鴻利(E184),跑馬地,Turf,1200,1,20,3,-12.2,23.3,5.0,15.0,-61.0
J332,電訊驕陽(J332),跑馬地,Turf,1200,1,20,6,-15.7,22.28,5.0,30.0,-78.5
J133,德心知遇(J133),沙田,AWT,1200,4,19,8,7.699999999999999,9.09,21.05,42.11,40.53
H334,同樣美麗(H334),沙田,Turf,1400,3,19,8,3.8999999999999995,22.26,15.79,42.11,20.53
J227,追風(J227),跑馬地,Turf,1650,3,19,6,-8.200000000000001,12.08,15.79,31.58,-43.16
G451,加州得力(G451),跑馬地,Turf,1200,1,19,3,-15.7,19.28,5.26,15.79,-82.63
G150,都靈勇士(G150),跑馬地,Turf,1650,3,18,4,37.0,22.56,16.67,22.22,205.56
H235,幸運星球(H235),跑馬地,Turf,1200,3,18,7,2.5999999999999996,16.46,16.67,38.89,14.44
J079,爆笑(J079),跑馬地,Turf,1650,3,18,9,11.1,14.81,16.67,50.0,61.67
J402,金牌活力(J402),跑馬地,Turf,1200,3,18,7,1.700000000000001,19.59,16.67,38.89,9.44
K002,金創福威(K002),沙田,Turf,1200,3,18,6,8.100000000000001,28.84,16.67,33.33,45.0
E356,幸運有您(E356),沙田,Turf,1200,2,18,3,0.9000000000000004,74.86,11.11,16.67,5.0
J236,奮鬥輝煌(J236),跑馬地,Turf,1650,2,18,6,-6.2,15.3,11.11,33.33,-34.44
J295,會長之寶(J295),沙田,Turf,1000,2,18,8,-1.0,18.82,11.11,44.44,-5.56
H070,建測羣英(H070),跑馬地,Turf,1650,1,18,6,-15.6,15.47,5.56,33.33,-86.67
H155,愛馬善(H155),沙田,Turf,1200,4,17,9,37.0,19.56,23.53,52.94,217.65
J200,天威(J200),沙田,AWT,1650,4,17,6,19.700000000000003,12.99,23.53,35.29,115.88
H197,智勝攻略(H197),跑馬地,Turf,1200,3,17,9,6.499999999999999,16.56,17.65,52.94,38.24
H381,我做到(H381),跑馬地,Turf,1650,3,17,6,44.3,21.25,17.65,35.29,260.59
H405,勝萬金(H405),跑馬地,Turf,1000,3,17,9,-1.3999999999999995,6.51,17.65,52.94,-8.24
H440,椒椒醒(H440),跑馬地,Turf,1200,3,17,7,-0.3000000000000007,12.18,17.65,41.18,-1.76
K154,關鍵所在(K154),沙田,Turf,1200,3,17,3,85.0,45.79,17.65,17.65,500.0
J008,華麗再勝(J008),沙田,Turf,1200,2,17,6,-10.0,26.45,11.76,35.29,-58.82
J535,劍無情(J535),沙田,Turf,1400,2,17,3,9.7,56.28,11.76,17.65,57.06
J137,本領非凡(J137),跑馬地,Turf,1650,1,17,5,-9.3,11.48,5.88,29.41,-54.71
J266,香港神駒(J266),跑馬地,Turf,1650,0,17,5,-17.0,16.66,0.0,29.41,-100.0
J366,風采人生(J366),沙田,Turf,1200,0,17,1,-17.0,31.85,0.0,5.88,-100.0
H037,有財有勢(H037),跑馬地,Turf,1650,3,16,5,29.2,19.67,18.75,31.25,182.5
H364,非凡達(H364),沙田,Turf,1200,3,16,6,-5.199999999999999,15.33,18.75,37.5,-32.5
H481,勁好運(H481),跑馬地,Turf,1650,3,16,8,9.8,9.54,18.75,50.0,61.25
E490,金發盛世(E490),跑馬地,Turf,1200,2,16,3,-2.0999999999999996,23.35,12.5,18.75,-13.12
G016,鈁糖武士(G016),跑馬地,Turf,1200,2,16,5,-6.0,18.59,12.5,31.25,-37.5
J098,先到先得(J098),跑馬地,Turf,1650,2,16,7,-10.0,12.06,12.5,43.75,-62.5
J153,運來伍寶(J153),跑馬地,Turf,1200,2,16,7,-5.9,10.42,12.5,43.75,-36.88
J290,東來欣賞(J290),跑馬地,Turf,1200,2,16,8,-9.3,7.94,12.5,50.0,-58.13
J393,維港激流(J393),跑馬地,Turf,1200,2,16,7,4.3,19.27,12.5,43.75,26.88
D435,健康愉快(D435),沙田,Turf,1400,1,16,3,6.0,36.06,6.25,18.75,37.5
G471,勇威神駒(G471),跑馬地,Turf,1200,1,16,5,-13.1,19.92,6.25,31.25,-81.88
H041,時尚歡欣(H041),沙田,Turf,1400,1,16,3,-10.4,17.99,6.25,18.75,-65.0
J082,年少多好(J082),跑馬地,Turf,1000,1,16,9,-11.8,7.94,6.25,56.25,-73.75
J362,比特星(J362),跑馬地,Turf,1200,1,16,7,4.0,33.8,6.25,43.75,25.0
J401,競駿非凡(J401),跑馬地,Turf,1200,1,16,6,-13.4,11.49,6.25,37.5,-83.75
J531,手到齊來(J531),沙田,Turf,1200,1,16,4,-10.6,35.59,6.25,25.0,-66.25
H208,萬眾開心(H208),跑馬地,Turf,1000,0,16,3,-16.0,15.39,0.0,18.75,-100.0
J193,華美之威(J193),跑馬地,Turf,1650,0,16,3,-16.0,20.87,0.0,18.75,-100.0
H161,安泰(H161),沙田,Turf,1400,3,15,7,1.5000000000000009,12.15,20.0,46.67,10.0
J127,太陽勇士(J127),跑馬地,Turf,1650,3,15,12,-5.2,4.55,20.0,80.0,-34.67
K081,同心同樂(K081),沙田,Turf,1400,3,15,5,48.8,22.12,20.0,33.33,325.33
H384,火神神樂(H384),沙田,AWT,1200,2,15,5,1.1999999999999993,14.0,13.33,33.33,8.0
J080,川河型駒(J080),沙田,AWT,1650,2,15,3,-1.8999999999999995,15.53,13.33,20.0,-12.67
J181,祥勝力駒(J181),跑馬地,Turf,1200,2,15,4,37.5,17.83,13.33,26.67,250.0
K264,廚神(K264),跑馬地,Turf,1200,2,15,3,-5.9,23.21,13.33,20.0,-39.33
G476,浪漫老撾(G476),跑馬地,Turf,1650,1,15,5,-2.0,21.88,6.67,33.33,-13.33
H116,大學生(H116),跑馬地,Turf,1650,1,15,5,-8.0,19.51,6.67,33.33,-53.33
H162,撼天鐵翼(H162),跑馬地,Turf,1200,1,15,3,-4.0,18.32,6.67,20.0,-26.67
H175,潮州精神(H175),沙田,Turf,1400,1,15,3,-9.2,18.47,6.67,20.0,-61.33
H203,添開心(H203),跑馬地,Turf,1000,1,15,4,-11.1,9.47,6.67,26.67,-74.0
H325,新力(H325),跑馬地,Turf,1200,1,15,7,-10.4,7.73,6.67,46.67,-69.33
H379,怡昌精神(H379),跑馬地,Turf,1200,1,15,6,-8.7,10.36,6.67,40.0,-58.0
H407,勝多多(H407),沙田,Turf,1200,1,15,6,-12.5,13.49,6.67,40.0,-83.33
H409,凱旋幸運(H409),沙田,Turf,1400,1,15,6,-7.8,13.3,6.67,40.0,-52.0
J213,君智盛(J213),跑馬地,Turf,1650,1,15,3,-8.1,14.67,6.67,20.0,-54.0
