RaceClass,Venue,Track,Distance,JockeyChanged,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Class 4,跑馬地,Turf,1200,True,75,945,236,31.78,7.94,24.97,ClassVenueDistance
Class 4,沙田,Turf,1400,True,49,867,159,47.02,5.65,18.34,ClassVenueDistance
Class 4,跑馬地,Turf,1200,False,68,713,191,23.91,9.54,26.79,ClassVenueDistance
Class 4,沙田,Turf,1200,True,45,694,132,48.29,6.48,19.02,ClassVenueDistance
Class 4,沙田,Turf,1400,False,63,651,177,33.09,9.68,27.19,ClassVenueDistance
Class 4,沙田,Turf,1200,False,53,596,165,33.36,8.89,27.68,ClassVenueDistance
Class 4,跑馬地,Turf,1650,True,44,559,134,28.87,7.87,23.97,ClassVenueDistance
Class 4,跑馬地,Turf,1650,False,42,457,126,20.89,9.19,27.57,ClassVenueDistance
Class 3,沙田,Turf,1400,True,22,453,95,46.42,4.86,20.97,ClassVenueDistance
Class 3,跑馬地,Turf,1200,True,37,409,96,28.4,9.05,23.47,ClassVenueDistance
Class 3,沙田,Turf,1200,True,28,403,82,44.09,6.95,20.35,ClassVenueDistance
Class 3,沙田,Turf,1400,False,41,384,101,32.7,10.68,26.3,ClassVenueDistance
Class 3,沙田,Turf,1200,False,39,375,121,32.92,10.4,32.27,ClassVenueDistance
Class 3,跑馬地,Turf,1200,False,30,356,105,21.15,8.43,29.49,ClassVenueDistance
Class 5,沙田,Turf,1400,True,22,282,58,32.24,7.8,20.57,ClassVenueDistance
Class 4,沙田,Turf,1600,True,18,280,53,39.88,6.43,18.93,ClassVenueDistance
Class 3,跑馬地,Turf,1650,True,23,275,66,26.8,8.36,24.0,ClassVenueDistance
Class 3,沙田,Turf,1600,True,15,254,49,42.9,5.91,19.29,ClassVenueDistance
Class 4,沙田,AWT,1200,True,19,240,56,31.5,7.92,23.33,ClassVenueDistance
Class 3,跑馬地,Turf,1650,False,20,230,66,17.67,8.7,28.7,ClassVenueDistance
Class 5,跑馬地,Turf,1200,True,15,201,46,25.46,7.46,22.89,ClassVenueDistance
