Jockey,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
潘頓,沙田,Turf,1200,58,205,109,-58.0,4.7,28.29,53.17,-28.29
田泰安,沙田,Turf,1400,13,205,43,-34.300000000000004,29.91,6.34,20.98,-16.73
潘頓,沙田,Turf,1400,52,204,105,0.8000000000000025,5.57,25.49,51.47,0.39
艾兆禮,沙田,Turf,1400,16,201,59,-79.4,24.43,7.96,29.35,-39.5
田泰安,沙田,Turf,1200,13,196,47,-84.8,33.52,6.63,23.98,-43.27
布文,跑馬地,Turf,1200,23,191,65,-81.5,10.72,12.04,34.03,-42.67
艾兆禮,沙田,Turf,1200,13,189,42,-93.39999999999999,32.41,6.88,22.22,-49.42
潘頓,跑馬地,Turf,1200,40,188,98,-40.4,5.39,21.28,52.13,-21.49
田泰安,跑馬地,Turf,1200,11,183,45,-100.1,23.1,6.01,24.59,-54.7
艾兆禮,跑馬地,Turf,1200,24,180,55,3.5000000000000018,20.08,13.33,30.56,1.94
布文,沙田,Turf,1400,21,178,60,-33.800000000000004,15.16,11.8,33.71,-18.99
布文,沙田,Turf,1200,17,170,57,-89.2,20.18,10.0,33.53,-52.47
艾道拿,沙田,Turf,1400,12,170,46,-74.9,30.44,7.06,27.06,-44.06
潘明輝,沙田,Turf,1200,10,170,29,-22.499999999999996,46.91,5.88,17.06,-13.24
潘明輝,沙田,Turf,1400,12,165,34,-9.799999999999997,38.67,7.27,20.61,-5.94
希威森,沙田,Turf,1400,8,165,36,-71.8,35.43,4.85,21.82,-43.52
蔡明紹,跑馬地,Turf,1200,8,163,33,-105.6,25.45,4.91,20.25,-64.79
巴度,跑馬地,Turf,1200,10,162,46,-89.5,24.69,6.17,28.4,-55.25
蔡明紹,沙田,Turf,1200,4,162,30,-77.39999999999999,43.4,2.47,18.52,-47.78
巴度,沙田,Turf,1400,14,161,39,-85.6,27.66,8.7,24.22,-53.17
梁家俊,沙田,Turf,1200,18,160,40,198.5,44.49,11.25,25.0,124.06
班德禮,沙田,Turf,1400,10,158,32,-31.2,38.86,6.33,20.25,-19.75
潘明輝,跑馬地,Turf,1200,11,156,36,-65.80000000000001,26.2,7.05,23.08,-42.18
霍宏聲,沙田,Turf,1200,12,154,34,40.0,34.04,7.79,22.08,25.97
希威森,跑馬地,Turf,1200,11,154,30,-32.7,35.98,7.14,19.48,-21.23
希威森,沙田,Turf,1200,6,152,29,-86.9,42.21,3.95,19.08,-57.17
楊明綸,沙田,Turf,1200,10,151,23,-43.0,64.18,6.62,15.23,-28.48
班德禮,跑馬地,Turf,1200,11,150,36,-39.1,25.57,7.33,24.0,-26.07
蔡明紹,沙田,Turf,1400,5,150,20,-66.0,45.49,3.33,13.33,-44.0
霍宏聲,跑馬地,Turf,1200,18,149,33,83.2,22.04,12.08,22.15,55.84
艾道拿,沙田,Turf,1200,8,149,40,-26.299999999999997,33.61,5.37,26.85,-17.65
楊明綸,沙田,Turf,1400,5,146,21,36.2,68.24,3.42,14.38,24.79
梁家俊,沙田,Turf,1400,6,145,27,-92.3,44.59,4.14,18.62,-63.66
周俊樂,沙田,Turf,1400,14,144,25,-19.200000000000003,46.6,9.72,17.36,-13.33
班德禮,沙田,Turf,1200,11,143,34,-38.1,47.38,7.69,23.78,-26.64
巴度,沙田,Turf,1200,6,143,24,-30.0,45.64,4.2,16.78,-20.98
鍾易禮,沙田,Turf,1400,8,142,15,-46.1,61.72,5.63,10.56,-32.46
霍宏聲,沙田,Turf,1400,14,141,32,-2.4000000000000012,28.14,9.93,22.7,-1.7
周俊樂,跑馬地,Turf,1200,11,141,39,-58.0,25.07,7.8,27.66,-41.13
艾道拿,跑馬地,Turf,1200,8,141,30,-65.2,20.57,5.67,21.28,-46.24
周俊樂,沙田,Turf,1200,10,134,32,-65.4,43.87,7.46,23.88,-48.81
鍾易禮,沙田,Turf,1200,3,134,16,-102.9,65.49,2.24,11.94,-76.79
潘頓,跑馬地,Turf,1650,22,131,57,-34.0,5.56,16.79,43.51,-25.95
田泰安,跑馬地,Turf,1650,10,128,40,3.8999999999999986,17.08,7.81,31.25,3.05
梁家俊,跑馬地,Turf,1200,10,126,28,-42.2,29.57,7.94,22.22,-33.49
布文,跑馬地,Turf,1650,26,124,47,67.0,9.05,20.97,37.9,54.03
鍾易禮,跑馬地,Turf,1200,6,124,20,-59.8,41.41,4.84,16.13,-48.23
艾兆禮,跑馬地,Turf,1650,10,119,34,-8.8,19.72,8.4,28.57,-7.39
楊明綸,跑馬地,Turf,1200,3,116,16,-9.400000000000006,52.62,2.59,13.79,-8.1
