Jockey,Trainer,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
鍾易禮,告東尼,26,402,73,-144.7,37.45,6.47,18.16,-36.0
艾道拿,蔡約翰,23,254,88,-59.4,22.0,9.06,34.65,-23.39
霍宏聲,廖康銘,19,240,66,-91.8,19.15,7.92,27.5,-38.25
黃智弘,方嘉柏,27,213,59,25.7,22.99,12.68,27.7,12.07
蔡明紹,巫偉傑,13,204,49,-37.5,34.79,6.37,24.02,-18.38
艾兆禮,蔡約翰,25,188,56,-6.699999999999999,21.51,13.3,29.79,-3.56
梁家俊,羅富全,15,171,46,-24.2,25.94,8.77,26.9,-14.15
希威森,廖康銘,13,169,43,-53.4,25.57,7.69,25.44,-31.6
潘明輝,賀賢,10,168,35,23.5,35.69,5.95,20.83,13.99
何澤堯,呂健威,19,167,48,-17.6,24.38,11.38,28.74,-10.54
梁家俊,巫偉傑,17,161,37,75.1,41.75,10.56,22.98,46.65
布文,方嘉柏,24,150,55,0.7999999999999998,11.23,16.0,36.67,0.53
楊明綸,大衛希斯,5,144,22,-119.6,56.39,3.47,15.28,-83.06
艾兆禮,伍鵬志,15,143,35,-17.2,26.7,10.49,24.48,-12.03
布文,蔡約翰,15,136,56,12.399999999999999,17.52,11.03,41.18,9.12
希威森,呂健威,9,136,29,-73.7,37.84,6.62,21.32,-54.19
潘頓,大衛希斯,34,135,67,-38.9,6.1,25.19,49.63,-28.81
蔡明紹,告東尼,7,132,31,-80.8,26.06,5.3,23.48,-61.21
艾道拿,告東尼,10,130,26,-26.6,28.64,7.69,20.0,-20.46
田泰安,桂福特,12,122,38,-22.799999999999997,20.25,9.84,31.15,-18.69
希威森,韋達,7,117,25,-61.2,42.61,5.98,21.37,-52.31
潘明輝,羅富全,8,115,27,-5.900000000000001,34.87,6.96,23.48,-5.13
潘明輝,姚本輝,11,110,29,49.8,26.98,10.0,26.36,45.27
班德禮,大衛希斯,12,107,28,-18.8,37.61,11.21,26.17,-17.57
田泰安,大衛希斯,11,106,32,-51.0,17.71,10.38,30.19,-48.11
董明朗,蘇偉賢,7,105,19,85.60000000000001,50.44,6.67,18.1,81.52
班德禮,韋達,7,104,23,-15.3,36.1,6.73,22.12,-14.71
田泰安,游達榮,7,103,27,45.7,26.42,6.8,26.21,44.37
周俊樂,容天鵬,3,103,10,-59.1,45.3,2.91,9.71,-57.38
楊明綸,鄭俊偉,3,102,15,-68.7,60.05,2.94,14.71,-67.35
班德禮,丁冠豪,5,100,16,3.0,29.59,5.0,16.0,3.0
周俊樂,巫偉傑,14,99,27,-21.5,39.56,14.14,27.27,-21.72
