Month,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
2024-09,64,712,192,24.25,8.99,26.97
2024-10,82,971,246,29.21,8.44,25.33
2024-11,74,931,222,34.5,7.95,23.85
2024-12,86,1090,259,32.9,7.89,23.76
2025-01,91,1130,273,32.08,8.05,24.16
2025-02,68,827,204,31.28,8.22,24.67
2025-03,87,1057,262,31.08,8.23,24.79
2025-04,86,1033,259,30.57,8.33,25.07
2025-05,89,1079,267,34.51,8.25,24.75
2025-06,70,877,211,31.8,7.98,24.06
2025-07,50,634,150,30.64,7.89,23.66
2025-09,55,678,165,33.46,8.11,24.34
2025-10,85,1075,255,31.36,7.91,23.72
2025-11,83,1034,250,27.58,8.03,24.18
2025-12,77,958,228,26.69,8.04,23.8
2026-01,91,1155,273,30.3,7.88,23.64
2026-02,81,1009,244,35.74,8.03,24.18
2026-03,92,1103,270,32.58,8.34,24.48
2026-04,89,1088,267,40.02,8.18,24.54
2026-05,31,392,93,32.58,7.91,23.72
