RaceClass,Venue,Track,Distance,RestBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate,Scope
Class 4,跑馬地,Turf,1200,15-28d,81,908,251,26.05,8.92,27.64,ClassVenueDistance
Class 4,沙田,Turf,1400,15-28d,66,809,191,39.64,8.16,23.61,ClassVenueDistance
Class 4,沙田,Turf,1200,15-28d,49,623,156,38.32,7.87,25.04,ClassVenueDistance
Class 4,跑馬地,Turf,1650,15-28d,53,562,153,24.4,9.43,27.22,ClassVenueDistance
Class 3,沙田,Turf,1400,15-28d,35,423,92,38.72,8.27,21.75,ClassVenueDistance
Class 3,跑馬地,Turf,1200,15-28d,39,411,112,26.38,9.49,27.25,ClassVenueDistance
Class 3,沙田,Turf,1200,15-28d,31,403,111,36.42,7.69,27.54,ClassVenueDistance
Class 4,沙田,Turf,1400,29-56d,27,360,75,40.58,7.5,20.83,ClassVenueDistance
Class 4,跑馬地,Turf,1200,29-56d,20,337,76,32.68,5.93,22.55,ClassVenueDistance
Class 4,沙田,Turf,1200,29-56d,27,314,70,43.41,8.6,22.29,ClassVenueDistance
Class 3,跑馬地,Turf,1650,15-28d,24,270,70,23.53,8.89,25.93,ClassVenueDistance
Class 4,跑馬地,Turf,1200,<=14d,30,260,71,26.86,11.54,27.31,ClassVenueDistance
Class 3,沙田,Turf,1600,15-28d,20,256,61,34.61,7.81,23.83,ClassVenueDistance
Class 4,沙田,AWT,1200,15-28d,25,237,69,25.76,10.55,29.11,ClassVenueDistance
Class 4,沙田,Turf,1600,15-28d,19,221,53,36.23,8.6,23.98,ClassVenueDistance
Class 5,沙田,Turf,1400,15-28d,17,216,47,31.49,7.87,21.76,ClassVenueDistance
Class 4,跑馬地,Turf,1650,<=14d,12,214,52,22.76,5.61,24.3,ClassVenueDistance
Class 4,沙田,Turf,1400,<=14d,13,213,45,41.58,6.1,21.13,ClassVenueDistance
Class 4,沙田,AWT,1650,15-28d,14,205,45,29.8,6.83,21.95,ClassVenueDistance
Class 3,跑馬地,Turf,1200,<=14d,13,186,44,24.82,6.99,23.66,ClassVenueDistance
Class 3,沙田,Turf,1400,29-56d,12,175,45,33.38,6.86,25.71,ClassVenueDistance
Class 4,跑馬地,Turf,1650,29-56d,14,171,36,28.72,8.19,21.05,ClassVenueDistance
Class 4,沙田,Turf,1200,<=14d,6,166,35,42.26,3.61,21.08,ClassVenueDistance
Class 3,沙田,Turf,1200,29-56d,19,165,43,29.31,11.52,26.06,ClassVenueDistance
Class 5,跑馬地,Turf,1200,15-28d,10,149,32,21.78,6.71,21.48,ClassVenueDistance
Class 3,沙田,AWT,1200,15-28d,17,144,42,25.8,11.81,29.17,ClassVenueDistance
Class 3,沙田,Turf,1400,<=14d,10,136,37,46.48,7.35,27.21,ClassVenueDistance
Class 3,沙田,Turf,1000,15-28d,9,131,30,34.69,6.87,22.9,ClassVenueDistance
Class 3,沙田,Turf,1200,<=14d,9,131,32,52.13,6.87,24.43,ClassVenueDistance
Class 4,沙田,Turf,1600,29-56d,6,126,28,30.35,4.76,22.22,ClassVenueDistance
Class 5,跑馬地,Turf,1650,15-28d,11,119,29,19.28,9.24,24.37,ClassVenueDistance
Class 3,跑馬地,Turf,1200,29-56d,11,117,36,19.18,9.4,30.77,ClassVenueDistance
Class 4,沙田,Turf,1000,15-28d,4,116,23,34.97,3.45,19.83,ClassVenueDistance
Class 4,跑馬地,Turf,1000,15-28d,8,111,23,27.95,7.21,20.72,ClassVenueDistance
Class 3,跑馬地,Turf,1650,<=14d,8,106,30,18.27,7.55,28.3,ClassVenueDistance
Class 3,沙田,AWT,1650,15-28d,11,103,29,23.79,10.68,28.16,ClassVenueDistance
Class 4,沙田,Turf,1200,57-90d,10,99,20,44.72,10.1,20.2,ClassVenueDistance
Class 4,沙田,Turf,1800,15-28d,10,99,26,22.8,10.1,26.26,ClassVenueDistance
Class 3,跑馬地,Turf,1650,29-56d,8,98,22,23.38,8.16,22.45,ClassVenueDistance
Class 5,沙田,Turf,1400,29-56d,7,97,21,27.59,7.22,21.65,ClassVenueDistance
Class 5,沙田,AWT,1200,15-28d,10,96,26,23.35,10.42,27.08,ClassVenueDistance
Class 5,沙田,Turf,1200,15-28d,8,95,19,21.97,8.42,20.0,ClassVenueDistance
Class 3,跑馬地,Turf,1800,15-28d,10,93,26,22.98,10.75,27.96,ClassVenueDistance
Class 2,沙田,Turf,1400,15-28d,7,92,29,29.59,7.61,31.52,ClassVenueDistance
Class 4,沙田,AWT,1200,29-56d,6,91,27,34.57,6.59,29.67,ClassVenueDistance
Class 4,跑馬地,Turf,1800,15-28d,11,89,27,20.38,12.36,30.34,ClassVenueDistance
Class 3,沙田,Turf,2000,15-28d,10,88,29,22.65,11.36,32.95,ClassVenueDistance
Class 4,沙田,Turf,1200,91d+,6,88,16,50.51,6.82,18.18,ClassVenueDistance
Class 3,沙田,Turf,1600,<=14d,4,87,13,34.44,4.6,14.94,ClassVenueDistance
Class 5,跑馬地,Turf,1200,29-56d,10,86,22,22.01,11.63,25.58,ClassVenueDistance
Class 4,沙田,Turf,1600,<=14d,9,83,17,31.88,10.84,20.48,ClassVenueDistance
Class 4,沙田,Turf,1400,57-90d,3,82,14,49.53,3.66,17.07,ClassVenueDistance
Class 3,沙田,Turf,1600,29-56d,6,79,19,37.98,7.59,24.05,ClassVenueDistance
Class 3,沙田,Turf,1800,15-28d,6,78,14,25.81,7.69,17.95,ClassVenueDistance
Class 5,沙田,Turf,1400,<=14d,4,78,16,28.01,5.13,20.51,ClassVenueDistance
Class 5,跑馬地,Turf,1000,15-28d,9,77,20,18.01,11.69,25.97,ClassVenueDistance
Class 5,沙田,AWT,1650,15-28d,7,77,18,24.66,9.09,23.38,ClassVenueDistance
Class 4,跑馬地,Turf,1200,57-90d,2,77,10,34.17,2.6,12.99,ClassVenueDistance
Class 4,跑馬地,Turf,1200,91d+,10,76,19,36.92,13.16,25.0,ClassVenueDistance
Class 2,沙田,Turf,1200,15-28d,9,75,20,33.21,12.0,26.67,ClassVenueDistance
Class 3,跑馬地,Turf,1000,15-28d,8,74,23,25.45,10.81,31.08,ClassVenueDistance
Class 5,沙田,Turf,1200,29-56d,4,74,13,27.89,5.41,17.57,ClassVenueDistance
Class 4,沙田,Turf,1000,29-56d,5,73,18,43.34,6.85,24.66,ClassVenueDistance
Class 5,跑馬地,Turf,1200,<=14d,6,72,24,20.08,8.33,33.33,ClassVenueDistance
Class 2,沙田,Turf,1600,15-28d,4,72,19,21.42,5.56,26.39,ClassVenueDistance
Class 2,沙田,Turf,1400,29-56d,9,71,18,33.43,12.68,25.35,ClassVenueDistance
Class 5,跑馬地,Turf,1650,<=14d,5,70,19,19.69,7.14,27.14,ClassVenueDistance
Class 5,沙田,Turf,1600,15-28d,5,69,15,24.98,7.25,21.74,ClassVenueDistance
Class 4,沙田,AWT,1200,<=14d,3,69,8,28.57,4.35,11.59,ClassVenueDistance
Class 3,沙田,AWT,1650,29-56d,4,68,13,23.41,5.88,19.12,ClassVenueDistance
Class 5,跑馬地,Turf,1650,29-56d,7,66,18,21.8,10.61,27.27,ClassVenueDistance
Class 5,沙田,AWT,1200,29-56d,4,66,19,19.93,6.06,28.79,ClassVenueDistance
Class 4,沙田,AWT,1650,<=14d,6,64,17,28.92,9.38,26.56,ClassVenueDistance
Class 4,沙田,Turf,2000,15-28d,4,62,13,27.4,6.45,20.97,ClassVenueDistance
