RunStyle,Venue,Track,Distance,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Closer,沙田,Turf,1400,79,1623,262,49.05,4.87,16.14
Closer,沙田,Turf,1200,59,1442,216,54.27,4.09,14.98
Closer,跑馬地,Turf,1200,52,1258,199,37.28,4.13,15.82
Midpack,跑馬地,Turf,1200,96,1062,302,21.11,9.04,28.44
Midpack,沙田,Turf,1200,77,1060,276,32.38,7.26,26.04
Midpack,沙田,Turf,1400,88,1027,268,32.11,8.57,26.1
Closer,跑馬地,Turf,1650,54,809,161,30.28,6.67,19.9
Frontrunner,跑馬地,Turf,1200,118,798,298,18.62,14.79,37.34
Frontrunner,沙田,Turf,1200,129,795,303,27.76,16.23,38.11
Frontrunner,沙田,Turf,1400,90,771,241,28.6,11.67,31.26
Midpack,跑馬地,Turf,1650,73,700,211,20.25,10.43,30.14
Closer,沙田,Turf,1600,39,693,140,36.33,5.63,20.2
Frontrunner,跑馬地,Turf,1650,50,525,154,17.68,9.52,29.33
Midpack,沙田,Turf,1600,38,452,113,27.65,8.41,25.0
Closer,沙田,AWT,1200,18,411,65,36.34,4.38,15.82
Closer,沙田,Turf,1000,13,402,51,51.65,3.23,12.69
Closer,沙田,AWT,1650,10,369,62,33.6,2.71,16.8
Midpack,沙田,AWT,1200,30,344,104,20.65,8.72,30.23
Frontrunner,沙田,Turf,1600,36,339,87,33.4,10.62,25.66
Closer,跑馬地,Turf,1000,7,300,35,35.76,2.33,11.67
Midpack,沙田,Turf,1000,20,285,78,29.66,7.02,27.37
Midpack,跑馬地,Turf,1000,27,268,75,18.6,10.07,27.99
Closer,沙田,Turf,1800,19,262,55,27.94,7.25,20.99
Frontrunner,沙田,AWT,1200,38,258,90,16.51,14.73,34.88
Midpack,沙田,AWT,1650,25,247,57,23.19,10.12,23.08
Closer,跑馬地,Turf,1800,19,232,52,23.77,8.19,22.41
Frontrunner,沙田,Turf,1000,40,216,87,17.24,18.52,40.28
Frontrunner,跑馬地,Turf,1000,33,201,91,14.47,16.42,45.27
Midpack,跑馬地,Turf,1800,15,200,55,18.09,7.5,27.5
Frontrunner,沙田,AWT,1650,27,186,67,17.75,14.52,36.02
Closer,沙田,Turf,2000,10,181,33,31.66,5.52,18.23
Midpack,沙田,Turf,1800,9,172,42,27.69,5.23,24.42
Frontrunner,跑馬地,Turf,1800,16,150,44,20.42,10.67,29.33
Midpack,沙田,Turf,2000,16,147,46,23.54,10.88,31.29
Frontrunner,沙田,Turf,1800,15,129,32,29.63,11.63,24.81
Frontrunner,沙田,Turf,2000,11,111,32,26.62,9.91,28.83
Midpack,跑馬地,Turf,2200,6,72,18,20.27,8.33,25.0
Closer,沙田,AWT,1800,2,72,7,27.75,2.78,9.72
Closer,跑馬地,Turf,2200,6,69,24,17.24,8.7,34.78
Frontrunner,跑馬地,Turf,2200,6,54,13,15.3,11.11,24.07
Midpack,沙田,AWT,1800,4,48,15,22.06,8.33,31.25
Frontrunner,沙田,AWT,1800,6,36,14,26.56,16.67,38.89
Midpack,沙田,Turf,2400,3,19,7,12.6,15.79,36.84
Frontrunner,沙田,Turf,2400,1,15,5,27.16,6.67,33.33
Closer,沙田,Turf,2400,1,13,3,23.06,7.69,23.08
