Trainer,Venue,Track,Distance,Wins,Starts,Places,Profit,AvgOdds,WinRate,PlaceRate,ROI
蔡約翰,沙田,Turf,1200,22,229,87,-78.0,25.29,9.61,37.99,-34.06
大衛希斯,沙田,Turf,1200,24,222,51,-114.0,41.85,10.81,22.97,-51.35
呂健威,沙田,Turf,1400,27,213,66,43.0,35.17,12.68,30.99,20.19
呂健威,沙田,Turf,1200,23,209,70,-78.2,33.08,11.0,33.49,-37.42
韋達,跑馬地,Turf,1200,23,207,61,11.6,19.33,11.11,29.47,5.6
蔡約翰,沙田,Turf,1400,25,206,75,-41.9,23.27,12.14,36.41,-20.34
大衛希斯,沙田,Turf,1400,19,204,44,-35.6,35.73,9.31,21.57,-17.45
告東尼,沙田,Turf,1400,13,189,35,-86.8,39.36,6.88,18.52,-45.93
羅富全,沙田,Turf,1200,16,188,44,-25.0,38.89,8.51,23.4,-13.3
伍鵬志,沙田,Turf,1400,12,188,41,-72.3,36.18,6.38,21.81,-38.46
廖康銘,跑馬地,Turf,1200,24,187,56,-8.100000000000001,19.14,12.83,29.95,-4.33
蘇偉賢,沙田,Turf,1400,24,185,63,45.50000000000001,29.49,12.97,34.05,24.59
沈集成,跑馬地,Turf,1200,17,185,49,61.7,25.33,9.19,26.49,33.35
大衛希斯,跑馬地,Turf,1200,23,184,55,-44.5,28.04,12.5,29.89,-24.18
巫偉傑,沙田,Turf,1400,18,183,46,-56.199999999999996,37.24,9.84,25.14,-30.71
方嘉柏,跑馬地,Turf,1200,28,182,60,-12.7,18.02,15.38,32.97,-6.98
羅富全,沙田,Turf,1400,11,180,39,-83.6,31.11,6.11,21.67,-46.44
文家良,沙田,Turf,1400,11,179,36,-103.1,49.14,6.15,20.11,-57.6
蔡約翰,跑馬地,Turf,1200,12,169,51,-88.3,19.45,7.1,30.18,-52.25
廖康銘,沙田,Turf,1200,10,168,46,-2.3000000000000016,32.18,5.95,27.38,-1.37
賀賢,沙田,Turf,1400,10,168,32,-105.1,33.41,5.95,19.05,-62.56
巫偉傑,沙田,Turf,1200,15,166,40,53.2,40.45,9.04,24.1,32.05
巫偉傑,跑馬地,Turf,1200,11,164,40,-73.6,28.12,6.71,24.39,-44.88
方嘉柏,沙田,Turf,1400,9,163,47,-75.80000000000001,31.0,5.52,28.83,-46.5
游達榮,沙田,Turf,1400,17,162,37,25.400000000000006,42.63,10.49,22.84,15.68
蘇偉賢,沙田,Turf,1200,18,159,46,105.0,41.52,11.32,28.93,66.04
沈集成,沙田,Turf,1200,14,159,37,-16.2,40.84,8.81,23.27,-10.19
姚本輝,跑馬地,Turf,1200,14,158,51,-19.299999999999997,19.25,8.86,32.28,-12.22
羅富全,跑馬地,Turf,1200,13,157,40,-39.0,23.96,8.28,25.48,-24.84
告東尼,跑馬地,Turf,1200,12,156,40,-54.4,22.28,7.69,25.64,-34.87
告東尼,沙田,Turf,1200,6,155,23,-92.1,48.57,3.87,14.84,-59.42
伍鵬志,沙田,Turf,1200,5,155,16,-123.4,41.0,3.23,10.32,-79.61
姚本輝,沙田,Turf,1400,14,153,51,-45.9,31.98,9.15,33.33,-30.0
黎昭昇,跑馬地,Turf,1200,9,153,32,-70.4,33.23,5.88,20.92,-46.01
文家良,沙田,Turf,1200,17,152,38,148.5,48.82,11.18,25.0,97.7
賀賢,沙田,Turf,1200,11,151,46,-71.3,39.43,7.28,30.46,-47.22
大衛希斯,跑馬地,Turf,1650,11,150,45,-82.8,20.36,7.33,30.0,-55.2
廖康銘,沙田,Turf,1400,14,147,33,-81.7,25.04,9.52,22.45,-55.58
葉楚航,沙田,Turf,1200,8,145,27,-93.6,46.76,5.52,18.62,-64.55
呂健威,跑馬地,Turf,1200,14,144,41,-57.9,28.37,9.72,28.47,-40.21
黎昭昇,沙田,Turf,1200,18,141,39,-36.6,33.21,12.77,27.66,-25.96
告東尼,跑馬地,Turf,1650,13,139,36,-19.199999999999996,16.44,9.35,25.9,-13.81
方嘉柏,跑馬地,Turf,1650,23,135,45,46.1,14.23,17.04,33.33,34.15
伍鵬志,跑馬地,Turf,1200,9,129,32,-45.7,28.68,6.98,24.81,-35.43
姚本輝,沙田,Turf,1200,13,127,40,-64.8,29.24,10.24,31.5,-51.02
游達榮,跑馬地,Turf,1650,13,126,41,30.7,23.22,10.32,32.54,24.37
沈集成,跑馬地,Turf,1650,16,123,33,-5.8999999999999995,19.45,13.01,26.83,-4.8
文家良,跑馬地,Turf,1200,10,122,24,-71.3,39.17,8.2,19.67,-58.44
韋達,沙田,Turf,1200,4,122,23,-96.2,48.26,3.28,18.85,-78.85
賀賢,跑馬地,Turf,1200,6,121,28,-89.6,30.12,4.96,23.14,-74.05
韋達,沙田,Turf,1400,3,121,21,-100.9,57.24,2.48,17.36,-83.39
沈集成,沙田,Turf,1400,2,120,7,-58.5,73.89,1.67,5.83,-48.75
鄭俊偉,跑馬地,Turf,1200,10,118,33,-8.900000000000002,31.94,8.47,27.97,-7.54
徐雨石,跑馬地,Turf,1200,6,118,20,-81.8,40.94,5.08,16.95,-69.32
葉楚航,沙田,Turf,1400,5,118,13,-47.199999999999996,48.37,4.24,11.02,-40.0
伍鵬志,跑馬地,Turf,1650,6,116,24,-32.5,19.98,5.17,20.69,-28.02
巫偉傑,跑馬地,Turf,1650,13,113,29,-15.7,25.24,11.5,25.66,-13.89
鄭俊偉,沙田,Turf,1400,2,112,11,-92.4,56.83,1.79,9.82,-82.5
蘇偉賢,跑馬地,Turf,1200,1,112,12,-99.0,44.9,0.89,10.71,-88.39
鄭俊偉,沙田,Turf,1200,6,108,24,-32.5,65.51,5.56,22.22,-30.09
姚本輝,沙田,Turf,1600,10,106,31,-32.2,24.18,9.43,29.25,-30.38
姚本輝,跑馬地,Turf,1650,9,106,30,-23.5,18.16,8.49,28.3,-22.17
告東尼,沙田,Turf,1600,4,105,17,-63.8,36.85,3.81,16.19,-60.76
蔡約翰,沙田,Turf,1600,12,104,25,45.3,26.49,11.54,24.04,43.56
游達榮,沙田,Turf,1200,7,104,20,-0.6000000000000028,30.74,6.73,19.23,-0.58
丁冠豪,沙田,Turf,1400,6,104,18,-29.0,43.81,5.77,17.31,-27.88
羅富全,跑馬地,Turf,1650,9,103,28,-48.0,20.47,8.74,27.18,-46.6
葉楚航,跑馬地,Turf,1200,8,100,18,-56.8,38.3,8.0,18.0,-56.8
方嘉柏,沙田,Turf,1200,7,99,17,-44.3,37.31,7.07,17.17,-44.75
廖康銘,跑馬地,Turf,1650,10,98,33,-30.400000000000002,10.12,10.2,33.67,-31.02
徐雨石,沙田,Turf,1200,3,98,9,-69.4,72.61,3.06,9.18,-70.82
黎昭昇,沙田,Turf,1400,0,98,10,-98.0,52.09,0.0,10.2,-100.0
容天鵬,沙田,Turf,1400,8,96,21,35.2,39.13,8.33,21.88,36.67
游達榮,跑馬地,Turf,1200,8,94,21,-7.799999999999999,21.92,8.51,22.34,-8.3
呂健威,沙田,Turf,1600,5,94,27,-28.4,31.19,5.32,28.72,-30.21
韋達,跑馬地,Turf,1650,5,93,26,-42.1,29.52,5.38,27.96,-45.27
丁冠豪,沙田,Turf,1200,7,92,24,-57.5,43.77,7.61,26.09,-62.5
羅富全,沙田,Turf,1600,6,88,20,-65.1,37.34,6.82,22.73,-73.98
蔡約翰,跑馬地,Turf,1650,7,87,17,-23.7,24.03,8.05,19.54,-27.24
大衛希斯,沙田,Turf,1600,4,86,24,-50.1,30.15,4.65,27.91,-58.26
呂健威,跑馬地,Turf,1650,9,84,30,46.5,17.37,10.71,35.71,55.36
黎昭昇,跑馬地,Turf,1650,7,83,18,25.1,31.73,8.43,21.69,30.24
伍鵬志,沙田,Turf,1600,7,81,15,-20.7,27.22,8.64,18.52,-25.56
容天鵬,沙田,Turf,1200,5,80,11,-24.4,47.54,6.25,13.75,-30.5
蘇偉賢,跑馬地,Turf,1650,6,77,14,-26.6,29.63,7.79,18.18,-34.55
伍鵬志,沙田,AWT,1650,4,76,18,-48.6,21.18,5.26,23.68,-63.95
廖康銘,沙田,Turf,1600,9,75,18,-27.6,25.72,12.0,24.0,-36.8
方嘉柏,沙田,Turf,1600,9,74,20,-19.7,15.26,12.16,27.03,-26.62
游達榮,沙田,Turf,1600,5,71,18,-52.8,38.73,7.04,25.35,-74.37
徐雨石,沙田,Turf,1400,4,71,9,86.6,72.37,5.63,12.68,121.97
文家良,跑馬地,Turf,1650,8,69,18,67.7,29.0,11.59,26.09,98.12
方嘉柏,沙田,AWT,1200,7,65,14,-1.4000000000000021,19.38,10.77,21.54,-2.15
丁冠豪,跑馬地,Turf,1200,4,65,12,80.5,32.89,6.15,18.46,123.85
大衛希斯,沙田,Turf,1000,2,65,11,-45.4,44.91,3.08,16.92,-69.85
蔡約翰,沙田,Turf,1000,11,64,24,48.8,22.96,17.19,37.5,76.25
文家良,沙田,AWT,1200,10,64,22,4.399999999999999,17.4,15.62,34.38,6.87
徐雨石,跑馬地,Turf,1650,3,64,18,-35.3,28.46,4.69,28.12,-55.16
巫偉傑,沙田,Turf,1600,3,63,12,-35.3,40.27,4.76,19.05,-56.03
桂福特,沙田,Turf,1400,3,62,16,6.0,25.74,4.84,25.81,9.68
大衛希斯,沙田,AWT,1200,3,61,10,-44.9,40.57,4.92,16.39,-73.61
告東尼,沙田,Turf,1800,8,60,18,15.200000000000001,17.09,13.33,30.0,25.33
賀賢,沙田,AWT,1200,8,60,17,10.899999999999999,21.53,13.33,28.33,18.17
