RaceClass,WtBucket,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
Class 1,Heavy (131+),5,22,9,8.39,22.73,40.91
Class 1,Med-Heavy (127-130),3,18,9,12.02,16.67,50.0
Class 1,Med-Light (116-120),2,21,5,20.5,9.52,23.81
Class 1,Light (<=115),1,23,5,40.34,4.35,21.74
Class 1,Medium (121-126),0,14,5,15.11,0.0,35.71
Class 2,Med-Heavy (127-130),17,145,49,21.1,11.72,33.79
Class 2,Medium (121-126),38,365,105,24.34,10.41,28.77
Class 2,Med-Light (116-120),26,284,79,25.7,9.15,27.82
Class 2,Heavy (131+),15,188,42,25.67,7.98,22.34
Class 2,Light (<=115),7,121,32,28.43,5.79,26.45
Class 3,Med-Heavy (127-130),88,854,254,23.31,10.3,29.74
Class 3,Heavy (131+),77,878,224,20.59,8.77,25.51
Class 3,Medium (121-126),162,1877,484,33.42,8.63,25.79
Class 3,Light (<=115),18,252,38,49.12,7.14,15.08
Class 3,Med-Light (116-120),85,1462,287,40.91,5.81,19.63
Class 4,Heavy (131+),206,1900,581,23.32,10.84,30.58
Class 4,Med-Heavy (127-130),196,2323,555,35.37,8.44,23.89
Class 4,Light (<=115),15,228,40,40.76,6.58,17.54
Class 4,Medium (121-126),190,2943,594,39.12,6.46,20.18
Class 4,Med-Light (116-120),94,1507,337,34.31,6.24,22.36
Class 5,Med-Light (116-120),25,279,74,26.65,8.96,26.52
Class 5,Med-Heavy (127-130),51,599,132,25.07,8.51,22.04
Class 5,Medium (121-126),52,612,147,24.53,8.5,24.02
Class 5,Heavy (131+),71,950,243,20.75,7.47,25.58
Class 5,Light (<=115),7,101,20,31.06,6.93,19.8
Griffin,Med-Heavy (127-130),1,1,1,1.7,100.0,100.0
Griffin,Medium (121-126),6,59,17,29.47,10.17,28.81
Griffin,Heavy (131+),0,3,2,5.03,0.0,66.67
Griffin,Light (<=115),0,1,1,10.0,0.0,100.0
Griffin,Med-Light (116-120),0,1,0,160.0,0.0,0.0
Group 1,Heavy (131+),3,30,11,15.57,10.0,36.67
Group 1,Medium (121-126),27,282,77,51.58,9.57,27.3
Group 1,Med-Heavy (127-130),2,24,6,20.04,8.33,25.0
Group 1,Med-Light (116-120),1,20,5,19.02,5.0,25.0
Group 1,Light (<=115),0,4,0,74.75,0.0,0.0
Group 2,Med-Heavy (127-130),8,21,10,18.88,38.1,47.62
Group 2,Light (<=115),2,20,4,58.62,10.0,20.0
Group 2,Medium (121-126),4,96,24,53.9,4.17,25.0
Group 2,Heavy (131+),0,5,2,7.82,0.0,40.0
Group 2,Med-Light (116-120),0,12,2,79.41,0.0,16.67
Group 3,Med-Light (116-120),5,28,8,21.12,17.86,28.57
Group 3,Light (<=115),6,50,14,30.63,12.0,28.0
Group 3,Med-Heavy (127-130),3,30,11,20.11,10.0,36.67
Group 3,Medium (121-126),5,54,18,15.81,9.26,33.33
Group 3,Heavy (131+),1,42,9,25.37,2.38,21.43
Unknown,Medium (121-126),6,84,18,32.28,7.14,21.43
