Horse,Wins,Starts,Places,AvgOdds,WinRate
嘉應高昇(J062),15,15,15,1.1,100.0
康樂高球(J517),7,11,9,7.4,63.6
祝願(J256),7,17,12,4.5,41.2
浪漫勇士(E486),7,7,7,1.2,100.0
遨遊氣泡(E436),6,14,11,5.1,42.9
小鳥天堂(K246),6,12,8,3.2,50.0
錶之星河(J343),6,16,10,6.7,37.5
舉步生風(J358),6,19,11,20.4,31.6
錶之宇宙(J357),5,13,6,11.2,38.5
騰龍四海(J317),5,19,10,14.2,26.3
信心星(J161),5,24,12,9.2,20.8
會當凌(K122),5,10,6,14.7,50.0
時時歡欣(K141),5,8,6,3.0,62.5
星際快車(J186),5,25,10,22.9,20.0
光年魅力(K130),5,17,9,10.0,29.4
大番薯(J383),5,18,6,19.6,27.8
勝萬金(H405),5,27,12,9.7,18.5
翠紅(K173),5,14,8,12.8,35.7
豐辰(K004),5,26,12,42.6,19.2
美麗緣分(H281),5,9,7,12.6,55.6
白鷺金剛(K296),5,11,9,4.6,45.5
加州動員(H418),5,18,8,14.7,27.8
首飾天空(K032),5,7,6,2.5,71.4
天時明駒(H016),5,17,11,10.2,29.4
銀進(G266),4,20,5,14.8,20.0
不同世界(K005),4,19,7,22.6,21.1
堅有利(G462),4,12,6,12.4,33.3
增強(J114),4,11,8,6.7,36.4
天威(J200),4,21,6,19.6,19.0
一定掂(J225),4,21,8,9.3,19.0
天將龍駒(K129),4,18,10,12.1,22.2
一生好彩(K114),4,18,7,8.7,22.2
風雲武士(J027),4,26,10,26.8,15.4
一起美麗(J260),4,17,8,8.3,23.5
快活英雄(J346),4,18,8,11.5,22.2
愛馬善(H155),4,23,9,22.5,17.4
俏眼光(L003),4,10,8,10.2,40.0
極上紗瓏(K585),4,5,4,3.7,80.0
興馳千里(K533),4,6,5,5.1,66.7
晨曦儷人(J066),4,19,9,11.0,21.1
星火燎原(J150),4,32,12,31.6,12.5
新意馬(K094),4,18,7,21.2,22.2
勇霸龍(J237),4,30,12,13.6,13.3
精彩駿將(J417),4,13,7,5.9,30.8
膨才(K076),4,17,6,20.2,23.5
北地烈馬(J488),4,22,6,20.7,18.2
十二神將(H435),4,21,5,24.2,19.0
有目共賞(K020),4,15,6,11.8,26.7
友愛心得(J537),4,22,7,15.0,18.2
時時歡聲(K350),4,6,5,5.6,66.7
太陽勇士(J127),4,27,17,7.5,14.8
鈦易搵(H216),4,22,6,26.7,18.2
伶俐驫駒(H108),4,22,13,6.9,18.2
富喜來(H213),4,21,6,22.7,19.0
德心知遇(J133),4,29,8,23.5,13.8
幸運星球(H235),4,22,8,21.1,18.2
三軍勇將(J360),4,24,8,15.5,16.7
勇敢巨星(G268),4,18,8,37.1,22.2
環球英雄(J413),4,22,5,18.5,18.2
熾烈神駒(J157),4,23,12,11.3,17.4
瑤瑤日上(J423),4,25,8,23.6,16.0
美麗第一(H294),4,23,7,59.1,17.4
凱旋升(J489),4,17,6,23.3,23.5
加州活力(J131),4,24,7,10.2,16.7
滿心星(K054),4,21,12,13.3,19.0
英駿飛駒(H376),4,18,7,11.3,22.2
包裝天將(J277),4,14,8,16.3,28.6
勁先生(J239),4,17,8,8.6,23.5
竣誠駒(H486),4,27,7,14.0,14.8
勁沙塵(J514),4,18,12,13.2,22.2
福星小子(K434),4,14,5,21.0,28.6
笑傲江湖(K168),4,14,8,11.6,28.6
皇龍飛將(J279),4,20,7,9.3,20.0
真心傳奇(J325),4,19,8,12.0,21.1
喜尊龍(J481),3,14,9,10.7,21.4
年年友福(G463),3,23,8,15.2,13.0
金勝名駒(H461),3,22,5,32.2,13.6
都靈勇士(G150),3,19,4,23.8,15.8
金創福威(K002),3,23,6,28.1,13.0
金牌活力(J402),3,23,7,25.0,13.0
醒目高球(L004),3,6,4,2.9,50.0
金主(J389),3,9,6,11.7,33.3
手機錶霸(H485),3,18,8,19.5,16.7
手機錶勁(L099),3,5,5,2.6,60.0
銀亮奔騰(K057),3,14,7,10.6,21.4
佳福駒(G230),3,21,3,48.1,14.3
巧眼光(J542),3,20,6,10.4,15.0
帝豪歡星(H248),3,10,5,11.2,30.0
青春力量(H358),3,21,7,14.2,14.3
人和家興(E061),3,33,8,30.6,9.1
關鍵所在(K154),3,22,4,42.9,13.6
開心寶寶(J142),3,17,8,31.6,17.6
陽光勇士(H244),3,19,8,25.2,15.8
但求開心(J420),3,17,9,13.6,17.6
安都(K033),3,22,9,10.1,13.6
飛輪步(H122),3,22,3,39.9,13.6
你知我得(H278),3,17,7,18.2,17.6
客家之光(J105),3,22,9,7.5,13.6
大浪圖田(J197),3,18,10,11.6,16.7
黑桃火箭(G170),3,11,6,13.6,27.3
一定超(K298),3,12,6,10.5,25.0
寶進(K249),3,13,6,9.4,23.1
顏色之皇(K227),3,14,10,4.1,21.4
風再起時(J534),3,19,7,21.0,15.8
非凡達(H364),3,18,6,19.6,16.7
領創動力(J058),3,25,8,9.8,12.0
好節拍(J519),3,13,7,36.0,23.1
魔術控制(J333),3,25,9,29.0,12.0
嘉應奇兵(J391),3,16,9,11.4,18.8
我做到(H381),3,21,6,29.2,14.3
堅又威(H186),3,5,4,5.8,60.0
團結勇士(K340),3,15,8,14.0,20.0
得道猴王(J303),3,24,6,13.9,12.5
富心星(K125),3,19,6,36.7,15.8
安泰(H161),3,27,10,13.5,11.1
錶之極光(K097),3,20,11,14.3,15.0
智勝攻略(H197),3,24,10,22.5,12.5
智勇名駒(J298),3,21,9,9.8,14.3
昭易搵(J339),3,16,8,9.6,18.8
春風萬里(H383),3,14,6,10.5,21.4
喜慶寶(K583),3,4,3,2.4,75.0
踏雪尋梅(K451),3,10,5,17.0,30.0
日日獎(H283),3,23,6,35.6,13.0
追風(J227),3,20,6,12.7,15.0
跨境寶馬(K008),3,8,6,2.9,37.5
喜蓮勇感(H215),3,21,9,20.6,14.3
君子傳承(K385),3,14,9,10.1,21.4
同滿滿(G400),3,12,4,6.6,25.0
愛心神駒(H389),3,19,6,13.4,15.8
快路(H219),3,22,6,18.0,13.6
耀寶駒(H323),3,9,5,15.4,33.3
至尊高超(J443),3,17,12,8.4,17.6
至尊瑰寶(K258),3,13,6,16.1,23.1
焦點(H173),3,20,7,17.1,15.0
包裝福星(J454),3,12,6,9.2,25.0
樂勝天下(J540),3,21,12,11.0,14.3
友瑩亮(K400),3,13,5,12.4,23.1
友瑩仁(J180),3,19,6,8.7,15.8
智跑得(J330),3,18,9,14.0,16.7
氣勢(H411),3,15,5,14.7,20.0
極速滿貫(G277),3,26,5,40.9,11.5
良駒好友(H454),3,24,5,14.0,12.5
艾莉奧(G223),3,28,7,33.9,10.7
冷娃(L014),3,6,4,15.5,50.0
凡凡有餘(J364),3,16,5,15.8,18.8
有財有勢(H037),3,24,6,17.6,12.5
同心同樂(K081),3,19,5,21.3,15.8
同樣美麗(H334),3,23,8,21.0,13.0
椒椒醒(H440),3,20,7,16.9,15.0
華麗再勝(J008),3,24,8,30.8,12.5
棒棒糖(J503),3,12,4,23.8,25.0
扶搖勢勁(K236),3,8,7,2.6,37.5
品德寶寶(J465),3,16,6,27.2,18.8
日馳千里(J143),3,24,6,17.0,12.5
有你有我(H057),3,21,5,23.6,14.3
暴風之子(K176),3,23,5,31.9,13.0
觀天下(J348),3,11,3,29.5,27.3
共享富裕(J390),3,15,4,8.4,20.0
球星(H412),3,16,5,22.0,18.8
南區之星(K153),3,13,6,8.2,23.1
活力拍檔(K554),3,7,7,6.4,42.9
火焰閃爍(K098),3,19,7,12.8,15.8
勁好運(H481),3,23,8,12.2,13.0
勁勇皇駒(K157),3,10,3,32.7,30.0
精明選擇(J146),3,27,10,14.3,11.1
糖不甩(H394),3,14,7,17.1,21.4
神馳(J321),3,16,6,5.8,18.8
燈胆將軍(K218),3,6,5,16.2,50.0
爆笑(J079),3,23,9,17.9,13.0
燭光晚餐(J468),3,21,6,16.1,14.3
全神貫注(H465),3,23,7,18.0,13.0
紅海勁(H207),3,20,6,22.7,15.0
火悟空(K335),3,12,6,5.6,25.0
瀧澤飛駒(H339),3,19,7,11.3,15.8
勝多多(H407),3,22,8,21.3,13.6
相映紅(J426),3,11,6,7.9,27.3
翠兒威威(K084),3,21,5,29.5,14.3
知道穩勝(K406),3,14,4,43.6,21.4
紅逸舍(H241),3,17,4,28.7,17.6
勇冠群英(H177),3,17,9,30.6,17.6
勁速威龍(H380),3,10,6,19.6,30.0
納百川(J276),3,19,6,11.5,15.8
飲杯(J219),3,24,8,25.6,12.5
香港神駒(J266),3,24,8,20.6,12.5
駿步騰飛(H395),3,16,6,8.9,18.8
龍文鞭影(K226),3,15,6,11.9,20.0
天天同樂(J316),3,17,8,11.8,17.6
馬力(J431),3,13,5,9.8,23.1
好友心得(H303),3,22,6,52.4,13.6
奔妙星(H401),3,13,5,8.5,23.1
天星(K234),3,18,6,12.4,16.7
天賜喜(K026),3,6,5,7.9,50.0
三江飛輪(G138),3,17,3,31.2,17.6
一世美麗(K489),3,10,6,6.5,30.0
上市魅力(H196),2,22,6,11.0,9.1
天外迎天(J490),2,19,8,12.7,10.5
堅多福(K306),2,19,4,47.5,10.5
大回報(K192),2,13,3,78.5,15.4
大力猴王(G307),2,17,3,25.7,11.8
大利好運(H234),2,27,8,12.3,7.4
天足貓(G166),2,15,5,24.0,13.3
奮鬥輝煌(J236),2,23,6,18.6,8.7
天天耍樂(J232),2,19,7,9.3,10.5
天天得樂(E294),2,9,3,14.1,22.2
天天友福(K302),2,7,2,31.6,28.6
中國心(K395),2,11,6,8.3,18.2
香港精神(D241),2,22,5,17.4,9.1
香港仔(L020),2,6,2,16.5,33.3
飛龍在天(K411),2,8,4,5.8,25.0
駿奕快車(J188),2,17,4,15.9,11.8
馬達(K165),2,13,6,22.0,15.4
精算激流(J228),2,17,3,18.2,11.8
精算暴雪(H368),2,18,10,59.0,11.1
勇闖高峰(K237),2,7,3,12.9,28.6
勇者為皇(L016),2,4,2,5.6,50.0
穿甲金鷹(K566),2,8,3,25.7,25.0
祥勝將軍(J509),2,21,9,51.0,9.5
祥勝力駒(J181),2,22,5,24.9,9.1
笑喜喜(K136),2,8,3,4.2,25.0
競駿輝煌(J195),2,27,10,11.2,7.4
競駿皇者(K011),2,12,4,24.0,16.7
競駿天下(G272),2,20,6,19.8,10.0
盛勢威楓(K111),2,18,6,30.2,11.1
盈益善(H431),2,16,8,13.0,12.5
盈好威楓(K131),2,18,9,16.0,11.1
皮具大師(H034),2,20,4,13.3,10.0
知足常樂(G448),2,17,2,70.4,11.8
睿盛人生(K507),2,6,2,14.4,33.3
綠野飛馳(K245),2,10,9,2.1,20.0
維港激流(J393),2,22,7,26.9,9.1
勁大威猛(H450),2,16,4,24.6,12.5
精彩福星(K408),2,15,5,14.2,13.3
紅愛舍(H110),2,21,3,17.8,9.5
精英高球(L023),2,4,3,13.6,50.0
精英雄心(J136),2,19,9,15.1,10.5
精算特殊(H354),2,23,6,16.7,8.7
神駒馬靈(J162),2,28,10,8.8,7.1
包裝猛將(J284),2,6,2,7.2,33.3
火神神樂(H384),2,17,6,16.6,11.8
營造組裝(H127),2,6,2,19.4,33.3
玩笑(K014),2,14,5,11.9,14.3
瑪瑙(G306),2,24,5,35.6,8.3
皇仁歡星(J278),2,13,4,15.4,15.4
包裝伯樂(H246),2,12,5,12.5,16.7
卓越蒨鋒(J231),2,20,8,18.9,10.0
午夜快車(J510),2,19,5,26.2,10.5
千杯敬典(H321),2,20,4,23.9,10.0
渾身解數(K291),2,8,2,17.7,25.0
添開心(H203),2,27,7,13.4,7.4
添喜運(J218),2,26,6,13.9,7.7
自強不息(H337),2,15,4,29.2,13.3
自動自覺(K080),2,19,5,29.9,10.5
紅海風帆(H347),2,15,2,12.4,13.3
加州本事(J370),2,16,10,25.4,12.5
加州星馳(J123),2,18,5,24.0,11.1
細水長流(K562),2,5,5,8.4,40.0
