Jockey,RaceClass,Wins,Starts,Places,WinRate
三浦皇成,Group 1,0,1,0,0.0
何澤堯,Class 1,0,1,1,0.0
何澤堯,Class 2,3,35,15,8.6
何澤堯,Class 3,21,177,43,11.9
何澤堯,Class 4,27,305,86,8.9
何澤堯,Class 5,2,52,10,3.8
何澤堯,Group 1,1,13,5,7.7
何澤堯,Group 2,1,5,2,20.0
何澤堯,Group 3,0,6,3,0.0
司徒岳,Group 1,0,1,0,0.0
周俊樂,Class 1,0,2,1,0.0
周俊樂,Class 2,2,32,8,6.2
周俊樂,Class 3,18,191,43,9.4
周俊樂,Class 4,28,404,83,6.9
周俊樂,Class 5,11,122,25,9.0
周俊樂,Griffin,1,5,3,20.0
周俊樂,Group 1,0,1,0,0.0
周俊樂,Group 2,0,5,2,0.0
周俊樂,Group 3,0,5,1,0.0
奧爾民,Class 1,0,2,1,0.0
奧爾民,Class 2,0,14,2,0.0
奧爾民,Class 3,9,139,27,6.5
奧爾民,Class 4,26,329,87,7.9
奧爾民,Class 5,4,99,15,4.0
奧爾民,Griffin,1,2,1,50.0
奧爾民,Group 1,0,4,0,0.0
奧爾民,Group 2,0,4,0,0.0
奧爾民,Group 3,0,5,2,0.0
川田將雅,Group 1,0,10,1,0.0
巫顯東,Class 2,1,11,2,9.1
巫顯東,Class 3,6,74,13,8.1
巫顯東,Class 4,1,112,5,0.9
巫顯東,Class 5,0,34,0,0.0
巫顯東,Griffin,0,1,0,0.0
巫顯東,Group 1,0,2,1,0.0
巫顯東,Group 3,0,2,1,0.0
巴度,Class 1,1,5,3,20.0
巴度,Class 2,5,69,17,7.2
巴度,Class 3,18,276,67,6.5
巴度,Class 4,21,399,87,5.3
巴度,Class 5,10,105,25,9.5
巴度,Group 1,0,10,0,0.0
巴度,Group 2,1,10,3,10.0
巴度,Group 3,2,17,9,11.8
巴米高,Class 2,0,2,0,0.0
巴米高,Class 3,0,5,0,0.0
巴米高,Class 4,0,4,2,0.0
巴米高,Class 5,1,2,1,50.0
巴米高,Group 1,2,9,3,22.2
巴米高,Group 3,0,1,0,0.0
布宜學,Class 4,0,1,0,0.0
布宜學,Group 1,1,8,2,12.5
布文,Class 1,1,8,2,12.5
布文,Class 2,13,61,19,21.3
布文,Class 3,25,277,79,9.0
布文,Class 4,63,484,165,13.0
布文,Class 5,19,154,60,12.3
布文,Griffin,0,3,0,0.0
布文,Group 1,3,30,14,10.0
布文,Group 2,0,12,5,0.0
布文,Group 3,2,19,7,10.5
布浩榮,Class 2,0,1,0,0.0
布浩榮,Class 3,0,9,1,0.0
布浩榮,Class 4,1,17,6,5.9
布浩榮,Class 5,0,5,0,0.0
布浩榮,Group 1,0,1,0,0.0
希威森,Class 1,0,1,0,0.0
希威森,Class 2,1,66,13,1.5
希威森,Class 3,13,267,58,4.9
希威森,Class 4,32,416,94,7.7
希威森,Class 5,6,98,22,6.1
希威森,Griffin,0,4,0,0.0
希威森,Group 2,0,4,1,0.0
希威森,Group 3,1,7,2,14.3
李寶利,Class 2,0,2,0,0.0
李寶利,Class 3,0,3,0,0.0
李寶利,Class 4,0,2,0,0.0
李寶利,Class 5,0,1,0,0.0
李寶利,Group 1,0,4,1,0.0
李慕華,Class 4,0,1,0,0.0
李慕華,Group 1,0,8,2,0.0
杜滿樂,Group 1,0,3,1,0.0
杜苑欣,Class 2,0,10,1,0.0
杜苑欣,Class 3,2,30,8,6.7
杜苑欣,Class 4,4,51,13,7.8
杜苑欣,Class 5,0,18,4,0.0
杜苑欣,Group 1,1,9,1,11.1
杜苑欣,Group 2,0,2,1,0.0
杜苑欣,Group 3,0,1,0,0.0
柯浩新,Group 1,0,1,0,0.0
梁家俊,Class 1,0,2,2,0.0
梁家俊,Class 2,7,49,15,14.3
梁家俊,Class 3,15,199,47,7.5
梁家俊,Class 4,27,388,82,7.0
梁家俊,Class 5,8,107,18,7.5
梁家俊,Griffin,0,6,2,0.0
梁家俊,Group 1,0,9,2,0.0
梁家俊,Group 2,1,9,2,11.1
梁家俊,Group 3,1,10,1,10.0
楊明綸,Class 1,0,4,0,0.0
楊明綸,Class 2,1,43,4,2.3
楊明綸,Class 3,7,230,28,3.0
楊明綸,Class 4,23,397,74,5.8
楊明綸,Class 5,6,113,17,5.3
楊明綸,Griffin,0,5,1,0.0
楊明綸,Group 1,0,2,0,0.0
楊明綸,Group 2,0,4,0,0.0
楊明綸,Group 3,0,7,0,0.0
橫山和生,Group 1,0,1,1,0.0
湯普新,Class 1,0,1,0,0.0
湯普新,Class 2,1,15,4,6.7
湯普新,Class 3,3,105,14,2.9
湯普新,Class 4,4,215,27,1.9
湯普新,Class 5,1,39,5,2.6
湯普新,Griffin,0,1,0,0.0
湯普新,Group 1,0,2,1,0.0
湯普新,Group 3,0,1,1,0.0
溫蘿,Group 1,0,1,0,0.0
潘大衛,Class 2,0,3,0,0.0
潘大衛,Class 3,0,30,1,0.0
潘大衛,Class 4,0,72,6,0.0
潘大衛,Class 5,0,24,1,0.0
潘大衛,Group 2,0,2,0,0.0
潘大衛,Group 3,0,1,0,0.0
潘明輝,Class 1,0,4,0,0.0
潘明輝,Class 2,3,45,7,6.7
潘明輝,Class 3,18,282,66,6.4
潘明輝,Class 4,27,447,91,6.0
潘明輝,Class 5,11,134,39,8.2
潘明輝,Griffin,0,5,1,0.0
潘明輝,Group 1,0,4,0,0.0
潘明輝,Group 2,1,7,1,14.3
潘明輝,Group 3,1,13,3,7.7
潘頓,Class 1,3,7,4,42.9
潘頓,Class 2,18,79,39,22.8
潘頓,Class 3,75,327,168,22.9
潘頓,Class 4,109,508,247,21.5
潘頓,Class 5,25,161,68,15.5
潘頓,Griffin,3,5,4,60.0
潘頓,Group 1,9,25,13,36.0
潘頓,Group 2,5,12,8,41.7
潘頓,Group 3,2,15,4,13.3
班德禮,Class 1,0,7,2,0.0
班德禮,Class 2,7,52,19,13.5
班德禮,Class 3,19,255,65,7.5
班德禮,Class 4,28,377,76,7.4
班德禮,Class 5,5,114,20,4.4
班德禮,Griffin,0,5,1,0.0
班德禮,Group 1,0,10,0,0.0
班德禮,Group 2,1,8,2,12.5
班德禮,Group 3,1,12,3,8.3
田泰安,Class 1,0,8,1,0.0
田泰安,Class 2,3,74,19,4.1
田泰安,Class 3,16,315,71,5.1
田泰安,Class 4,37,537,130,6.9
田泰安,Class 5,17,152,43,11.2
田泰安,Griffin,0,5,2,0.0
田泰安,Group 1,1,11,3,9.1
田泰安,Group 2,0,11,1,0.0
田泰安,Group 3,4,15,5,26.7
簡國能,Class 4,0,1,0,0.0
簡國能,Group 1,0,4,2,0.0
紀仁安,Class 2,1,10,3,10.0
紀仁安,Class 3,5,53,19,9.4
紀仁安,Class 4,6,75,20,8.0
紀仁安,Class 5,2,24,7,8.3
紀仁安,Group 1,1,6,2,16.7
紀仁安,Group 3,0,2,0,0.0
羅敦,Group 1,0,2,0,0.0
艾兆禮,Class 1,1,9,3,11.1
艾兆禮,Class 2,11,77,36,14.3
艾兆禮,Class 3,36,348,98,10.3
艾兆禮,Class 4,50,494,128,10.1
艾兆禮,Class 5,12,119,35,10.1
艾兆禮,Griffin,0,4,1,0.0
艾兆禮,Group 1,0,12,1,0.0
艾兆禮,Group 2,0,12,2,0.0
艾兆禮,Group 3,1,15,3,6.7
艾道拿,Class 1,0,7,1,0.0
艾道拿,Class 2,5,62,16,8.1
艾道拿,Class 3,20,221,76,9.0
艾道拿,Class 4,26,398,94,6.5
艾道拿,Class 5,7,114,22,6.1
艾道拿,Griffin,1,3,1,33.3
艾道拿,Group 1,0,19,3,0.0
艾道拿,Group 2,0,13,3,0.0
艾道拿,Group 3,2,12,3,16.7
苗傑美,Class 2,0,1,0,0.0
苗傑美,Class 4,0,1,1,0.0
苗傑美,Class 5,0,1,0,0.0
范以誠,Group 1,0,2,1,0.0
莫艾誠,Class 4,0,1,0,0.0
莫艾誠,Group 1,1,6,1,16.7
莫雅,Class 1,1,2,2,50.0
莫雅,Class 2,0,3,2,0.0
莫雅,Class 3,2,12,5,16.7
莫雅,Class 4,3,16,6,18.8
莫雅,Class 5,0,2,0,0.0
莫雅,Group 1,2,14,2,14.3
莫雷拉,Class 2,2,8,3,25.0
莫雷拉,Class 3,5,27,11,18.5
莫雷拉,Class 4,4,41,11,9.8
莫雷拉,Class 5,4,11,6,36.4
