Jockey,Distance,Wins,Starts,Places,WinRate
三浦皇成,1200,0,1,0,0.0
何澤堯,1000,5,50,12,10.0
何澤堯,1200,24,237,74,10.1
何澤堯,1400,8,113,26,7.1
何澤堯,1600,4,50,15,8.0
何澤堯,1650,11,93,26,11.8
何澤堯,1800,4,38,9,10.5
何澤堯,2000,0,10,2,0.0
何澤堯,2200,0,7,2,0.0
司徒岳,1600,0,1,0,0.0
周俊樂,1000,5,57,13,8.8
周俊樂,1200,23,317,77,7.3
周俊樂,1400,14,144,25,9.7
周俊樂,1600,3,54,10,5.6
周俊樂,1650,12,118,27,10.2
周俊樂,1800,1,53,9,1.9
周俊樂,2000,2,17,3,11.8
周俊樂,2200,0,9,1,0.0
周俊樂,2400,0,1,1,0.0
奧爾民,1000,5,54,12,9.3
奧爾民,1200,23,241,73,9.5
奧爾民,1400,5,102,15,4.9
奧爾民,1600,4,48,11,8.3
奧爾民,1650,2,93,17,2.2
奧爾民,1800,1,43,7,2.3
奧爾民,2000,0,12,0,0.0
奧爾民,2200,0,8,0,0.0
川田將雅,1000,0,1,0,0.0
川田將雅,1200,0,2,0,0.0
川田將雅,1600,0,3,0,0.0
川田將雅,1650,0,2,0,0.0
川田將雅,2000,0,2,1,0.0
巫顯東,1000,0,24,1,0.0
巫顯東,1200,2,87,8,2.3
巫顯東,1400,0,43,1,0.0
巫顯東,1600,0,16,1,0.0
巫顯東,1650,1,36,1,2.8
巫顯東,1800,2,19,3,10.5
巫顯東,2000,3,9,6,33.3
巫顯東,2200,0,1,0,0.0
巫顯東,2400,0,1,1,0.0
巴度,1000,8,81,28,9.9
巴度,1200,19,350,78,5.4
巴度,1400,14,161,39,8.7
巴度,1600,4,83,15,4.8
巴度,1650,7,112,20,6.2
巴度,1800,4,70,20,5.7
巴度,2000,1,25,5,4.0
巴度,2200,1,12,6,8.3
巴度,2400,0,2,1,0.0
巴米高,1000,1,2,1,50.0
巴米高,1200,2,6,3,33.3
巴米高,1400,0,3,0,0.0
巴米高,1600,0,3,0,0.0
巴米高,1650,0,6,2,0.0
巴米高,1800,0,3,0,0.0
巴米高,2400,0,1,0,0.0
布宜學,1000,1,2,2,50.0
