Jockey,Wins,Starts,Places,AvgOdds,WinRate,PlaceRate
潘頓,219,780,448,3.4,28.1,57.4
布文,89,352,196,4.0,25.3,55.7
艾兆禮,55,212,126,4.1,25.9,59.4
周俊樂,35,109,57,4.2,32.1,52.3
何澤堯,32,120,76,4.3,26.7,63.3
麥道朗,32,104,59,3.6,30.8,56.7
田泰安,31,191,93,4.3,16.2,48.7
班德禮,31,116,65,4.4,26.7,56.0
梁家俊,28,102,62,4.1,27.5,60.8
巴度,28,138,67,4.1,20.3,48.6
霍宏聲,27,129,68,4.0,20.9,52.7
艾道拿,26,142,79,4.1,18.3,55.6
黃智弘,18,84,44,4.2,21.4,52.4
希威森,17,114,62,4.4,14.9,54.4
奧爾民,16,65,46,4.2,24.6,70.8
潘明輝,16,94,48,4.3,17.0,51.1
蔡明紹,15,99,45,4.5,15.2,45.5
楊明綸,15,52,29,4.3,28.8,55.8
鍾易禮,11,55,29,4.5,20.0,52.7
莫雷拉,10,43,22,3.9,23.3,51.2
黃寶妮,10,32,19,4.6,31.2,59.4
紀仁安,8,38,23,4.1,21.1,60.5
莫雅,7,22,14,3.5,31.8,63.6
金誠剛,6,28,16,3.8,21.4,57.1
袁幸堯,5,16,9,4.2,31.2,56.2
巫顯東,5,11,8,3.8,45.5,72.7
麥文堅,5,15,8,4.6,33.3,53.3
湯普新,3,19,10,4.3,15.8,52.6
董明朗,2,15,9,4.1,13.3,60.0
薛恩,2,6,3,3.6,33.3,50.0
韋紀力,2,9,7,4.4,22.2,77.8
陳嘉熙,1,1,1,2.1,100.0,100.0
杜苑欣,1,9,5,4.8,11.1,55.6
連達文,1,1,1,3.7,100.0,100.0
巴米高,0,2,0,2.7,0.0,0.0
川田將雅,0,1,0,3.0,0.0,0.0
李慕華,0,3,1,5.5,0.0,33.3
李寶利,0,2,0,5.3,0.0,0.0
薛凱華,0,1,0,5.9,0.0,0.0
苗傑美,0,1,1,5.2,0.0,100.0
賀銘年,0,15,3,4.3,0.0,20.0
貝知仁,0,3,1,5.0,0.0,33.3
蘇銘倫,0,1,1,4.8,0.0,100.0
馬昆,0,2,0,3.1,0.0,0.0
