Jockey,Going,Wins,Starts,Places,WinRate
三浦皇成,一級賽 - 1200米,0,1,0,0.0
何澤堯,一級賽 - 1400米,0,1,0,0.0
何澤堯,一級賽 - 1600米,0,3,0,0.0
何澤堯,三級賽 - 1000米,0,1,1,0.0
何澤堯,三級賽 - 1400米,0,3,1,0.0
何澤堯,三級賽 - 1800米,0,2,1,0.0
何澤堯,二級賽 - 1200米,0,1,0,0.0
何澤堯,二級賽 - 1600米,1,3,2,33.3
何澤堯,二級賽 - 2000米,0,1,0,0.0
何澤堯,四歲 - 1600米,1,2,1,50.0
何澤堯,四歲 - 1800米,0,1,0,0.0
何澤堯,四歲 - 2000米,0,1,0,0.0
何澤堯,第一班 - 1200米 - (85+),0,1,1,0.0
何澤堯,第三班 - 1000米 - (80-60),3,20,5,15.0
何澤堯,第三班 - 1000米 - (85-60),1,2,1,50.0
何澤堯,第三班 - 1200米 - (80-55),0,1,0,0.0
何澤堯,第三班 - 1200米 - (80-60),11,62,21,17.7
何澤堯,第三班 - 1200米 - (85-60),0,2,0,0.0
何澤堯,第三班 - 1400米 - (80-60),1,31,6,3.2
何澤堯,第三班 - 1400米 - (85-60),0,2,0,0.0
何澤堯,第三班 - 1600米 - (80-60),1,15,4,6.7
何澤堯,第三班 - 1600米 - (85-60),0,3,1,0.0
何澤堯,第三班 - 1650米 - (80-60),3,21,5,14.3
何澤堯,第三班 - 1650米 - (85-60),0,3,0,0.0
何澤堯,第三班 - 1800米 - (80-60),1,10,2,10.0
何澤堯,第三班 - 1800米 - (85-60),0,2,0,0.0
何澤堯,第三班 - 2000米 - (80-60),0,1,0,0.0
何澤堯,第三班 - 2000米 - (85-60),0,3,0,0.0
何澤堯,第三班 - 2200米 - (80-55),0,1,0,0.0
何澤堯,第三班（條件限制） - 1600米 - (85-60),0,2,0,0.0
何澤堯,第二班 - 1000米 - (100-80),0,1,0,0.0
何澤堯,第二班 - 1000米 - (90-65),0,1,0,0.0
何澤堯,第二班 - 1200米 - (100-75),1,1,1,100.0
何澤堯,第二班 - 1200米 - (100-80),0,10,5,0.0
何澤堯,第二班 - 1200米 - (105-80),0,2,2,0.0
何澤堯,第二班 - 1400米 - (100-80),0,3,1,0.0
何澤堯,第二班 - 1400米 - (105-80),0,2,2,0.0
何澤堯,第二班 - 1400米 - (90-70),0,1,1,0.0
何澤堯,第二班 - 1600米 - (100-75),0,1,1,0.0
何澤堯,第二班 - 1600米 - (100-80),1,1,1,100.0
何澤堯,第二班 - 1600米 - (105-80),0,2,0,0.0
何澤堯,第二班 - 1650米 - (100-75),0,1,0,0.0
何澤堯,第二班 - 1650米 - (100-80),0,4,0,0.0
何澤堯,第二班 - 1650米 - (105-80),0,1,0,0.0
何澤堯,第二班 - 1800米 - (100-80),1,3,1,33.3
何澤堯,第二班 - 2000米 - (95-70),0,1,0,0.0
何澤堯,第五班 - 1000米 - (40-0),0,2,0,0.0
何澤堯,第五班 - 1200米 - (40-0),2,17,5,11.8
何澤堯,第五班 - 1400米 - (40-0),0,11,3,0.0
何澤堯,第五班 - 1600米 - (40-0),0,4,1,0.0
何澤堯,第五班 - 1650米 - (40-0),0,7,0,0.0
何澤堯,第五班 - 1800米 - (40-0),0,8,1,0.0
何澤堯,第五班 - 2200米 - (40-0),0,3,0,0.0
何澤堯,第四班 - 1000米 - (60-40),1,23,5,4.3
何澤堯,第四班 - 1200米 - (60-40),10,137,39,7.3
何澤堯,第四班 - 1400米 - (60-40),7,59,12,11.9
何澤堯,第四班 - 1600米 - (60-40),0,14,4,0.0
何澤堯,第四班 - 1650米 - (60-40),8,56,21,14.3
何澤堯,第四班 - 1800米 - (60-40),2,12,4,16.7
何澤堯,第四班 - 2000米 - (60-40),0,3,2,0.0
何澤堯,第四班 - 2200米 - (60-40),0,3,2,0.0
何澤堯,第四班（條件限制） - 1200米 - (60-40),0,3,0,0.0
司徒岳,一級賽 - 1600米,0,1,0,0.0
周俊樂,一級賽 - 1600米,0,1,0,0.0
周俊樂,三級賽 - 1000米,0,1,0,0.0
周俊樂,三級賽 - 1400米,0,1,0,0.0
周俊樂,三級賽 - 1800米,0,2,0,0.0
周俊樂,三級賽 - 2400米,0,1,1,0.0
周俊樂,二級賽 - 1600米,0,4,1,0.0
周俊樂,二級賽 - 2000米,0,1,1,0.0
周俊樂,四歲 - 1600米,0,1,0,0.0
周俊樂,四歲 - 1800米,0,1,0,0.0
周俊樂,四歲 - 2000米,0,1,0,0.0
周俊樂,新馬賽 - 1000米,1,3,2,33.3
周俊樂,新馬賽 - 1200米,0,2,1,0.0
周俊樂,第一班 - 1400米 - (110-85),0,1,0,0.0
周俊樂,第一班 - 1650米 - (110-85),0,1,1,0.0
周俊樂,第三班 - 1000米 - (80-60),1,15,1,6.7
周俊樂,第三班 - 1000米 - (85-60),1,1,1,100.0
周俊樂,第三班 - 1200米 - (80-55),0,3,1,0.0
周俊樂,第三班 - 1200米 - (80-60),7,69,21,10.1
周俊樂,第三班 - 1200米 - (85-60),0,6,1,0.0
周俊樂,第三班 - 1400米 - (80-60),3,27,6,11.1
周俊樂,第三班 - 1400米 - (85-60),0,1,0,0.0
周俊樂,第三班 - 1600米 - (80-60),1,15,2,6.7
周俊樂,第三班 - 1600米 - (85-60),1,2,2,50.0
周俊樂,第三班 - 1650米 - (80-55),0,2,0,0.0
周俊樂,第三班 - 1650米 - (80-60),3,24,3,12.5
周俊樂,第三班 - 1650米 - (85-60),0,5,1,0.0
周俊樂,第三班 - 1800米 - (80-60),1,10,4,10.0
周俊樂,第三班 - 1800米 - (85-60),0,4,0,0.0
周俊樂,第三班 - 2000米 - (80-60),0,4,0,0.0
周俊樂,第三班 - 2000米 - (85-60),0,2,0,0.0
周俊樂,第三班（條件限制） - 1600米 - (85-60),0,1,0,0.0
周俊樂,第二班 - 1000米 - (90-65),0,1,1,0.0
周俊樂,第二班 - 1200米 - (100-80),0,8,1,0.0
周俊樂,第二班 - 1200米 - (105-80),0,1,0,0.0
周俊樂,第二班 - 1400米 - (100-75),1,1,1,100.0
周俊樂,第二班 - 1400米 - (100-80),1,5,2,20.0
周俊樂,第二班 - 1400米 - (105-80),0,3,0,0.0
周俊樂,第二班 - 1600米 - (105-75),0,1,1,0.0
周俊樂,第二班 - 1600米 - (105-80),0,2,0,0.0
周俊樂,第二班 - 1650米 - (100-75),0,2,0,0.0
周俊樂,第二班 - 1650米 - (100-80),0,2,0,0.0
周俊樂,第二班 - 1650米 - (105-80),0,2,2,0.0
周俊樂,第二班 - 1800米 - (100-80),0,2,0,0.0
周俊樂,第二班 - 1800米 - (90-60),0,1,0,0.0
周俊樂,第二班 - 2000米 - (95-70),0,1,0,0.0
周俊樂,第五班 - 1000米 - (40-0),1,9,1,11.1
周俊樂,第五班 - 1200米 - (40-0),3,41,10,7.3
周俊樂,第五班 - 1400米 - (40-0),2,23,3,8.7
周俊樂,第五班 - 1600米 - (40-0),1,7,1,14.3
周俊樂,第五班 - 1650米 - (40-0),3,21,6,14.3
周俊樂,第五班 - 1800米 - (40-0),0,14,2,0.0
周俊樂,第五班 - 2000米 - (40-0),1,3,1,33.3
周俊樂,第五班 - 2200米 - (40-0),0,4,1,0.0
周俊樂,第四班 - 1000米 - (60-40),1,27,7,3.7
周俊樂,第四班 - 1200米 - (60-40),13,182,42,7.1
周俊樂,第四班 - 1400米 - (60-40),7,80,13,8.8
周俊樂,第四班 - 1600米 - (60-40),0,20,3,0.0
周俊樂,第四班 - 1650米 - (60-40),6,59,14,10.2
周俊樂,第四班 - 1800米 - (60-35),0,1,0,0.0
周俊樂,第四班 - 1800米 - (60-40),0,18,3,0.0
周俊樂,第四班 - 2000米 - (60-40),1,5,1,20.0
周俊樂,第四班 - 2200米 - (60-35),0,1,0,0.0
周俊樂,第四班 - 2200米 - (60-40),0,4,0,0.0
周俊樂,第四班（條件限制） - 1200米 - (60-40),0,5,0,0.0
周俊樂,第四班（條件限制） - 1400米 - (60-40),0,2,0,0.0
奧爾民,一級賽 - 1200米,0,1,0,0.0
奧爾民,一級賽 - 1400米,0,1,0,0.0
奧爾民,一級賽 - 1600米,0,1,0,0.0
奧爾民,三級賽 - 1000米,0,2,1,0.0
奧爾民,三級賽 - 1400米,0,1,0,0.0
奧爾民,三級賽 - 1600米,0,1,1,0.0
奧爾民,三級賽 - 1800米,0,1,0,0.0
奧爾民,二級賽 - 1200米,0,2,0,0.0
奧爾民,二級賽 - 1600米,0,2,0,0.0
奧爾民,四歲 - 1800米,0,1,0,0.0
奧爾民,四歲 - 2000米,0,2,0,0.0
奧爾民,新馬賽 - 1000米,1,2,1,50.0
奧爾民,第一班 - 1200米 - (85+),0,1,1,0.0
奧爾民,第一班 - 1600米 - (85+),0,1,0,0.0
奧爾民,第三班 - 1000米 - (80-55),0,1,0,0.0
奧爾民,第三班 - 1000米 - (80-60),1,10,2,10.0
奧爾民,第三班 - 1000米 - (85-60),0,1,0,0.0
奧爾民,第三班 - 1200米 - (80-55),1,4,1,25.0
奧爾民,第三班 - 1200米 - (80-60),3,39,15,7.7
奧爾民,第三班 - 1200米 - (85-60),1,7,2,14.3
奧爾民,第三班 - 1400米 - (80-60),1,23,1,4.3
奧爾民,第三班 - 1600米 - (80-60),2,15,4,13.3
奧爾民,第三班 - 1600米 - (85-60),0,2,0,0.0
奧爾民,第三班 - 1650米 - (80-55),0,2,0,0.0
奧爾民,第三班 - 1650米 - (80-60),0,18,2,0.0
奧爾民,第三班 - 1650米 - (85-60),0,3,0,0.0
奧爾民,第三班 - 1800米 - (80-60),0,3,0,0.0
奧爾民,第三班 - 1800米 - (85-60),0,4,0,0.0
奧爾民,第三班 - 2000米 - (80-60),0,2,0,0.0
奧爾民,第三班 - 2000米 - (85-60),0,2,0,0.0
奧爾民,第三班 - 2200米 - (80-55),0,1,0,0.0
奧爾民,第三班（條件限制） - 1600米 - (85-60),0,2,0,0.0
奧爾民,第二班 - 1000米 - (105-80),0,1,1,0.0
奧爾民,第二班 - 1200米 - (100-80),0,3,1,0.0
奧爾民,第二班 - 1200米 - (105-80),0,4,0,0.0
奧爾民,第二班 - 1400米 - (100-80),0,1,0,0.0
奧爾民,第二班 - 1650米 - (100-80),0,1,0,0.0
奧爾民,第二班 - 1800米 - (100-75),0,3,0,0.0
奧爾民,第二班 - 1800米 - (100-80),0,1,0,0.0
奧爾民,第五班 - 1000米 - (40-0),0,6,0,0.0
奧爾民,第五班 - 1200米 - (40-0),3,33,6,9.1
奧爾民,第五班 - 1400米 - (40-0),0,22,2,0.0
奧爾民,第五班 - 1600米 - (40-0),0,7,2,0.0
奧爾民,第五班 - 1650米 - (40-0),1,17,5,5.9
奧爾民,第五班 - 1800米 - (40-0),0,9,0,0.0
奧爾民,第五班 - 2000米 - (40-0),0,3,0,0.0
奧爾民,第五班 - 2200米 - (40-0),0,3,0,0.0
奧爾民,第四班 - 1000米 - (60-40),3,31,7,9.7
奧爾民,第四班 - 1200米 - (60-40),14,145,45,9.7
奧爾民,第四班 - 1400米 - (60-40),4,53,12,7.5
奧爾民,第四班 - 1600米 - (60-40),2,17,4,11.8
奧爾民,第四班 - 1650米 - (60-40),1,52,10,1.9
奧爾民,第四班 - 1800米 - (60-35),0,1,0,0.0
奧爾民,第四班 - 1800米 - (60-40),1,20,7,5.0
奧爾民,第四班 - 2000米 - (60-40),0,3,0,0.0
奧爾民,第四班 - 2200米 - (60-35),0,2,0,0.0
奧爾民,第四班 - 2200米 - (60-40),0,2,0,0.0
奧爾民,第四班（條件限制） - 1200米 - (60-40),1,2,2,50.0
奧爾民,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
川田將雅,一級賽 - 1200米,0,1,0,0.0
川田將雅,一級賽 - 1600米,0,3,0,0.0
川田將雅,一級賽 - 2000米,0,2,1,0.0
川田將雅,第三班 - 1200米 - (80-60),0,1,0,0.0
川田將雅,第三班 - 1650米 - (80-60),0,1,0,0.0
川田將雅,第四班 - 1000米 - (60-40),0,1,0,0.0
川田將雅,第四班 - 1650米 - (60-40),0,1,0,0.0
巫顯東,一級賽 - 2000米,0,1,1,0.0
巫顯東,三級賽 - 1800米,0,1,0,0.0
巫顯東,三級賽 - 2400米,0,1,1,0.0
巫顯東,新馬賽 - 1200米,0,1,0,0.0
巫顯東,第三班 - 1000米 - (80-55),0,1,0,0.0
巫顯東,第三班 - 1000米 - (80-60),0,5,0,0.0
巫顯東,第三班 - 1000米 - (85-60),0,3,1,0.0
巫顯東,第三班 - 1200米 - (80-55),0,2,2,0.0
巫顯東,第三班 - 1200米 - (80-60),1,26,1,3.8
巫顯東,第三班 - 1200米 - (85-60),0,2,0,0.0
巫顯東,第三班 - 1400米 - (80-60),0,11,1,0.0
巫顯東,第三班 - 1400米 - (85-60),0,2,0,0.0
巫顯東,第三班 - 1600米 - (80-60),0,5,1,0.0
巫顯東,第三班 - 1600米 - (85-60),0,1,0,0.0
巫顯東,第三班 - 1650米 - (80-60),0,5,0,0.0
巫顯東,第三班 - 1650米 - (85-60),1,3,1,33.3
巫顯東,第三班 - 1800米 - (80-60),1,2,2,50.0
巫顯東,第三班 - 1800米 - (85-60),1,2,1,50.0
巫顯東,第三班 - 2000米 - (80-60),1,2,2,50.0
巫顯東,第三班 - 2000米 - (85-60),1,2,1,50.0
巫顯東,第二班 - 1200米 - (100-80),0,3,0,0.0
巫顯東,第二班 - 1400米 - (100-80),0,1,0,0.0
巫顯東,第二班 - 1650米 - (100-75),0,2,0,0.0
巫顯東,第二班 - 1650米 - (100-80),0,1,0,0.0
巫顯東,第二班 - 1800米 - (100-75),0,1,0,0.0
巫顯東,第二班 - 1800米 - (90-60),0,1,0,0.0
巫顯東,第二班 - 2000米 - (100-75),0,1,1,0.0
巫顯東,第二班 - 2000米 - (95-70),1,1,1,100.0
巫顯東,第五班 - 1000米 - (40-0),0,7,0,0.0
巫顯東,第五班 - 1200米 - (40-0),0,7,0,0.0
巫顯東,第五班 - 1400米 - (40-0),0,6,0,0.0
巫顯東,第五班 - 1600米 - (40-0),0,4,0,0.0
巫顯東,第五班 - 1650米 - (40-0),0,6,0,0.0
巫顯東,第五班 - 1800米 - (40-0),0,5,0,0.0
巫顯東,第四班 - 1000米 - (60-40),0,8,0,0.0
巫顯東,第四班 - 1200米 - (60-40),1,46,5,2.2
巫顯東,第四班 - 1400米 - (60-40),0,23,0,0.0
巫顯東,第四班 - 1600米 - (60-40),0,6,0,0.0
巫顯東,第四班 - 1650米 - (60-40),0,19,0,0.0
巫顯東,第四班 - 1800米 - (60-35),0,1,0,0.0
巫顯東,第四班 - 1800米 - (60-40),0,6,0,0.0
巫顯東,第四班 - 2000米 - (60-40),0,2,0,0.0
巫顯東,第四班 - 2200米 - (60-40),0,1,0,0.0
巴度,一級賽 - 1200米,0,3,0,0.0
巴度,一級賽 - 1400米,0,1,0,0.0
巴度,一級賽 - 1600米,0,4,0,0.0
巴度,一級賽 - 2000米,0,1,0,0.0
巴度,一級賽 - 2400米,0,1,0,0.0
巴度,三級賽 - 1000米,2,3,2,66.7
巴度,三級賽 - 1200米,0,1,0,0.0
巴度,三級賽 - 1400米,0,5,3,0.0
巴度,三級賽 - 1600米,0,1,0,0.0
巴度,三級賽 - 1800米,0,6,3,0.0
巴度,三級賽 - 2400米,0,1,1,0.0
巴度,二級賽 - 1200米,0,4,1,0.0
