Jockey,Wins,Starts,Places,AvgOdds,WinRate
霍宏聲,13,326,36,49.6,4.0
艾兆禮,10,388,44,50.9,2.6
梁家俊,9,413,32,63.7,2.2
潘明輝,9,458,44,55.5,2.0
鍾易禮,9,446,28,76.0,2.0
奧爾民,9,331,31,64.4,2.7
黃智弘,8,221,23,62.6,3.6
艾道拿,7,324,32,54.0,2.2
班德禮,7,369,28,60.6,1.9
蔡明紹,6,445,39,58.7,1.3
楊明綸,6,525,28,78.2,1.1
田泰安,6,417,23,50.2,1.4
董明朗,6,222,19,76.4,2.7
周俊樂,6,352,25,66.1,1.7
希威森,5,423,32,60.3,1.2
金誠剛,4,265,15,74.5,1.5
布文,4,200,32,41.9,2.0
何澤堯,4,204,14,53.7,2.0
黃寶妮,3,155,15,54.1,1.9
巴度,3,346,26,58.0,0.9
賀銘年,2,155,14,62.4,1.3
麥文堅,2,62,9,45.9,3.2
巫顯東,2,201,7,95.9,1.0
潘頓,1,17,2,27.4,5.9
杜苑欣,1,42,4,39.1,2.4
莫雅,1,5,1,45.0,20.0
麥道朗,1,20,5,41.2,5.0
韋紀力,1,12,2,42.0,8.3
巴米高,1,6,2,32.7,16.7
李寶利,0,7,0,39.3,0.0
羅敦,0,2,0,46.0,0.0
紀仁安,0,46,3,38.8,0.0
簡國能,0,2,0,37.0,0.0
李慕華,0,3,0,40.3,0.0
柯浩新,0,1,0,51.0,0.0
杜滿樂,0,1,0,20.0,0.0
湯普新,0,271,19,85.3,0.0
潘大衛,0,113,5,76.9,0.0
川田將雅,0,4,0,56.2,0.0
布宜學,0,5,0,28.0,0.0
三浦皇成,0,1,0,69.0,0.0
司徒岳,0,1,0,175.0,0.0
布浩榮,0,19,2,44.3,0.0
范以誠,0,2,1,65.5,0.0
莫艾誠,0,5,0,138.8,0.0
苗傑美,0,2,0,78.0,0.0
貝知仁,0,61,6,59.9,0.0
西村淳也,0,1,0,32.0,0.0
袁幸堯,0,4,0,22.5,0.0
蘇銘倫,0,10,2,52.2,0.0
薛凱華,0,2,0,104.5,0.0
薛恩,0,11,2,52.9,0.0
莫雷拉,0,15,3,33.9,0.0
菅原明良,0,1,0,76.0,0.0
陳嘉熙,0,8,1,37.8,0.0
連達文,0,1,0,94.0,0.0
郭立基,0,1,0,34.0,0.0
金美琪,0,3,0,29.7,0.0
麥當能,0,30,1,81.7,0.0
高力德,0,1,0,101.0,0.0
馬昆,0,14,0,58.1,0.0
黎應揚,0,1,0,106.0,0.0
