Jockey,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
潘頓,249,1143,556,-250.1,21.8,48.6,-21.9
布文,127,1054,353,-225.7,12.0,33.5,-21.4
艾兆禮,111,1095,307,-225.7,10.1,28.0,-20.6
田泰安,78,1132,276,-322.7,6.9,24.4,-28.5
霍宏聲,78,838,202,154.60000000000002,9.3,24.1,18.4
班德禮,62,844,190,-246.70000000000002,7.3,22.5,-29.2
艾道拿,62,855,220,-267.4,7.3,25.7,-31.3
潘明輝,61,942,208,-137.9,6.5,22.1,-14.6
周俊樂,60,770,166,-216.8,7.8,21.6,-28.2
梁家俊,59,783,172,-6.099999999999994,7.5,22.0,-0.8
巴度,58,896,212,-390.2,6.5,23.7,-43.5
何澤堯,56,598,166,-165.5,9.4,27.8,-27.7
希威森,53,867,190,-358.3,6.1,21.9,-41.3
蔡明紹,47,918,190,-420.2,5.1,20.7,-45.8
黃智弘,45,553,131,-9.600000000000001,8.1,23.7,-1.7
麥道朗,43,228,97,-40.6,18.9,42.5,-17.8
奧爾民,40,601,135,-49.800000000000004,6.7,22.5,-8.3
鍾易禮,39,771,116,-166.6,5.1,15.0,-21.6
楊明綸,37,806,124,-224.0,4.6,15.4,-27.8
黃寶妮,28,342,64,-40.0,8.2,18.7,-11.7
金誠剛,16,407,74,-119.2,3.9,18.2,-29.3
紀仁安,15,171,51,-79.8,8.8,29.8,-46.7
莫雷拉,15,104,38,-16.6,14.4,36.5,-16.0
董明朗,12,307,47,-36.9,3.9,15.3,-12.0
賀銘年,12,273,49,-50.5,4.4,17.9,-18.5
麥文堅,10,142,31,-18.9,7.0,21.8,-13.3
湯普新,9,380,52,-299.9,2.4,13.7,-78.9
莫雅,8,51,17,-5.399999999999999,15.7,33.3,-10.6
巫顯東,8,236,22,-89.4,3.4,9.3,-37.9
杜苑欣,7,121,28,-50.2,5.8,23.1,-41.5
袁幸堯,7,53,20,-6.500000000000002,13.2,37.7,-12.3
韋紀力,4,38,12,5.900000000000002,10.5,31.6,15.5
巴米高,3,24,6,34.8,12.5,25.0,145.0
貝知仁,2,106,15,-79.0,1.9,14.2,-74.5
馬昆,2,26,3,-0.6999999999999993,7.7,11.5,-2.7
薛恩,2,27,7,-19.3,7.4,25.9,-71.5
莫艾誠,1,7,1,5.0,14.3,14.3,71.4
連達文,1,3,2,0.7000000000000002,33.3,66.7,23.3
陳嘉熙,1,18,4,-15.9,5.6,22.2,-88.3
麥當能,1,35,2,-21.0,2.9,5.7,-60.0
布浩榮,1,33,7,-26.8,3.0,21.2,-81.2
布宜學,1,10,2,-1.0999999999999996,10.0,20.0,-11.0
三浦皇成,0,1,0,-1.0,0.0,0.0,-100.0
司徒岳,0,1,0,-1.0,0.0,0.0,-100.0
川田將雅,0,10,1,-10.0,0.0,10.0,-100.0
李寶利,0,12,1,-12.0,0.0,8.3,-100.0
李慕華,0,9,2,-9.0,0.0,22.2,-100.0
杜滿樂,0,3,1,-3.0,0.0,33.3,-100.0
羅敦,0,2,0,-2.0,0.0,0.0,-100.0
簡國能,0,5,2,-5.0,0.0,40.0,-100.0
溫蘿,0,1,0,-1.0,0.0,0.0,-100.0
潘大衛,0,132,8,-132.0,0.0,6.1,-100.0
柯浩新,0,1,0,-1.0,0.0,0.0,-100.0
橫山和生,0,1,1,-1.0,0.0,100.0,-100.0
范以誠,0,2,1,-2.0,0.0,50.0,-100.0
苗傑美,0,4,1,-4.0,0.0,25.0,-100.0
西村淳也,0,1,0,-1.0,0.0,0.0,-100.0
蘇銘倫,0,22,5,-22.0,0.0,22.7,-100.0
薛凱華,0,6,1,-6.0,0.0,16.7,-100.0
菅原明良,0,1,0,-1.0,0.0,0.0,-100.0
郭立基,0,1,0,-1.0,0.0,0.0,-100.0
金美琪,0,8,1,-8.0,0.0,12.5,-100.0
高力德,0,1,0,-1.0,0.0,0.0,-100.0
黎應揚,0,1,0,-1.0,0.0,0.0,-100.0
