Jockey,Month,Wins,Starts,Places,WinRate
三浦皇成,2025-12,0,1,0,0.0
何澤堯,2024-09,2,40,10,5.0
何澤堯,2024-10,9,61,19,14.8
何澤堯,2024-11,6,56,18,10.7
何澤堯,2024-12,4,40,17,10.0
何澤堯,2025-01,6,48,15,12.5
何澤堯,2025-02,0,11,1,0.0
何澤堯,2025-09,1,22,8,4.5
何澤堯,2025-10,5,44,8,11.4
何澤堯,2025-11,7,47,17,14.9
何澤堯,2025-12,2,41,12,4.9
何澤堯,2026-01,6,59,12,10.2
何澤堯,2026-02,3,43,10,7.0
何澤堯,2026-03,3,43,9,7.0
何澤堯,2026-04,2,35,8,5.7
何澤堯,2026-05,0,8,2,0.0
司徒岳,2025-04,0,1,0,0.0
周俊樂,2024-09,2,31,2,6.5
周俊樂,2024-10,2,38,4,5.3
周俊樂,2024-11,0,36,5,0.0
周俊樂,2024-12,6,42,10,14.3
周俊樂,2025-01,2,27,6,7.4
周俊樂,2025-02,0,30,5,0.0
周俊樂,2025-03,0,35,6,0.0
周俊樂,2025-04,3,22,7,13.6
周俊樂,2025-05,4,56,13,7.1
周俊樂,2025-06,3,35,5,8.6
周俊樂,2025-07,1,21,2,4.8
周俊樂,2025-09,2,27,5,7.4
周俊樂,2025-10,4,54,18,7.4
周俊樂,2025-11,5,48,11,10.4
周俊樂,2025-12,1,32,8,3.1
周俊樂,2026-01,4,47,11,8.5
周俊樂,2026-02,9,44,15,20.5
周俊樂,2026-03,8,69,17,11.6
周俊樂,2026-04,2,60,11,3.3
周俊樂,2026-05,2,16,5,12.5
奧爾民,2025-02,1,4,1,25.0
奧爾民,2025-03,1,55,8,1.8
奧爾民,2025-04,3,42,8,7.1
奧爾民,2025-05,2,51,11,3.9
奧爾民,2025-06,2,48,9,4.2
奧爾民,2025-07,4,36,10,11.1
奧爾民,2025-09,1,32,8,3.1
奧爾民,2025-10,3,43,11,7.0
奧爾民,2025-11,2,34,8,5.9
奧爾民,2025-12,5,35,7,14.3
奧爾民,2026-01,2,49,10,4.1
奧爾民,2026-02,3,43,12,7.0
奧爾民,2026-03,8,56,18,14.3
奧爾民,2026-04,1,53,8,1.9
奧爾民,2026-05,2,20,6,10.0
川田將雅,2024-12,0,6,1,0.0
川田將雅,2025-04,0,3,0,0.0
川田將雅,2026-04,0,1,0,0.0
巫顯東,2024-09,0,8,2,0.0
巫顯東,2024-10,0,5,0,0.0
巫顯東,2024-11,0,4,1,0.0
巫顯東,2024-12,0,5,0,0.0
巫顯東,2025-01,2,18,2,11.1
巫顯東,2025-02,1,18,2,5.6
巫顯東,2025-03,0,11,2,0.0
巫顯東,2025-04,1,11,1,9.1
巫顯東,2025-05,0,21,1,0.0
巫顯東,2025-06,0,8,1,0.0
巫顯東,2025-07,0,11,0,0.0
巫顯東,2025-09,0,3,0,0.0
巫顯東,2025-10,2,10,2,20.0
巫顯東,2025-11,1,9,1,11.1
巫顯東,2025-12,0,14,2,0.0
巫顯東,2026-01,1,21,2,4.8
巫顯東,2026-02,0,16,0,0.0
巫顯東,2026-03,0,15,1,0.0
巫顯東,2026-04,0,16,1,0.0
巫顯東,2026-05,0,12,1,0.0
巴度,2024-09,2,36,6,5.6
巴度,2024-10,3,49,14,6.1
巴度,2024-11,0,45,3,0.0
巴度,2024-12,3,45,10,6.7
巴度,2025-01,1,52,14,1.9
巴度,2025-02,6,54,13,11.1
巴度,2025-03,4,49,10,8.2
巴度,2025-04,6,56,15,10.7
巴度,2025-05,4,61,12,6.6
巴度,2025-06,2,47,10,4.3
巴度,2025-07,0,25,9,0.0
巴度,2025-09,4,34,9,11.8
巴度,2025-10,6,55,13,10.9
巴度,2025-11,3,49,19,6.1
巴度,2025-12,0,3,0,0.0
巴度,2026-01,2,58,12,3.4
巴度,2026-02,1,51,14,2.0
巴度,2026-03,5,64,13,7.8
巴度,2026-04,6,46,14,13.0
巴度,2026-05,0,17,2,0.0
巴米高,2024-12,3,11,5,27.3
巴米高,2025-01,0,7,0,0.0
巴米高,2025-12,0,6,1,0.0
布宜學,2024-12,0,4,1,0.0
布宜學,2025-03,0,2,0,0.0
布宜學,2025-12,1,4,1,25.0
布文,2024-09,8,36,19,22.2
布文,2024-10,10,68,20,14.7
布文,2024-11,3,51,11,5.9
布文,2024-12,5,63,19,7.9
布文,2025-01,11,68,26,16.2
布文,2025-02,5,46,18,10.9
布文,2025-03,9,64,22,14.1
布文,2025-04,7,57,25,12.3
布文,2025-05,8,72,25,11.1
布文,2025-06,1,40,7,2.5
布文,2025-07,5,29,7,17.2
布文,2025-09,5,30,9,16.7
布文,2025-10,4,60,15,6.7
布文,2025-11,7,54,22,13.0
布文,2025-12,7,56,18,12.5
布文,2026-01,8,54,26,14.8
布文,2026-02,4,54,14,7.4
布文,2026-03,9,66,18,13.6
布文,2026-04,9,65,22,13.8
布文,2026-05,2,21,10,9.5
布浩榮,2026-04,1,20,6,5.0
布浩榮,2026-05,0,13,1,0.0
希威森,2024-09,3,42,10,7.1
希威森,2024-10,2,62,9,3.2
希威森,2024-11,2,54,9,3.7
希威森,2024-12,1,52,10,1.9
希威森,2025-01,2,51,10,3.9
希威森,2025-02,3,33,10,9.1
