Jockey,RunStyle,Wins,Starts,Places,WinRate
三浦皇成,Frontrunner,0,1,0,0.0
何澤堯,Closer,24,312,65,7.7
何澤堯,Frontrunner,15,102,36,14.7
何澤堯,Midpack,17,184,65,9.2
司徒岳,Closer,0,1,0,0.0
周俊樂,Closer,21,350,47,6.0
周俊樂,Frontrunner,17,137,48,12.4
周俊樂,Midpack,22,283,71,7.8
奧爾民,Closer,13,283,43,4.6
奧爾民,Frontrunner,18,128,46,14.1
奧爾民,Midpack,9,190,46,4.7
川田將雅,Closer,0,5,1,0.0
川田將雅,Frontrunner,0,3,0,0.0
川田將雅,Midpack,0,2,0,0.0
巫顯東,Closer,2,119,5,1.7
巫顯東,Frontrunner,1,54,5,1.9
巫顯東,Midpack,5,63,12,7.9
巴度,Closer,14,406,68,3.4
巴度,Frontrunner,21,169,58,12.4
巴度,Midpack,23,319,86,7.2
巴米高,Closer,0,11,1,0.0
巴米高,Frontrunner,0,2,1,0.0
巴米高,Midpack,3,11,4,27.3
布宜學,Closer,1,7,1,14.3
布宜學,Midpack,0,3,1,0.0
布文,Closer,53,516,154,10.3
布文,Frontrunner,26,187,73,13.9
布文,Midpack,48,351,126,13.7
布浩榮,Closer,0,14,1,0.0
布浩榮,Frontrunner,1,11,4,9.1
布浩榮,Midpack,0,8,2,0.0
希威森,Closer,8,340,43,2.4
希威森,Frontrunner,29,250,79,11.6
希威森,Midpack,16,277,68,5.8
李寶利,Closer,0,6,0,0.0
李寶利,Frontrunner,0,3,1,0.0
李寶利,Midpack,0,3,0,0.0
李慕華,Closer,0,4,1,0.0
李慕華,Midpack,0,5,1,0.0
杜滿樂,Frontrunner,0,1,0,0.0
杜滿樂,Midpack,0,2,1,0.0
杜苑欣,Closer,2,58,8,3.4
杜苑欣,Frontrunner,4,34,12,11.8
杜苑欣,Midpack,1,29,8,3.4
柯浩新,Midpack,0,1,0,0.0
梁家俊,Closer,10,303,44,3.3
梁家俊,Frontrunner,30,218,68,13.8
梁家俊,Midpack,19,262,60,7.3
楊明綸,Closer,8,375,29,2.1
楊明綸,Frontrunner,13,203,50,6.4
