Jockey,Venue,Track,Wins,Starts,Places,Profit,WinRate,ROI
三浦皇成,沙田,Turf,0,1,0,-1.0,0.0,-100.0
何澤堯,沙田,AWT,5,55,16,-14.900000000000002,9.1,-27.1
何澤堯,沙田,Turf,22,319,80,-157.2,6.9,-49.3
何澤堯,跑馬地,Turf,29,224,70,6.599999999999998,12.9,2.9
司徒岳,沙田,Turf,0,1,0,-1.0,0.0,-100.0
周俊樂,沙田,AWT,2,79,10,-56.5,2.5,-71.5
周俊樂,沙田,Turf,32,403,84,-89.8,7.9,-22.3
周俊樂,跑馬地,Turf,26,288,72,-70.5,9.0,-24.5
奧爾民,沙田,AWT,2,63,8,-31.1,3.2,-49.4
奧爾民,沙田,Turf,24,329,72,-19.700000000000003,7.3,-6.0
奧爾民,跑馬地,Turf,14,209,55,1.0000000000000036,6.7,0.5
川田將雅,沙田,Turf,0,6,1,-6.0,0.0,-100.0
川田將雅,跑馬地,Turf,0,4,0,-4.0,0.0,-100.0
巫顯東,沙田,AWT,1,34,1,-27.6,2.9,-81.2
巫顯東,沙田,Turf,6,131,16,-55.800000000000004,4.6,-42.6
巫顯東,跑馬地,Turf,1,71,5,-6.0,1.4,-8.5
巴度,沙田,AWT,4,73,12,-28.200000000000003,5.5,-38.6
巴度,沙田,Turf,29,496,106,-238.6,5.8,-48.1
巴度,跑馬地,Turf,25,327,94,-123.4,7.6,-37.7
巴米高,沙田,Turf,0,11,0,-11.0,0.0,-100.0
巴米高,跑馬地,Turf,3,13,6,45.8,23.1,352.3
布宜學,沙田,Turf,0,2,0,-2.0,0.0,-100.0
布宜學,跑馬地,Turf,1,8,2,0.9000000000000004,12.5,11.3
布文,沙田,AWT,6,100,31,-61.1,6.0,-61.1
布文,沙田,Turf,57,537,177,-137.9,10.6,-25.7
布文,跑馬地,Turf,64,417,145,-26.700000000000003,15.3,-6.4
布浩榮,沙田,AWT,0,2,0,-2.0,0.0,-100.0
布浩榮,沙田,Turf,0,19,3,-19.0,0.0,-100.0
布浩榮,跑馬地,Turf,1,12,4,-5.8,8.3,-48.3
希威森,沙田,AWT,9,77,20,-19.200000000000003,11.7,-24.9
希威森,沙田,Turf,23,452,92,-210.7,5.1,-46.6
希威森,跑馬地,Turf,21,338,78,-128.4,6.2,-38.0
李寶利,沙田,Turf,0,6,0,-6.0,0.0,-100.0
李寶利,跑馬地,Turf,0,6,1,-6.0,0.0,-100.0
李慕華,沙田,Turf,0,4,1,-4.0,0.0,-100.0
李慕華,跑馬地,Turf,0,5,1,-5.0,0.0,-100.0
杜滿樂,沙田,Turf,0,3,1,-3.0,0.0,-100.0
杜苑欣,沙田,AWT,1,2,1,7.0,50.0,350.0
杜苑欣,沙田,Turf,3,52,12,-23.4,5.8,-45.0
杜苑欣,跑馬地,Turf,3,67,15,-33.8,4.5,-50.4
柯浩新,沙田,Turf,0,1,0,-1.0,0.0,-100.0
梁家俊,沙田,AWT,4,61,13,-30.1,6.6,-49.3
梁家俊,沙田,Turf,40,457,107,84.3,8.8,18.4
梁家俊,跑馬地,Turf,15,265,52,-60.3,5.7,-22.8
楊明綸,沙田,AWT,3,95,14,-64.7,3.2,-68.1
楊明綸,沙田,Turf,24,438,68,-49.30000000000001,5.5,-11.3
楊明綸,跑馬地,Turf,10,273,42,-110.0,3.7,-40.3
橫山和生,沙田,Turf,0,1,1,-1.0,0.0,-100.0
湯普新,沙田,AWT,2,48,7,-36.9,4.2,-76.9
湯普新,沙田,Turf,5,202,28,-144.2,2.5,-71.4
湯普新,跑馬地,Turf,2,130,17,-118.8,1.5,-91.4
溫蘿,沙田,Turf,0,1,0,-1.0,0.0,-100.0
潘大衛,沙田,AWT,0,18,0,-18.0,0.0,-100.0
潘大衛,沙田,Turf,0,68,2,-68.0,0.0,-100.0
潘大衛,跑馬地,Turf,0,46,6,-46.0,0.0,-100.0
潘明輝,沙田,AWT,5,106,24,-54.4,4.7,-51.3
潘明輝,沙田,Turf,37,511,105,55.800000000000004,7.2,10.9
潘明輝,跑馬地,Turf,19,325,79,-139.3,5.8,-42.9
潘頓,沙田,AWT,20,104,44,-24.5,19.2,-23.6
潘頓,沙田,Turf,151,620,310,-117.8,24.4,-19.0
潘頓,跑馬地,Turf,78,419,202,-107.8,18.6,-25.7
班德禮,沙田,AWT,2,78,13,-51.0,2.6,-65.4
班德禮,沙田,Turf,29,450,96,-124.7,6.4,-27.7
班德禮,跑馬地,Turf,31,316,81,-71.0,9.8,-22.5
田泰安,沙田,AWT,13,110,39,-24.4,11.8,-22.2
田泰安,沙田,Turf,34,613,133,-196.0,5.5,-32.0
田泰安,跑馬地,Turf,31,409,104,-102.3,7.6,-25.0
簡國能,跑馬地,Turf,0,5,2,-5.0,0.0,-100.0
紀仁安,沙田,AWT,1,21,8,-11.0,4.8,-52.4
紀仁安,沙田,Turf,9,97,28,-42.8,9.3,-44.1
紀仁安,跑馬地,Turf,5,53,15,-26.0,9.4,-49.1
羅敦,沙田,Turf,0,2,0,-2.0,0.0,-100.0
艾兆禮,沙田,AWT,18,114,37,11.0,15.8,9.6
艾兆禮,沙田,Turf,48,589,153,-203.2,8.1,-34.5
艾兆禮,跑馬地,Turf,45,392,117,-33.5,11.5,-8.5
艾道拿,沙田,AWT,3,84,17,-63.300000000000004,3.6,-75.4
艾道拿,沙田,Turf,43,499,145,-107.80000000000001,8.6,-21.6
艾道拿,跑馬地,Turf,16,272,58,-96.3,5.9,-35.4
苗傑美,沙田,Turf,0,4,1,-4.0,0.0,-100.0
范以誠,沙田,Turf,0,2,1,-2.0,0.0,-100.0
莫艾誠,沙田,Turf,1,7,1,5.0,14.3,71.4
莫雅,沙田,AWT,0,2,1,-2.0,0.0,-100.0
莫雅,沙田,Turf,2,24,8,-17.2,8.3,-71.7
莫雅,跑馬地,Turf,6,25,8,13.8,24.0,55.2
莫雷拉,沙田,AWT,2,13,3,3.9000000000000004,15.4,30.0
莫雷拉,沙田,Turf,6,58,23,-20.0,10.3,-34.5
莫雷拉,跑馬地,Turf,7,33,12,-0.5000000000000009,21.2,-1.5
菅原明良,沙田,Turf,0,1,0,-1.0,0.0,-100.0
董明朗,沙田,AWT,3,24,5,67.0,12.5,279.2
董明朗,沙田,Turf,5,168,24,-19.1,3.0,-11.4
董明朗,跑馬地,Turf,4,115,18,-84.8,3.5,-73.7
蔡明紹,沙田,AWT,7,111,28,-66.4,6.3,-59.8
蔡明紹,沙田,Turf,18,478,84,-219.9,3.8,-46.0
蔡明紹,跑馬地,Turf,22,329,78,-133.9,6.7,-40.7
薛凱華,沙田,Turf,0,6,1,-6.0,0.0,-100.0
薛恩,沙田,Turf,2,27,7,-19.3,7.4,-71.5
蘇銘倫,沙田,Turf,0,22,5,-22.0,0.0,-100.0
袁幸堯,沙田,AWT,2,17,6,-10.3,11.8,-60.6
袁幸堯,沙田,Turf,5,36,14,3.800000000000001,13.9,10.6
西村淳也,沙田,Turf,0,1,0,-1.0,0.0,-100.0
貝知仁,沙田,AWT,0,16,2,-16.0,0.0,-100.0
貝知仁,沙田,Turf,2,55,9,-28.0,3.6,-50.9
貝知仁,跑馬地,Turf,0,35,4,-35.0,0.0,-100.0
賀銘年,沙田,AWT,0,30,4,-30.0,0.0,-100.0
賀銘年,沙田,Turf,6,130,20,13.3,4.6,10.2
賀銘年,跑馬地,Turf,6,113,25,-33.8,5.3,-29.9
連達文,沙田,Turf,1,3,2,0.7000000000000002,33.3,23.3
郭立基,沙田,Turf,0,1,0,-1.0,0.0,-100.0
金美琪,跑馬地,Turf,0,8,1,-8.0,0.0,-100.0
金誠剛,沙田,AWT,5,51,14,-10.2,9.8,-20.0
金誠剛,沙田,Turf,4,226,37,-210.4,1.8,-93.1
金誠剛,跑馬地,Turf,7,130,23,101.4,5.4,78.0
鍾易禮,沙田,AWT,4,86,17,47.0,4.7,54.7
鍾易禮,沙田,Turf,17,394,47,-209.3,4.3,-53.1
鍾易禮,跑馬地,Turf,18,291,52,-4.300000000000003,6.2,-1.5
陳嘉熙,沙田,AWT,0,1,0,-1.0,0.0,-100.0
陳嘉熙,沙田,Turf,1,7,2,-4.9,14.3,-70.0
陳嘉熙,跑馬地,Turf,0,10,2,-10.0,0.0,-100.0
霍宏聲,沙田,AWT,13,92,28,12.200000000000001,14.1,13.3
霍宏聲,沙田,Turf,34,431,92,-31.60000000000001,7.9,-7.3
霍宏聲,跑馬地,Turf,31,315,82,174.0,9.8,55.2
韋紀力,沙田,AWT,0,1,0,-1.0,0.0,-100.0
韋紀力,沙田,Turf,4,37,12,6.900000000000002,10.8,18.6
馬昆,沙田,Turf,1,20,2,-11.7,5.0,-58.5
馬昆,跑馬地,Turf,1,6,1,11.0,16.7,183.3
高力德,沙田,Turf,0,1,0,-1.0,0.0,-100.0
麥文堅,沙田,AWT,2,15,4,-1.200000000000001,13.3,-8.0
麥文堅,沙田,Turf,5,85,19,3.3999999999999986,5.9,4.0
麥文堅,跑馬地,Turf,3,42,8,-21.1,7.1,-50.2
麥當能,沙田,AWT,0,5,0,-5.0,0.0,-100.0
麥當能,沙田,Turf,0,21,1,-21.0,0.0,-100.0
麥當能,跑馬地,Turf,1,9,1,5.0,11.1,55.6
麥道朗,沙田,AWT,1,21,8,-16.8,4.8,-80.0
麥道朗,沙田,Turf,32,141,66,-38.4,22.7,-27.2
