Trainer,RaceClass,Wins,Starts,Places,WinRate
丁冠豪,Class 2,3,12,6,25.0
丁冠豪,Class 3,5,79,22,6.3
丁冠豪,Class 4,19,293,54,6.5
丁冠豪,Class 5,5,103,22,4.9
丁冠豪,Group 1,0,1,0,0.0
丁冠豪,Group 3,0,1,1,0.0
上村洋行,Group 1,0,1,1,0.0
中內田充正,Group 1,0,3,2,0.0
伊比軒,Group 1,0,1,0,0.0
伍鵬志,Class 1,0,12,4,0.0
伍鵬志,Class 2,4,68,17,5.9
伍鵬志,Class 3,17,311,53,5.5
伍鵬志,Class 4,27,481,98,5.6
伍鵬志,Class 5,8,126,33,6.3
伍鵬志,Group 1,2,22,5,9.1
伍鵬志,Group 2,2,14,6,14.3
伍鵬志,Group 3,1,15,4,6.7
伯特,Group 1,0,1,0,0.0
侯耀誠,Group 1,0,1,0,0.0
包義定,Group 1,0,2,0,0.0
吉村圭司,Group 1,0,1,0,0.0
呂健威,Class 1,2,15,8,13.3
呂健威,Class 2,9,98,37,9.2
呂健威,Class 3,41,292,82,14.0
呂健威,Class 4,39,377,114,10.3
呂健威,Class 5,0,43,4,0.0
呂健威,Griffin,0,4,0,0.0
呂健威,Group 1,0,22,5,0.0
呂健威,Group 2,0,18,4,0.0
呂健威,Group 3,4,31,13,12.9
告東尼,Class 1,2,12,4,16.7
告東尼,Class 2,10,134,27,7.5
告東尼,Class 3,28,348,82,8.0
告東尼,Class 4,29,426,98,6.8
告東尼,Class 5,14,126,32,11.1
告東尼,Group 1,0,25,2,0.0
告東尼,Group 2,0,20,2,0.0
告東尼,Group 3,2,30,8,6.7
國枝榮,Group 1,0,1,1,0.0
堀宣行,Group 1,1,6,5,16.7
大衛希斯,Class 1,2,10,2,20.0
大衛希斯,Class 2,7,82,25,8.5
大衛希斯,Class 3,27,375,88,7.2
大衛希斯,Class 4,42,556,131,7.6
大衛希斯,Class 5,14,106,33,13.2
大衛希斯,Griffin,0,10,3,0.0
大衛希斯,Group 1,9,30,10,30.0
大衛希斯,Group 2,6,12,6,50.0
大衛希斯,Group 3,1,13,1,7.7
姚本輝,Class 1,0,4,1,0.0
姚本輝,Class 2,6,49,16,12.2
姚本輝,Class 3,22,297,72,7.4
姚本輝,Class 4,39,381,126,10.2
姚本輝,Class 5,7,109,28,6.4
姚本輝,Griffin,0,1,1,0.0
姚本輝,Group 1,5,26,10,19.2
姚本輝,Group 2,2,15,7,13.3
姚本輝,Group 3,0,10,1,0.0
容天鵬,Class 2,0,13,2,0.0
容天鵬,Class 3,7,92,20,7.6
容天鵬,Class 4,7,217,36,3.2
容天鵬,Class 5,7,73,17,9.6
容天鵬,Griffin,0,2,0,0.0
容天鵬,Group 1,0,1,1,0.0
岳伯仁,Group 1,0,6,0,0.0
岳品賢,Group 1,0,1,0,0.0
岳本賢,Group 1,0,2,0,0.0
巫偉傑,Class 1,0,4,2,0.0
巫偉傑,Class 2,5,31,13,16.1
巫偉傑,Class 3,17,235,55,7.2
