Trainer,Distance,Wins,Starts,Places,WinRate
丁冠豪,1000,5,34,8,14.7
丁冠豪,1200,11,170,39,6.5
丁冠豪,1400,6,104,18,5.8
丁冠豪,1600,4,48,15,8.3
丁冠豪,1650,4,76,16,5.3
丁冠豪,1800,2,43,8,4.7
丁冠豪,2000,1,11,2,9.1
丁冠豪,2200,0,7,0,0.0
上村洋行,2000,0,1,1,0.0
中內田充正,2000,0,3,2,0.0
伊比軒,1600,0,1,0,0.0
伍鵬志,1000,7,110,21,6.4
伍鵬志,1200,16,322,58,5.0
伍鵬志,1400,12,188,41,6.4
伍鵬志,1600,7,81,15,8.6
伍鵬志,1650,10,192,42,5.2
伍鵬志,1800,9,105,33,8.6
伍鵬志,2000,0,34,6,0.0
伍鵬志,2200,0,21,5,0.0
伍鵬志,2400,0,2,0,0.0
伯特,2000,0,1,0,0.0
侯耀誠,1200,0,1,0,0.0
包義定,2000,0,1,0,0.0
包義定,2400,0,1,0,0.0
吉村圭司,1200,0,1,0,0.0
呂健威,1000,6,60,9,10.0
呂健威,1200,38,378,114,10.1
呂健威,1400,27,213,66,12.7
呂健威,1600,5,94,27,5.3
呂健威,1650,9,103,31,8.7
呂健威,1800,7,48,13,14.6
呂健威,2000,4,14,9,28.6
呂健威,2400,0,2,2,0.0
告東尼,1000,11,96,25,11.5
告東尼,1200,23,356,73,6.5
告東尼,1400,13,189,35,6.9
告東尼,1600,4,105,17,3.8
告東尼,1650,14,181,42,7.7
告東尼,1800,13,123,42,10.6
告東尼,2000,5,49,15,10.2
告東尼,2200,2,19,5,10.5
告東尼,2400,0,10,2,0.0
國枝榮,2400,0,1,1,0.0
堀宣行,1200,0,4,3,0.0
堀宣行,2000,1,2,2,50.0
大衛希斯,1000,3,105,17,2.9
大衛希斯,1200,50,467,116,10.7
大衛希斯,1400,19,204,44,9.3
大衛希斯,1600,4,86,24,4.7
大衛希斯,1650,19,207,63,9.2
大衛希斯,1800,12,96,28,12.5
大衛希斯,2000,0,26,4,0.0
大衛希斯,2200,2,8,3,25.0
大衛希斯,2400,0,2,1,0.0
姚本輝,1000,2,52,8,3.8
姚本輝,1200,33,334,110,9.9
姚本輝,1400,14,153,51,9.2
姚本輝,1600,10,106,31,9.4
姚本輝,1650,14,145,40,9.7
姚本輝,1800,5,65,11,7.7
姚本輝,2000,2,30,10,6.7
姚本輝,2200,0,6,0,0.0
姚本輝,2400,1,1,1,100.0
容天鵬,1000,2,26,10,7.7
容天鵬,1200,9,166,33,5.4
容天鵬,1400,8,96,21,8.3
容天鵬,1600,2,34,7,5.9
容天鵬,1650,0,52,3,0.0
容天鵬,1800,0,18,2,0.0
容天鵬,2000,0,3,0,0.0
容天鵬,2200,0,3,0,0.0
岳伯仁,1600,0,1,0,0.0
岳伯仁,2000,0,2,0,0.0
岳伯仁,2400,0,3,0,0.0
岳品賢,1200,0,1,0,0.0
岳本賢,2000,0,1,0,0.0
岳本賢,2400,0,1,0,0.0
巫偉傑,1000,11,86,31,12.8
巫偉傑,1200,28,373,89,7.5
巫偉傑,1400,18,183,46,9.8
巫偉傑,1600,3,63,12,4.8
巫偉傑,1650,13,131,29,9.9
巫偉傑,1800,0,40,5,0.0
巫偉傑,2000,0,8,1,0.0
巫偉傑,2200,1,4,1,25.0
巴伯樂,1600,0,1,0,0.0
布銘球,2400,1,2,2,50.0
廖康銘,1000,5,86,23,5.8
廖康銘,1200,42,413,126,10.2
廖康銘,1400,14,147,33,9.5
廖康銘,1600,9,75,18,12.0
廖康銘,1650,18,138,54,13.0
廖康銘,1800,3,46,12,6.5
廖康銘,2000,4,24,9,16.7
廖康銘,2200,1,7,1,14.3
廖康銘,2400,0,1,0,0.0
徐雨石,1000,10,80,20,12.5
徐雨石,1200,12,268,45,4.5
徐雨石,1400,4,71,9,5.6
徐雨石,1600,2,30,6,6.7
徐雨石,1650,5,95,23,5.3
徐雨石,1800,2,28,6,7.1
徐雨石,2000,0,9,0,0.0
徐雨石,2200,1,6,1,16.7
手塚貴久,2000,0,1,1,0.0
文家良,1000,9,80,20,11.2
文家良,1200,37,338,84,10.9
文家良,1400,11,179,36,6.1
文家良,1600,7,53,15,13.2
文家良,1650,10,104,25,9.6
文家良,1800,2,25,6,8.0
文家良,2000,2,9,3,22.2
文家良,2200,2,7,4,28.6
方嘉柏,1000,8,84,27,9.5
方嘉柏,1200,42,346,91,12.1
方嘉柏,1400,9,163,47,5.5
方嘉柏,1600,9,74,20,12.2
方嘉柏,1650,27,190,60,14.2
