Trainer,Draw,Wins,Starts,Places,WinRate
丁冠豪,1,2,40,9,5.0
丁冠豪,10,4,49,12,8.2
丁冠豪,11,2,29,6,6.9
丁冠豪,12,2,40,7,5.0
丁冠豪,13,1,14,4,7.1
丁冠豪,14,0,8,0,0.0
丁冠豪,2,1,38,9,2.6
丁冠豪,3,4,38,11,10.5
丁冠豪,4,3,31,12,9.7
丁冠豪,5,4,47,8,8.5
丁冠豪,6,1,28,2,3.6
丁冠豪,7,5,44,7,11.4
丁冠豪,8,2,47,10,4.3
丁冠豪,9,2,40,9,5.0
上村洋行,5,0,1,1,0.0
中內田充正,11,0,1,0,0.0
中內田充正,5,0,1,1,0.0
中內田充正,6,0,1,1,0.0
伊比軒,8,0,1,0,0.0
伍鵬志,1,1,76,15,1.3
伍鵬志,10,6,93,14,6.5
伍鵬志,11,3,95,15,3.2
伍鵬志,12,3,70,11,4.3
伍鵬志,13,1,27,3,3.7
伍鵬志,14,0,26,5,0.0
伍鵬志,2,13,96,25,13.5
伍鵬志,3,5,85,19,5.9
伍鵬志,4,7,86,22,8.1
伍鵬志,5,5,93,21,5.4
伍鵬志,6,4,75,18,5.3
伍鵬志,7,4,76,16,5.3
伍鵬志,8,7,80,19,8.8
伍鵬志,9,2,77,18,2.6
伯特,1,0,1,0,0.0
侯耀誠,13,0,1,0,0.0
包義定,11,0,1,0,0.0
包義定,9,0,1,0,0.0
吉村圭司,1,0,1,0,0.0
呂健威,1,11,78,23,14.1
呂健威,10,9,64,21,14.1
呂健威,11,9,61,16,14.8
呂健威,12,4,77,21,5.2
呂健威,13,3,40,6,7.5
呂健威,14,3,29,8,10.3
呂健威,2,8,59,21,13.6
呂健威,3,9,82,25,11.0
呂健威,4,7,62,19,11.3
呂健威,5,2,60,12,3.3
呂健威,6,11,77,31,14.3
呂健威,7,8,83,31,9.6
呂健威,8,7,76,20,9.2
呂健威,9,5,64,17,7.8
告東尼,1,8,93,25,8.6
告東尼,10,5,84,11,6.0
告東尼,11,3,77,10,3.9
告東尼,12,5,68,17,7.4
告東尼,13,2,38,8,5.3
告東尼,14,0,31,4,0.0
告東尼,2,11,91,17,12.1
告東尼,3,9,83,29,10.8
告東尼,4,9,103,31,8.7
告東尼,5,9,86,30,10.5
告東尼,6,8,99,24,8.1
告東尼,7,7,89,17,7.9
告東尼,8,4,96,16,4.2
告東尼,9,5,90,17,5.6
國枝榮,13,0,1,1,0.0
堀宣行,10,1,1,1,100.0
堀宣行,4,0,2,1,0.0
堀宣行,6,0,1,1,0.0
堀宣行,7,0,1,1,0.0
堀宣行,8,0,1,1,0.0
大衛希斯,1,15,107,46,14.0
大衛希斯,10,6,100,21,6.0
大衛希斯,11,4,98,15,4.1
大衛希斯,12,6,85,15,7.1
大衛希斯,13,4,40,13,10.0
大衛希斯,14,2,47,7,4.3
大衛希斯,2,13,101,22,12.9
大衛希斯,3,6,93,23,6.5
大衛希斯,4,11,80,27,13.8
大衛希斯,5,12,94,26,12.8
大衛希斯,6,7,102,21,6.9
大衛希斯,7,7,82,22,8.5
大衛希斯,8,7,87,25,8.0
大衛希斯,9,9,85,17,10.6
姚本輝,1,8,70,28,11.4
姚本輝,10,5,70,16,7.1
姚本輝,11,2,59,12,3.4
姚本輝,12,6,61,11,9.8
姚本輝,13,2,33,8,6.1
姚本輝,14,5,14,8,35.7
姚本輝,2,14,79,28,17.7
姚本輝,3,7,75,21,9.3
姚本輝,4,6,73,23,8.2
姚本輝,5,4,62,13,6.5
