Trainer,Going,Wins,Starts,Places,WinRate
丁冠豪,一級賽 - 1600米,0,1,0,0.0
丁冠豪,三級賽 - 1800米,0,1,1,0.0
丁冠豪,四歲 - 1600米,1,2,1,50.0
丁冠豪,四歲 - 1800米,0,1,0,0.0
丁冠豪,四歲 - 2000米,0,1,0,0.0
丁冠豪,第三班 - 1200米 - (80-60),2,29,9,6.9
丁冠豪,第三班 - 1200米 - (85-60),0,3,2,0.0
丁冠豪,第三班 - 1400米 - (80-60),1,29,7,3.4
丁冠豪,第三班 - 1600米 - (80-60),0,8,2,0.0
丁冠豪,第三班 - 1600米 - (85-60),2,2,2,100.0
丁冠豪,第三班 - 1650米 - (80-60),0,5,0,0.0
丁冠豪,第三班 - 1650米 - (85-60),0,1,0,0.0
丁冠豪,第三班 - 1800米 - (80-60),0,2,0,0.0
丁冠豪,第二班 - 1000米 - (100-80),1,1,1,100.0
丁冠豪,第二班 - 1200米 - (100-75),0,1,0,0.0
丁冠豪,第二班 - 1200米 - (100-80),0,2,0,0.0
丁冠豪,第二班 - 1400米 - (100-80),1,3,1,33.3
丁冠豪,第二班 - 1650米 - (100-75),0,1,1,0.0
丁冠豪,第二班 - 1650米 - (100-80),1,1,1,100.0
丁冠豪,第二班 - 1650米 - (105-80),0,1,1,0.0
丁冠豪,第二班 - 1800米 - (100-75),0,1,1,0.0
丁冠豪,第二班 - 1800米 - (100-80),0,1,0,0.0
丁冠豪,第五班 - 1000米 - (40-0),1,8,3,12.5
丁冠豪,第五班 - 1200米 - (40-0),2,27,8,7.4
丁冠豪,第五班 - 1400米 - (40-0),0,14,0,0.0
丁冠豪,第五班 - 1600米 - (40-0),0,6,0,0.0
丁冠豪,第五班 - 1650米 - (40-0),1,23,7,4.3
丁冠豪,第五班 - 1800米 - (40-0),0,17,3,0.0
丁冠豪,第五班 - 2000米 - (40-0),1,4,1,25.0
丁冠豪,第五班 - 2200米 - (40-0),0,4,0,0.0
丁冠豪,第四班 - 1000米 - (60-40),3,25,4,12.0
丁冠豪,第四班 - 1200米 - (60-40),7,107,20,6.5
丁冠豪,第四班 - 1400米 - (60-40),4,57,10,7.0
丁冠豪,第四班 - 1600米 - (60-40),1,29,10,3.4
丁冠豪,第四班 - 1650米 - (60-40),2,44,6,4.5
丁冠豪,第四班 - 1800米 - (60-35),0,3,0,0.0
丁冠豪,第四班 - 1800米 - (60-40),2,17,3,11.8
丁冠豪,第四班 - 2000米 - (60-40),0,6,1,0.0
丁冠豪,第四班 - 2200米 - (60-40),0,3,0,0.0
丁冠豪,第四班（條件限制） - 1200米 - (60-40),0,1,0,0.0
丁冠豪,第四班（條件限制） - 1400米 - (60-40),0,1,0,0.0
上村洋行,一級賽 - 2000米,0,1,1,0.0
中內田充正,一級賽 - 2000米,0,3,2,0.0
伊比軒,一級賽 - 1600米,0,1,0,0.0
伍鵬志,一級賽 - 1200米,0,3,0,0.0
伍鵬志,一級賽 - 1400米,0,2,0,0.0
伍鵬志,一級賽 - 1600米,0,7,1,0.0
伍鵬志,一級賽 - 2000米,0,1,0,0.0
伍鵬志,一級賽 - 2400米,0,2,0,0.0
伍鵬志,三級賽 - 1000米,1,3,2,33.3
伍鵬志,三級賽 - 1200米,0,2,0,0.0
伍鵬志,三級賽 - 1400米,0,7,2,0.0
伍鵬志,三級賽 - 1600米,0,2,0,0.0
伍鵬志,三級賽 - 1800米,0,1,0,0.0
伍鵬志,二級賽 - 1200米,0,5,0,0.0
伍鵬志,二級賽 - 1600米,2,7,4,28.6
伍鵬志,二級賽 - 2000米,0,2,2,0.0
伍鵬志,四歲 - 1600米,0,2,0,0.0
伍鵬志,四歲 - 1800米,0,2,1,0.0
伍鵬志,四歲 - 2000米,0,2,0,0.0
伍鵬志,第一班 - 1000米 - (110-80),0,1,0,0.0
伍鵬志,第一班 - 1200米 - (110-85),0,2,0,0.0
伍鵬志,第一班 - 1200米 - (80+),0,1,1,0.0
伍鵬志,第一班 - 1200米 - (85+),0,4,1,0.0
伍鵬志,第一班 - 1400米 - (110-85),0,1,1,0.0
伍鵬志,第一班 - 1400米 - (85+),0,3,1,0.0
伍鵬志,第三班 - 1000米 - (80-55),0,2,0,0.0
