Horse,Wins,Starts,Places
嘉應高昇(J062),15,15,15
康樂高球(J517),7,11,9
祝願(J256),7,17,12
浪漫勇士(E486),7,7,7
遨遊氣泡(E436),6,14,11
小鳥天堂(K246),6,12,8
錶之星河(J343),6,16,10
舉步生風(J358),6,19,11
錶之宇宙(J357),5,13,6
騰龍四海(J317),5,19,10
信心星(J161),5,24,12
會當凌(K122),5,10,6
時時歡欣(K141),5,8,6
星際快車(J186),5,25,10
光年魅力(K130),5,17,9
大番薯(J383),5,18,6
勝萬金(H405),5,27,12
翠紅(K173),5,14,8
豐辰(K004),5,26,12
美麗緣分(H281),5,9,7
白鷺金剛(K296),5,11,9
加州動員(H418),5,18,8
首飾天空(K032),5,7,6
天時明駒(H016),5,17,11
銀進(G266),4,20,5
不同世界(K005),4,19,7
堅有利(G462),4,12,6
增強(J114),4,11,8
天威(J200),4,21,6
一定掂(J225),4,21,8
天將龍駒(K129),4,18,10
一生好彩(K114),4,18,7
風雲武士(J027),4,26,10
一起美麗(J260),4,17,8
快活英雄(J346),4,18,8
愛馬善(H155),4,23,9
俏眼光(L003),4,10,8
極上紗瓏(K585),4,5,4
興馳千里(K533),4,6,5
晨曦儷人(J066),4,19,9
星火燎原(J150),4,32,12
新意馬(K094),4,18,7
勇霸龍(J237),4,30,12
精彩駿將(J417),4,13,7
膨才(K076),4,17,6
北地烈馬(J488),4,22,6
十二神將(H435),4,21,5
有目共賞(K020),4,15,6
友愛心得(J537),4,22,7
時時歡聲(K350),4,6,5
太陽勇士(J127),4,27,17
鈦易搵(H216),4,22,6
伶俐驫駒(H108),4,22,13
富喜來(H213),4,21,6
德心知遇(J133),4,29,8
幸運星球(H235),4,22,8
三軍勇將(J360),4,24,8
勇敢巨星(G268),4,18,8
環球英雄(J413),4,22,5
熾烈神駒(J157),4,23,12
瑤瑤日上(J423),4,25,8
美麗第一(H294),4,23,7
凱旋升(J489),4,17,6
加州活力(J131),4,24,7
滿心星(K054),4,21,12
英駿飛駒(H376),4,18,7
包裝天將(J277),4,14,8
勁先生(J239),4,17,8
竣誠駒(H486),4,27,7
勁沙塵(J514),4,18,12
福星小子(K434),4,14,5
笑傲江湖(K168),4,14,8
皇龍飛將(J279),4,20,7
真心傳奇(J325),4,19,8
喜尊龍(J481),3,14,9
年年友福(G463),3,23,8
金勝名駒(H461),3,22,5
