Jockey,Draw,Wins,Starts,Places,WinRate,PlaceRate
三浦皇成,11,0,1,0,0.0,0.0
何澤堯,1,7,48,14,14.6,29.2
何澤堯,10,4,40,9,10.0,22.5
何澤堯,11,4,50,9,8.0,18.0
何澤堯,12,3,43,7,7.0,16.3
何澤堯,13,1,19,2,5.3,10.5
何澤堯,14,1,13,3,7.7,23.1
何澤堯,2,6,43,13,14.0,30.2
何澤堯,3,1,47,13,2.1,27.7
何澤堯,4,4,54,18,7.4,33.3
何澤堯,5,1,52,17,1.9,32.7
何澤堯,6,9,46,19,19.6,41.3
何澤堯,7,8,47,18,17.0,38.3
何澤堯,8,3,45,12,6.7,26.7
何澤堯,9,4,51,12,7.8,23.5
司徒岳,8,0,1,0,0.0,0.0
周俊樂,1,7,62,18,11.3,29.0
周俊樂,10,3,59,8,5.1,13.6
周俊樂,11,5,54,10,9.3,18.5
周俊樂,12,2,58,10,3.4,17.2
周俊樂,13,1,23,4,4.3,17.4
周俊樂,14,3,28,6,10.7,21.4
周俊樂,2,4,65,11,6.2,16.9
周俊樂,3,5,67,16,7.5,23.9
周俊樂,4,6,61,14,9.8,23.0
周俊樂,5,6,64,15,9.4,23.4
周俊樂,6,5,59,13,8.5,22.0
周俊樂,7,4,52,13,7.7,25.0
周俊樂,8,4,47,11,8.5,23.4
周俊樂,9,5,71,17,7.0,23.9
奧爾民,1,3,46,18,6.5,39.1
奧爾民,10,3,57,9,5.3,15.8
奧爾民,11,5,57,9,8.8,15.8
奧爾民,12,2,43,8,4.7,18.6
奧爾民,13,1,18,1,5.6,5.6
奧爾民,14,3,22,4,13.6,18.2
奧爾民,2,3,53,17,5.7,32.1
奧爾民,3,3,49,8,6.1,16.3
奧爾民,4,5,56,10,8.9,17.9
奧爾民,5,1,33,7,3.0,21.2
奧爾民,6,6,57,15,10.5,26.3
奧爾民,7,0,32,9,0.0,28.1
奧爾民,8,3,30,9,10.0,30.0
奧爾民,9,2,48,11,4.2,22.9
川田將雅,11,0,2,0,0.0,0.0
川田將雅,13,0,1,0,0.0,0.0
川田將雅,4,0,1,0,0.0,0.0
川田將雅,5,0,2,1,0.0,50.0
川田將雅,6,0,1,0,0.0,0.0
川田將雅,7,0,1,0,0.0,0.0
川田將雅,8,0,2,0,0.0,0.0
巫顯東,1,3,23,6,13.0,26.1
巫顯東,10,0,10,0,0.0,0.0
巫顯東,11,1,20,1,5.0,5.0
巫顯東,12,0,14,1,0.0,7.1
巫顯東,13,0,8,1,0.0,12.5
巫顯東,14,0,9,1,0.0,11.1
巫顯東,2,0,13,1,0.0,7.7
巫顯東,3,0,23,3,0.0,13.0
巫顯東,4,0,22,0,0.0,0.0
巫顯東,5,0,20,1,0.0,5.0
巫顯東,6,1,21,2,4.8,9.5
巫顯東,7,0,12,1,0.0,8.3
巫顯東,8,1,20,1,5.0,5.0
巫顯東,9,2,21,3,9.5,14.3
巴度,1,8,67,20,11.9,29.9
巴度,10,4,77,16,5.2,20.8
巴度,11,2,65,12,3.1,18.5
巴度,12,2,59,15,3.4,25.4
巴度,13,1,26,6,3.8,23.1
巴度,14,1,28,6,3.6,21.4
巴度,2,7,72,18,9.7,25.0
巴度,3,6,54,16,11.1,29.6
巴度,4,5,87,27,5.7,31.0
巴度,5,6,63,12,9.5,19.0
巴度,6,4,72,18,5.6,25.0
巴度,7,2,67,14,3.0,20.9
巴度,8,3,76,14,3.9,18.4
巴度,9,7,83,18,8.4,21.7
巴米高,1,0,2,0,0.0,0.0
巴米高,10,0,1,0,0.0,0.0
巴米高,11,0,1,0,0.0,0.0
巴米高,12,1,2,1,50.0,50.0
巴米高,13,0,2,0,0.0,0.0
巴米高,2,0,1,0,0.0,0.0
巴米高,3,0,1,0,0.0,0.0
巴米高,4,0,2,0,0.0,0.0
巴米高,5,0,1,0,0.0,0.0
巴米高,6,0,3,2,0.0,66.7
巴米高,7,0,1,0,0.0,0.0
巴米高,8,1,3,1,33.3,33.3
巴米高,9,1,4,2,25.0,50.0
布宜學,10,0,1,0,0.0,0.0
布宜學,11,0,1,0,0.0,0.0
布宜學,12,0,2,0,0.0,0.0
布宜學,2,0,1,0,0.0,0.0
布宜學,4,0,1,1,0.0,100.0
布宜學,5,1,2,1,50.0,50.0
布宜學,7,0,1,0,0.0,0.0
布宜學,9,0,1,0,0.0,0.0
布文,1,12,93,34,12.9,36.6
布文,10,7,67,23,10.4,34.3
布文,11,9,86,22,10.5,25.6
布文,12,4,62,16,6.5,25.8
布文,13,2,37,12,5.4,32.4
布文,14,1,18,2,5.6,11.1
布文,2,14,85,33,16.5,38.8
布文,3,10,89,34,11.2,38.2
布文,4,14,75,32,18.7,42.7
布文,5,15,90,37,16.7,41.1
布文,6,9,98,35,9.2,35.7
布文,7,10,79,23,12.7,29.1
布文,8,10,88,25,11.4,28.4
布文,9,10,87,25,11.5,28.7
布浩榮,1,0,3,0,0.0,0.0
布浩榮,10,0,1,0,0.0,0.0
布浩榮,11,0,2,1,0.0,50.0
布浩榮,12,0,1,0,0.0,0.0
布浩榮,13,0,1,0,0.0,0.0
布浩榮,14,0,2,0,0.0,0.0
布浩榮,2,0,2,0,0.0,0.0
布浩榮,3,0,3,2,0.0,66.7
布浩榮,4,0,2,1,0.0,50.0
布浩榮,5,0,5,0,0.0,0.0
布浩榮,6,0,2,1,0.0,50.0
布浩榮,7,1,5,2,20.0,40.0
布浩榮,8,0,2,0,0.0,0.0
布浩榮,9,0,2,0,0.0,0.0
希威森,1,5,60,17,8.3,28.3
希威森,10,5,66,15,7.6,22.7
希威森,11,3,77,9,3.9,11.7
