Jockey,Wins,Starts,Profit,ROI
潘頓,249,1143,-250.1,-21.9
布文,127,1054,-225.7,-21.4
艾兆禮,111,1095,-225.7,-20.6
田泰安,78,1132,-322.7,-28.5
霍宏聲,78,838,154.60000000000002,18.4
班德禮,62,844,-246.70000000000002,-29.2
艾道拿,62,855,-267.4,-31.3
潘明輝,61,942,-137.9,-14.6
周俊樂,60,770,-216.8,-28.2
梁家俊,59,783,-6.099999999999994,-0.8
巴度,58,896,-390.2,-43.5
何澤堯,56,598,-165.5,-27.7
希威森,53,867,-358.3,-41.3
蔡明紹,47,918,-420.2,-45.8
黃智弘,45,553,-9.600000000000001,-1.7
麥道朗,43,228,-40.6,-17.8
奧爾民,40,601,-49.800000000000004,-8.3
鍾易禮,39,771,-166.6,-21.6
楊明綸,37,806,-224.0,-27.8
黃寶妮,28,342,-40.0,-11.7
金誠剛,16,407,-119.2,-29.3
紀仁安,15,171,-79.8,-46.7
莫雷拉,15,104,-16.6,-16.0
董明朗,12,307,-36.9,-12.0
賀銘年,12,273,-50.5,-18.5
麥文堅,10,142,-18.9,-13.3
湯普新,9,380,-299.9,-78.9
莫雅,8,51,-5.399999999999999,-10.6
巫顯東,8,236,-89.4,-37.9
杜苑欣,7,121,-50.2,-41.5
袁幸堯,7,53,-6.500000000000002,-12.3
韋紀力,4,38,5.900000000000002,15.5
巴米高,3,24,34.8,145.0
貝知仁,2,106,-79.0,-74.5
馬昆,2,26,-0.6999999999999993,-2.7
薛恩,2,27,-19.3,-71.5
莫艾誠,1,7,5.0,71.4
連達文,1,3,0.7000000000000002,23.3
陳嘉熙,1,18,-15.9,-88.3
麥當能,1,35,-21.0,-60.0
布浩榮,1,33,-26.8,-81.2
布宜學,1,10,-1.0999999999999996,-11.0
三浦皇成,0,1,-1.0,-100.0
司徒岳,0,1,-1.0,-100.0
川田將雅,0,10,-10.0,-100.0
李寶利,0,12,-12.0,-100.0
李慕華,0,9,-9.0,-100.0
杜滿樂,0,3,-3.0,-100.0
羅敦,0,2,-2.0,-100.0
簡國能,0,5,-5.0,-100.0
溫蘿,0,1,-1.0,-100.0
潘大衛,0,132,-132.0,-100.0
柯浩新,0,1,-1.0,-100.0
橫山和生,0,1,-1.0,-100.0
范以誠,0,2,-2.0,-100.0
苗傑美,0,4,-4.0,-100.0
西村淳也,0,1,-1.0,-100.0
蘇銘倫,0,22,-22.0,-100.0
薛凱華,0,6,-6.0,-100.0
菅原明良,0,1,-1.0,-100.0
郭立基,0,1,-1.0,-100.0
金美琪,0,8,-8.0,-100.0
高力德,0,1,-1.0,-100.0
黎應揚,0,1,-1.0,-100.0
