Jockey,Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
潘頓,大衛希斯,34,135,67,-38.9,25.2,49.6,-28.8
黃智弘,方嘉柏,27,213,59,25.7,12.7,27.7,12.1
鍾易禮,告東尼,26,402,73,-144.7,6.5,18.2,-36.0
艾兆禮,蔡約翰,25,188,56,-6.699999999999999,13.3,29.8,-3.6
布文,方嘉柏,24,150,55,0.8000000000000007,16.0,36.7,0.5
艾道拿,蔡約翰,23,254,88,-59.4,9.1,34.6,-23.4
潘頓,羅富全,20,91,46,-16.200000000000003,22.0,50.5,-17.8
潘頓,蔡約翰,19,83,43,-15.600000000000001,22.9,51.8,-18.8
霍宏聲,廖康銘,19,240,66,-91.8,7.9,27.5,-38.2
何澤堯,呂健威,19,167,48,-17.600000000000005,11.4,28.7,-10.5
布文,沈集成,18,97,33,27.900000000000002,18.6,34.0,28.8
潘頓,沈集成,17,57,27,-2.4000000000000004,29.8,47.4,-4.2
潘頓,文家良,17,57,33,10.3,29.8,57.9,18.1
梁家俊,巫偉傑,17,161,37,75.1,10.6,23.0,46.6
潘頓,蘇偉賢,16,77,34,-7.1000000000000005,20.8,44.2,-9.2
潘頓,黎昭昇,16,75,34,-20.3,21.3,45.3,-27.1
潘頓,呂健威,16,65,41,-4.199999999999999,24.6,63.1,-6.5
布文,蔡約翰,15,136,56,12.399999999999999,11.0,41.2,9.1
艾兆禮,伍鵬志,15,143,35,-17.2,10.5,24.5,-12.0
梁家俊,羅富全,15,171,46,-24.2,8.8,26.9,-14.2
潘頓,伍鵬志,14,84,39,-30.3,16.7,46.4,-36.1
周俊樂,巫偉傑,14,99,27,-21.5,14.1,27.3,-21.7
蔡明紹,巫偉傑,13,204,49,-37.5,6.4,24.0,-18.4
黃寶妮,文家良,13,83,25,73.3,15.7,30.1,88.3
艾兆禮,廖康銘,13,73,27,14.699999999999998,17.8,37.0,20.1
潘頓,賀賢,13,77,33,-26.2,16.9,42.9,-34.0
希威森,廖康銘,13,169,43,-53.400000000000006,7.7,25.4,-31.6
布文,韋達,13,95,32,-9.200000000000003,13.7,33.7,-9.7
潘頓,廖康銘,12,50,24,-13.7,24.0,48.0,-27.4
田泰安,桂福特,12,122,38,-22.8,9.8,31.1,-18.7
麥道朗,沈集成,12,42,20,5.4,28.6,47.6,12.9
班德禮,大衛希斯,12,107,28,-18.8,11.2,26.2,-17.6
班德禮,蘇偉賢,11,67,28,37.7,16.4,41.8,56.3
田泰安,大衛希斯,11,106,32,-51.0,10.4,30.2,-48.1
潘明輝,姚本輝,11,110,29,49.8,10.0,26.4,45.3
何澤堯,方嘉柏,11,86,30,-34.1,12.8,34.9,-39.7
莫雷拉,方嘉柏,11,68,23,2.3999999999999986,16.2,33.8,3.5
潘頓,葉楚航,10,42,17,-12.3,23.8,40.5,-29.3
潘頓,告東尼,10,62,28,-11.399999999999999,16.1,45.2,-18.4
潘明輝,賀賢,10,168,35,23.5,6.0,20.8,14.0
巴度,廖康銘,10,88,32,23.099999999999998,11.4,36.4,26.2
艾道拿,告東尼,10,130,26,-26.599999999999998,7.7,20.0,-20.5
潘頓,姚本輝,10,32,17,3.0000000000000004,31.2,53.1,9.4
奧爾民,徐雨石,9,79,26,-0.3999999999999986,11.4,32.9,-0.5
艾道拿,大衛希斯,9,71,27,51.2,12.7,38.0,72.1
潘頓,游達榮,9,43,18,-17.0,20.9,41.9,-39.5
田泰安,蔡約翰,9,85,25,24.7,10.6,29.4,29.1
霍宏聲,游達榮,9,81,19,92.0,11.1,23.5,113.6
希威森,呂健威,9,136,29,-73.7,6.6,21.3,-54.2
麥道朗,姚本輝,8,19,10,1.7999999999999998,42.1,52.6,9.5
霍宏聲,大衛希斯,8,73,15,38.0,11.0,20.5,52.1
布文,廖康銘,8,45,16,-9.899999999999999,17.8,35.6,-22.0
布文,大衛希斯,8,71,22,-39.0,11.3,31.0,-54.9
艾兆禮,羅富全,8,60,17,-23.6,13.3,28.3,-39.3
潘明輝,羅富全,8,115,27,-5.900000000000001,7.0,23.5,-5.1
董明朗,蘇偉賢,7,105,19,85.60000000000001,6.7,18.1,81.5
巴度,告東尼,7,94,24,-44.5,7.4,25.5,-47.3
蔡明紹,告東尼,7,132,31,-80.8,5.3,23.5,-61.2
艾兆禮,賀賢,7,44,17,56.3,15.9,38.6,128.0
潘頓,丁冠豪,7,15,10,0.7000000000000006,46.7,66.7,4.7
班德禮,韋達,7,104,23,-15.299999999999999,6.7,22.1,-14.7
梁家俊,文家良,7,91,19,115.5,7.7,20.9,126.9
梁家俊,鄭俊偉,7,64,14,22.4,10.9,21.9,35.0
希威森,韋達,7,117,25,-61.2,6.0,21.4,-52.3
艾兆禮,姚本輝,7,74,29,-3.3999999999999995,9.5,39.2,-4.6
田泰安,游達榮,7,103,27,45.7,6.8,26.2,44.4
楊明綸,呂健威,6,50,11,35.4,12.0,22.0,70.8
金誠剛,姚本輝,6,56,21,-25.2,10.7,37.5,-45.0
周俊樂,游達榮,6,42,15,-3.200000000000001,14.3,35.7,-7.6
田泰安,葉楚航,6,59,12,8.3,10.2,20.3,14.1
班德禮,巫偉傑,6,56,14,8.0,10.7,25.0,14.3
潘明輝,鄭俊偉,6,62,15,35.7,9.7,24.2,57.6
希威森,大衛希斯,6,96,22,-38.8,6.2,22.9,-40.4
布文,姚本輝,6,36,15,-13.2,16.7,41.7,-36.7
艾兆禮,呂健威,6,50,15,-9.8,12.0,30.0,-19.6
艾兆禮,文家良,6,36,11,20.7,16.7,30.6,57.5
霍宏聲,韋達,6,61,13,40.6,9.8,21.3,66.6
巴度,黎昭昇,6,59,16,32.1,10.2,27.1,54.4
奧爾民,蘇偉賢,6,56,14,50.7,10.7,25.0,90.5
奧爾民,賀賢,6,81,20,42.6,7.4,24.7,52.6
何澤堯,蘇偉賢,6,52,10,21.5,11.5,19.2,41.3
紀仁安,徐雨石,5,31,13,7.7,16.1,41.9,24.8
楊明綸,大衛希斯,5,144,22,-119.6,3.5,15.3,-83.1
班德禮,丁冠豪,5,100,16,3.0,5.0,16.0,3.0
潘頓,韋達,5,25,15,-11.399999999999999,20.0,60.0,-45.6
布文,游達榮,5,42,12,-21.6,11.9,28.6,-51.4
布文,告東尼,5,56,12,-20.9,8.9,21.4,-37.3
班德禮,沈集成,5,84,14,-52.8,6.0,16.7,-62.9
班德禮,羅富全,5,39,12,-3.3999999999999995,12.8,30.8,-8.7
潘明輝,巫偉傑,5,58,13,-18.8,8.6,22.4,-32.4
周俊樂,呂健威,5,47,16,-5.900000000000001,10.6,34.0,-12.6
霍宏聲,伍鵬志,5,47,11,36.1,10.6,23.4,76.8
霍宏聲,容天鵬,5,19,9,54.1,26.3,47.4,284.7
麥道朗,蔡約翰,5,28,15,-5.9,17.9,53.6,-21.1
巴度,方嘉柏,5,80,18,-41.5,6.2,22.5,-51.9
周俊樂,姚本輝,5,55,23,-32.3,9.1,41.8,-58.7
霍宏聲,姚本輝,5,44,9,12.7,11.4,20.5,28.9
楊明綸,告東尼,5,39,8,18.0,12.8,20.5,46.2
何澤堯,文家良,5,64,15,-5.6000000000000005,7.8,23.4,-8.8
黃智弘,大衛希斯,5,70,19,-22.8,7.1,27.1,-32.6
何澤堯,伍鵬志,5,52,17,-26.8,9.6,32.7,-51.5
黃智弘,沈集成,5,59,15,77.8,8.5,25.4,131.9
蔡明紹,姚本輝,4,51,10,-30.0,7.8,19.6,-58.8
