Jockey,Venue,Wins,Starts,Places,WinRate
三浦皇成,沙田,0,1,0,0.0
何澤堯,沙田,27,374,96,7.2
何澤堯,跑馬地,29,224,70,12.9
司徒岳,沙田,0,1,0,0.0
周俊樂,沙田,34,482,94,7.1
周俊樂,跑馬地,26,288,72,9.0
奧爾民,沙田,26,392,80,6.6
奧爾民,跑馬地,14,209,55,6.7
川田將雅,沙田,0,6,1,0.0
川田將雅,跑馬地,0,4,0,0.0
巫顯東,沙田,7,165,17,4.2
巫顯東,跑馬地,1,71,5,1.4
巴度,沙田,33,569,118,5.8
巴度,跑馬地,25,327,94,7.6
巴米高,沙田,0,11,0,0.0
巴米高,跑馬地,3,13,6,23.1
布宜學,沙田,0,2,0,0.0
布宜學,跑馬地,1,8,2,12.5
布文,沙田,63,637,208,9.9
布文,跑馬地,64,417,145,15.3
布浩榮,沙田,0,21,3,0.0
布浩榮,跑馬地,1,12,4,8.3
希威森,沙田,32,529,112,6.0
希威森,跑馬地,21,338,78,6.2
李寶利,沙田,0,6,0,0.0
李寶利,跑馬地,0,6,1,0.0
李慕華,沙田,0,4,1,0.0
李慕華,跑馬地,0,5,1,0.0
杜滿樂,沙田,0,3,1,0.0
杜苑欣,沙田,4,54,13,7.4
杜苑欣,跑馬地,3,67,15,4.5
柯浩新,沙田,0,1,0,0.0
梁家俊,沙田,44,518,120,8.5
梁家俊,跑馬地,15,265,52,5.7
楊明綸,沙田,27,533,82,5.1
楊明綸,跑馬地,10,273,42,3.7
橫山和生,沙田,0,1,1,0.0
湯普新,沙田,7,250,35,2.8
湯普新,跑馬地,2,130,17,1.5
溫蘿,沙田,0,1,0,0.0
潘大衛,沙田,0,86,2,0.0
潘大衛,跑馬地,0,46,6,0.0
潘明輝,沙田,42,617,129,6.8
潘明輝,跑馬地,19,325,79,5.8
潘頓,沙田,171,724,354,23.6
潘頓,跑馬地,78,419,202,18.6
班德禮,沙田,31,528,109,5.9
班德禮,跑馬地,31,316,81,9.8
田泰安,沙田,47,723,172,6.5
田泰安,跑馬地,31,409,104,7.6
簡國能,跑馬地,0,5,2,0.0
紀仁安,沙田,10,118,36,8.5
紀仁安,跑馬地,5,53,15,9.4
羅敦,沙田,0,2,0,0.0
艾兆禮,沙田,66,703,190,9.4
艾兆禮,跑馬地,45,392,117,11.5
艾道拿,沙田,46,583,162,7.9
艾道拿,跑馬地,16,272,58,5.9
苗傑美,沙田,0,4,1,0.0
范以誠,沙田,0,2,1,0.0
莫艾誠,沙田,1,7,1,14.3
莫雅,沙田,2,26,9,7.7
莫雅,跑馬地,6,25,8,24.0
莫雷拉,沙田,8,71,26,11.3
莫雷拉,跑馬地,7,33,12,21.2
菅原明良,沙田,0,1,0,0.0
董明朗,沙田,8,192,29,4.2
董明朗,跑馬地,4,115,18,3.5
蔡明紹,沙田,25,589,112,4.2
蔡明紹,跑馬地,22,329,78,6.7
薛凱華,沙田,0,6,1,0.0
薛恩,沙田,2,27,7,7.4
蘇銘倫,沙田,0,22,5,0.0
袁幸堯,沙田,7,53,20,13.2
西村淳也,沙田,0,1,0,0.0
貝知仁,沙田,2,71,11,2.8
貝知仁,跑馬地,0,35,4,0.0
賀銘年,沙田,6,160,24,3.8
賀銘年,跑馬地,6,113,25,5.3
連達文,沙田,1,3,2,33.3
郭立基,沙田,0,1,0,0.0
金美琪,跑馬地,0,8,1,0.0
金誠剛,沙田,9,277,51,3.2
金誠剛,跑馬地,7,130,23,5.4
鍾易禮,沙田,21,480,64,4.4
鍾易禮,跑馬地,18,291,52,6.2
陳嘉熙,沙田,1,8,2,12.5
陳嘉熙,跑馬地,0,10,2,0.0
霍宏聲,沙田,47,523,120,9.0
霍宏聲,跑馬地,31,315,82,9.8
韋紀力,沙田,4,38,12,10.5
馬昆,沙田,1,20,2,5.0
馬昆,跑馬地,1,6,1,16.7
高力德,沙田,0,1,0,0.0
麥文堅,沙田,7,100,23,7.0
麥文堅,跑馬地,3,42,8,7.1
麥當能,沙田,0,26,1,0.0
麥當能,跑馬地,1,9,1,11.1
麥道朗,沙田,33,162,74,20.4
麥道朗,跑馬地,10,66,23,15.2
黃寶妮,沙田,28,302,57,9.3
黃寶妮,跑馬地,0,40,7,0.0
黃智弘,沙田,23,311,67,7.4
黃智弘,跑馬地,22,242,64,9.1
黎應揚,沙田,0,1,0,0.0
