Trainer,Wins,Starts,Profit,ROI
蔡約翰,113,1110,-229.1,-20.6
大衛希斯,109,1201,-471.9,-39.3
方嘉柏,103,965,-223.7,-23.2
廖康銘,96,937,-231.7,-24.7
呂健威,96,912,-91.5,-10.0
沈集成,91,921,-115.00000000000001,-12.5
告東尼,85,1128,-394.8,-35.0
姚本輝,81,892,-215.4,-24.1
文家良,80,795,38.1,4.8
羅富全,80,1010,-309.7,-30.7
巫偉傑,74,888,-54.599999999999994,-6.1
蘇偉賢,62,811,-110.39999999999999,-13.6
伍鵬志,61,1055,-420.59999999999997,-39.9
游達榮,61,739,-126.19999999999999,-17.1
賀賢,51,784,-230.8,-29.4
韋達,51,833,-402.6,-48.3
葉楚航,47,717,-252.3,-35.2
黎昭昇,43,670,-332.0,-49.6
徐雨石,36,587,-67.89999999999999,-11.6
鄭俊偉,34,655,-244.0,-37.3
丁冠豪,33,493,28.50000000000002,5.8
容天鵬,21,398,-153.0,-38.4
桂福特,20,261,-61.8,-23.7
布銘球,1,2,10.0,500.0
堀宣行,1,6,-2.3,-38.3
費伯華,1,3,-0.2999999999999998,-10.0
上村洋行,0,1,-1.0,-100.0
岳品賢,0,1,-1.0,-100.0
國枝榮,0,1,-1.0,-100.0
中內田充正,0,3,-3.0,-100.0
伯特,0,1,-1.0,-100.0
岳伯仁,0,6,-6.0,-100.0
吉村圭司,0,1,-1.0,-100.0
伊比軒,0,1,-1.0,-100.0
池江泰壽,0,2,-2.0,-100.0
比安威詹 希斯,0,1,-1.0,-100.0
武英智,0,1,-1.0,-100.0
武井亮,0,2,-2.0,-100.0
森一誠,0,1,-1.0,-100.0
杉山晴紀,0,4,-4.0,-100.0
巴伯樂,0,1,-1.0,-100.0
手塚貴久,0,1,-1.0,-100.0
岳本賢,0,2,-2.0,-100.0
包義定,0,2,-2.0,-100.0
侯耀誠,0,1,-1.0,-100.0
白祈達,0,1,-1.0,-100.0
納斯,0,1,-1.0,-100.0
游孝廉,0,3,-3.0,-100.0
活侯夫人及布特,0,1,-1.0,-100.0
池添學,0,1,-1.0,-100.0
藤原英昭,0,1,-1.0,-100.0
葛威法,0,3,-3.0,-100.0
范鴻禧,0,1,-1.0,-100.0
菲德文及菲敦盟,0,1,-1.0,-100.0
范景新,0,1,-1.0,-100.0
田中博康,0,1,-1.0,-100.0
雷拿及雷恩,0,1,-1.0,-100.0
郗國思,0,2,-2.0,-100.0
雷里雅,0,1,-1.0,-100.0
顧永賢,0,1,-1.0,-100.0
馬漢雅,0,1,-1.0,-100.0
馬晏殊,0,1,-1.0,-100.0
高亮能,0,1,-1.0,-100.0
高柳瑞樹,0,1,-1.0,-100.0
高野友和,0,2,-2.0,-100.0
鹿戶雄一,0,1,-1.0,-100.0
