jockey,trainer,Wins,Starts,Places,Win_ROI_Pct,WinRate,PlaceRate
艾兆禮,蔡約翰,17,116,35,-1.2931034482758785,14.7,30.2
潘頓,大衛希斯,16,59,27,-4.5762711864406835,27.1,45.8
黃智弘,方嘉柏,15,112,32,-9.910714285714295,13.4,28.6
鍾易禮,告東尼,13,167,29,-45.628742514970064,7.8,17.4
田泰安,桂福特,12,110,34,-9.818181818181815,10.9,30.9
何澤堯,呂健威,12,99,34,-8.28282828282828,12.1,34.3
班德禮,大衛希斯,11,88,22,-7.045454545454543,12.5,25.0
莫雷拉,方嘉柏,10,54,19,24.814814814814824,18.5,35.2
潘頓,廖康銘,10,32,19,-2.499999999999991,31.2,59.4
潘頓,沈集成,10,31,18,11.612903225806459,32.3,58.1
周俊樂,巫偉傑,9,74,21,-43.24324324324324,12.2,28.4
艾兆禮,廖康銘,9,55,20,11.454545454545473,16.4,36.4
布文,沈集成,9,46,18,88.26086956521738,19.6,39.1
潘頓,文家良,9,31,20,-9.677419354838722,29.0,64.5
梁家俊,羅富全,8,87,26,-7.586206896551717,9.2,29.9
潘頓,姚本輝,8,21,13,49.523809523809526,38.1,61.9
霍宏聲,廖康銘,7,88,25,-53.86363636363636,8.0,28.4
希威森,廖康銘,7,86,23,-36.74418604651163,8.1,26.7
梁家俊,巫偉傑,7,78,14,87.3076923076923,9.0,17.9
何澤堯,方嘉柏,7,57,16,-63.1578947368421,12.3,28.1
艾兆禮,賀賢,7,32,14,213.4375,21.9,43.8
艾道拿,蔡約翰,6,108,31,-24.629629629629623,5.6,28.7
潘明輝,羅富全,6,55,13,50.363636363636346,10.9,23.6
周俊樂,游達榮,6,40,14,-3.0000000000000027,15.0,35.0
潘頓,黎昭昇,6,35,13,-51.42857142857142,17.1,37.1
潘頓,呂健威,6,31,20,-21.935483870967754,19.4,64.5
潘頓,蘇偉賢,6,29,12,-32.068965517241374,20.7,41.4
潘頓,伍鵬志,6,25,13,1.1999999999999789,24.0,52.0
麥道朗,沈集成,6,17,7,60.58823529411765,35.3,41.2
潘明輝,賀賢,5,80,19,80.87499999999999,6.2,23.8
奧爾民,賀賢,5,68,17,9.705882352941163,7.4,25.0
奧爾民,徐雨石,5,52,15,-4.615384615384621,9.6,28.8
潘頓,羅富全,5,44,18,-59.09090909090908,11.4,40.9
布文,方嘉柏,5,36,12,-30.000000000000004,13.9,33.3
潘頓,告東尼,5,36,16,-34.166666666666664,13.9,44.4
班德禮,蘇偉賢,5,34,15,25.294117647058822,14.7,44.1
霍宏聲,韋達,5,32,8,73.75,15.6,25.0
紀仁安,徐雨石,5,30,13,29.000000000000004,16.7,43.3
班德禮,羅富全,5,22,9,61.81818181818179,22.7,40.9
霍宏聲,游達榮,4,52,11,70.76923076923076,7.7,21.2
布文,蔡約翰,4,50,21,-42.00000000000001,8.0,42.0
希威森,桂福特,4,42,13,-13.333333333333341,9.5,31.0
潘頓,賀賢,4,41,13,-52.6829268292683,9.8,31.7
奧爾民,蘇偉賢,4,39,9,125.8974358974359,10.3,23.1
巴度,廖康銘,4,39,13,88.974358974359,10.3,33.3
巴度,黎昭昇,4,36,11,82.2222222222222,11.1,30.6
潘明輝,巫偉傑,4,31,10,-5.80645161290324,12.9,32.3
黃寶妮,文家良,4,31,9,151.29032258064518,12.9,29.0
周俊樂,呂健威,4,29,12,28.965517241379303,13.8,41.4
布文,大衛希斯,4,29,8,-33.44827586206897,13.8,27.6
希威森,沈集成,4,28,11,108.21428571428568,14.3,39.3
霍宏聲,伍鵬志,4,28,7,185.71428571428572,14.3,25.0
楊明綸,呂健威,4,27,5,39.62962962962963,14.8,18.5
布文,游達榮,4,24,7,-31.25,16.7,29.2
