Name,Type,Suburb/Area,Latitude (S),Longitude (E)
"First Australian Muzzle Loading Gun Rifle and Pistol Club Incorporated, Lithgow",Shooting Range,Unknown,-33.4963581,150.1796051
Bathurst Rifle Range,Shooting Range,Unknown,-33.4382337,149.546134
Newman gun club,Shooting Range,Unknown,-23.3828156,119.7593319
Lithgow Small Arms Rifle Club,Shooting Range,Unknown,-33.4965399,150.1425801
Kununurra Pistol Club,Shooting Range,Unknown,-15.8071244,128.749732
Tactical Assault Paintball,Shooting Range,Unknown,-33.9637996,148.9496852
Horsham Pistol Club,Shooting Range,Unknown,-36.6732017,142.2451519
Patchewollock Gun Club,Shooting Range,Unknown,-35.365706,142.2016882
LazerCorps,Shooting Range,Unknown,-31.8088633,116.0021356
Ararat Rifle Range,Shooting Range,"Ararat, Victoria, 3377",-37.2826164,142.9077918
Atherton Rifle Club,Shooting Range,Unknown,-17.2720729,145.4607956
Gold Coast Pistol Club,Shooting Range,Unknown,-27.9693658,153.3845409
Katherine Paintball,Shooting Range,Unknown,-14.4710664,132.2263324
Facility on Banjo Paterson Way,Shooting Range,"Cumnock, New South Wales, 2866",-32.9754564,148.7837796
Loxton Clay Range,Shooting Range,Unknown,-34.4525884,140.6393696
The Loxton Pistol Club,Shooting Range,Unknown,-34.4523315,140.6374935
Dubbo Pistol Club,Shooting Range,Unknown,-32.3721134,148.7060801
Gold Coast Shooters Supplies,Gun Shop,"Ashmore, 4214",-27.9806978,153.3840165
Millmerran Rifle Club,Shooting Range,Unknown,-27.942102,151.22382
Kapunda Rifle Club,Shooting Range,Unknown,-34.3560936,138.9257934
SSAA Southport,Shooting Range,Unknown,-27.9789506,153.3871843
Leura Pistol Club,Shooting Range,Unknown,-33.7036176,150.3469165
Fisher Firearms,Gun Shop,Unknown,-34.9157696,138.6240927
West Australian Gun Club,Shooting Range,"Whiteman, WA, 6068",-31.8091927,115.924503
Paint Ball,Shooting Range,Unknown,-27.238583,153.0481076
"Kingston Brothers, Gunsmith",Gun Shop,"West End, 4101",-27.4810252,153.0110363
Griffith Rifle Club,Shooting Range,"Beelbangera, NSW, 2680",-34.25363,146.0861244
Guyra Gun Club,Shooting Range,Unknown,-30.264618,151.6815135
G & A Tactical,Gun Shop,Unknown,-28.0934454,153.443077
The Open Range,Shooting Range,Unknown,-27.5673363,151.9445324
Streaky Bay Pistol Club,Shooting Range,Unknown,-32.8888052,134.1777573
Razorback Outdoors,Gun Shop,Unknown,-33.5803737,150.7205002
Facility on Mount Misery Road,Shooting Range,"Mudgee, New South Wales, 2850",-32.6071789,149.5704487
Gulgong Pistol Club,Shooting Range,Unknown,-32.3909876,149.5331043
Windamere Regional Shooting Complex,Shooting Range,Unknown,-32.8193695,149.8026019
Caboolture Firearms,Gun Shop,4510,-27.0843556,152.9811953
SSAA Forsayth & District Branch,Shooting Range,Unknown,-18.5858256,143.5801296
Mildura Clay Target Club,Shooting Range,"Mildura, VIC, 3500",-34.1616669,142.1283377
Toompine Progress Association,Shooting Range,Unknown,-27.22149,144.3682242
Bankstown Gun Shop,Gun Shop,"Bankstown, NSW, 2200",-33.9335633,151.0268077
Horsley Park Gun Shop,Gun Shop,"Horsley Park, NSW, 2175",-33.8414,150.8465583
Southport Indoor Pistol Club,Shooting Range,Unknown,-27.9774734,153.4120743
SSAA Townsville,Shooting Range,Unknown,-19.3526659,146.5038879
Townsville Marksmen Rifle Club,Shooting Range,Unknown,-19.3519949,146.4970412
Cobar Clay Target Club,Shooting Range,Unknown,-31.4867037,145.8402298
Cunnamulla Gun Club,Shooting Range,Unknown,-28.0653884,145.7016532
Queensland Target Sports,Shooting Range,Unknown,-27.5088234,153.1329717
Metropolitan Pistol Club,Shooting Range,"Belmont, QLD, 4153",-27.5105771,153.1354656
Glenmorgan Shooting Club,Shooting Range,Unknown,-27.2461222,149.6794952
Tuggerah Lakes Memorial Shooting Club,Shooting Range,Unknown,-33.3980107,151.4564198
Grantville Rifle Club,Shooting Range,Unknown,-38.4277021,145.5094327
Brisbane Sporting Clays,Shooting Range,"Belmont, QLD, 4153",-27.5265107,153.1268902
Rifle Range,Shooting Range,Unknown,-20.508652,147.8389786
Wattle Grove Park SSAA Shooting Range,Shooting Range,Unknown,-26.4147118,152.5073532
Wongyarra Pistol Club,Shooting Range,Unknown,-32.9836475,138.2248324
Three Springs Sporting Clays,Shooting Range,Unknown,-29.5129546,115.8180858
Bencubbin Rifle Club,Shooting Range,Unknown,-30.8224864,117.8703657
Beverley Rifle Club / Clay Target Club,Shooting Range,Unknown,-32.1202335,116.9398385
Southern Range Sports,Shooting Range,Unknown,-42.9821107,147.2933389
Toogoolawah Clay Target Club,Shooting Range,Unknown,-27.0747182,152.3715795
Facility on Prout Road,Shooting Range,"Belmont, Queensland, 4153",-27.5253441,153.1414377
Campbell Town Rifle Club,Shooting Range,Unknown,-41.1781711,147.5538307
Lone Range Shooting Complex,Shooting Range,Unknown,-31.9587331,115.9292253
Tarawera Pistol and Gun Club,Shooting Range,Unknown,-28.2056932,149.6691867
Charleville Gun Club / Charleville Pistol Club,Shooting Range,Unknown,-26.3839881,146.2300952
Murtech Munitions,Gun Shop,Unknown,-30.9542659,148.3892012
The Corner Shop,Gun Shop,"Walgett, NSW, 2832",-30.0238561,148.1165131
Guns and Ammunition,Gun Shop,Unknown,-34.3133585,148.2985091
Cowboy Guns and Gear,Gun Shop,Unknown,-33.8342927,148.6897694
Tamworth Clay Target Club,Shooting Range,Unknown,-31.2159855,151.0238553
Clay Target Range,Shooting Range,Unknown,-33.0958071,147.1488962
Kyneton Smallbore Rifle Club,Shooting Range,Unknown,-37.2411905,144.4446313
Crown & Country,Gun Shop,Unknown,-36.0533649,146.9331729
Peter Kay Gunsmith,Gun Shop,"Dubbo, NSW, 2830",-32.2441708,148.6141835
Rainbow Rifle Range,Shooting Range,Unknown,-35.9030388,141.9817197
In A Box Laser Tag,Shooting Range,Unknown,-27.6552401,153.165184
Oakleigh Pistol Club,Shooting Range,Unknown,-37.9533894,145.1214104
SSAA Oakey Branch,Shooting Range,Unknown,-27.5238986,151.8653418
Toowoomba Clay Target Club,Shooting Range,Unknown,-27.5232203,151.865487
The Outpost,Gun Shop,Unknown,-23.5255011,148.1586958
Shooter's Delight,Gun Shop,Unknown,-27.6122951,153.1167424
O'Reilly's Firearms,Gun Shop,"Thornbury, VIC, 3071",-37.7543912,145.0011622
Rebel Gun Works,Gun Shop,Unknown,-27.4935273,153.0469727
Gel Ball Undercover,Gun Shop,Unknown,-27.9729794,153.3877681
Wentworth Pistol Club,Shooting Range,Unknown,-34.0953513,141.9360987
Binnaway Small Bore Rifle Club,Shooting Range,Unknown,-31.5498602,149.3628941
Popaway & Bang,Gun Shop,Unknown,-31.985073,115.9028746
Ballandean Clay Target Club,Shooting Range,"Ballandean, QLD",-28.8039679,151.8404214
Gel Blasters,Gun Shop,Unknown,-26.5402177,151.8391589
Retschlag Firearms,Gun Shop,Unknown,-24.4013692,150.5129336
