Name,Type,Suburb/Area,Latitude (S),Longitude (E)
Barter & Sons Hatchery,Poultry Farm,"35 Felton St, Horsley Park NSW 2175, Australia",-33.8436841,150.8525872
Farmers Best PTY Ltd.,Poultry Farm,"66 Epsom Rd, Zetland NSW 2017, Australia",-33.910361699999996,151.20521739999998
Cordina Chicken Farms Hatchery,Poultry Farm,"30 Cumberland Rd, Greystanes NSW 2145, Australia",-33.831392199999996,150.948193
Sunshine Poultry,Poultry Farm,"229 Concord Rd, North Strathfield NSW 2137, Australia",-33.856103,151.0916926
Sam's Chickens,Poultry Farm,"95 Lakemba St, Belmore NSW 2192, Australia",-33.9151106,151.0826352
Nancy's Freedom Farm,Poultry Farm,"97 Arcadia Rd, Arcadia NSW 2159, Australia",-33.62496,151.039613
NSW Chicken Meat Council,Poultry Farm,"122 Walker St, North Sydney NSW 2060, Australia",-33.83755,151.20882899999998
Fresh Poultry,Poultry Farm,"47 Gow St, Padstow NSW 2211, Australia",-33.9377146,151.0352059
Game Farm Pty Ltd,Poultry Farm,"Unit 5 A/1-21 Madeline St, Strathfield South NSW 2136, Australia",-33.8963961,151.0762878
Penrith Poultry,Poultry Farm,"Unit 10/29 Stoddart Rd, Prospect NSW 2148, Australia",-33.800941,150.917281
The Big Chook,Poultry Farm,"350 Mount Vernon Rd, Mount Vernon NSW 2178, Australia",-33.878013599999996,150.8066101
Summerland Poultry Factory Outlet,Poultry Farm,"63 Withers Rd, North Kellyville NSW 2155, Australia",-33.6869248,150.9462309
"Laymour Poultry Farm, Stockfeed & Birdseed",Poultry Farm,"472 Windsor Rd, Vineyard NSW 2765, Australia",-33.6418038,150.85361039999998
Pioneer Poultry,Poultry Farm,"124 Pacific Hwy, Waitara NSW 2077, Australia",-33.7093251,151.1018616
KB Farm Chickens,Poultry Farm,"Unit 6/49A Anderson Rd, Mortdale NSW 2223, Australia",-33.967863,151.06597499999998
Country chicken,Poultry Farm,"125b Whitaker Rd, Rossmore NSW 2557, Australia",-33.9302438,150.77414199999998
Evans Chickens,Poultry Farm,"173 Whitmore Rd, Maraylya NSW 2765, Australia",-33.5833681,150.9067814
