feature,importance_mean_abs
hit_rate_l10,0.09927553875708621
amc,0.07658430832785502
line_value,0.05462198679398997
hit_rate_l5,0.053412882037187914
min_avg,0.04650656464934166
hit_rate_l3,0.03214176303044704
l10_cov,0.02384391381225572
home_ppg,0.02109652082050522
away_ppg,0.018159511235652976
opp_def_rating,0.01038484133457637
l10_sd,0.010340925640647817
opp_def_rank,0.007781459457368992
b2b_ppg_diff_pct,0.007129596101689917
usg_pct,0.006918790706610907
l3_avg,0.006712748531693386
def_rtg,0.006041410744180234
l5_avg,0.005988635444238299
ts_pct,0.005462792473726795
l10_med,0.004635086355243378
pace_projected,0.0044504284450430556
l10_avg,0.004269942876940539
opp_pace,0.003613370899826928
is_home,0.0008710017999516927
defender_pm,5.273655911538711e-05
rest_days,0.0
b2b_flag,0.0
usg_bonus_pct,0.0
