Jockey,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
何澤堯,27,256,80,-46.1,10.5,31.2,-18.0
司徒岳,0,1,0,-1.0,0.0,0.0,-100.0
周俊樂,23,373,65,-113.1,6.2,17.4,-30.3
奧爾民,13,236,47,-42.0,5.5,19.9,-17.8
川田將雅,0,9,1,-9.0,0.0,11.1,-100.0
巫顯東,4,120,12,-40.2,3.3,10.0,-33.5
巴度,31,519,116,-312.2,6.0,22.4,-60.2
巴米高,3,18,5,40.8,16.7,27.8,226.7
布宜學,0,6,1,-6.0,0.0,16.7,-100.0
布文,72,594,199,-166.9,12.1,33.5,-28.1
希威森,29,494,109,-223.3,5.9,22.1,-45.2
杜滿樂,0,2,0,-2.0,0.0,0.0,-100.0
杜苑欣,2,24,7,-4.7,8.3,29.2,-19.6
柯浩新,0,1,0,-1.0,0.0,0.0,-100.0
梁家俊,36,447,109,-106.2,8.1,24.4,-23.8
楊明綸,20,434,72,-105.9,4.6,16.6,-24.4
湯普新,9,380,52,-299.9,2.4,13.7,-78.9
溫蘿,0,1,0,-1.0,0.0,0.0,-100.0
潘明輝,36,560,130,-158.7,6.4,23.2,-28.3
潘頓,138,593,292,-103.1,23.3,49.2,-17.4
班德禮,31,462,103,-96.6,6.7,22.3,-20.9
田泰安,44,634,164,-204.2,6.9,25.9,-32.2
簡國能,0,5,2,-5.0,0.0,40.0,-100.0
羅敦,0,2,0,-2.0,0.0,0.0,-100.0
艾兆禮,58,619,177,-188.9,9.4,28.6,-30.5
艾道拿,47,511,146,-122.5,9.2,28.6,-24.0
苗傑美,0,4,1,-4.0,0.0,25.0,-100.0
范以誠,0,2,1,-2.0,0.0,50.0,-100.0
莫艾誠,1,2,1,10.0,50.0,50.0,500.0
莫雅,6,41,15,-20.2,14.6,36.6,-49.3
莫雷拉,5,31,16,-11.0,16.1,51.6,-35.5
菅原明良,0,1,0,-1.0,0.0,0.0,-100.0
董明朗,12,244,35,26.1,4.9,14.3,10.7
蔡明紹,35,576,127,-188.7,6.1,22.0,-32.8
薛凱華,0,3,0,-3.0,0.0,0.0,-100.0
薛恩,2,27,7,-19.3,7.4,25.9,-71.5
蘇銘倫,0,17,2,-17.0,0.0,11.8,-100.0
西村淳也,0,1,0,-1.0,0.0,0.0,-100.0
貝知仁,2,105,15,-78.0,1.9,14.3,-74.3
賀銘年,12,273,49,-50.5,4.4,17.9,-18.5
連達文,1,3,2,0.7,33.3,66.7,23.3
郭立基,0,1,0,-1.0,0.0,0.0,-100.0
金美琪,0,4,0,-4.0,0.0,0.0,-100.0
金誠剛,4,42,10,-12.2,9.5,23.8,-29.0
鍾易禮,20,446,71,-6.3,4.5,15.9,-1.4
陳嘉熙,1,18,4,-15.9,5.6,22.2,-88.3
霍宏聲,47,481,122,40.9,9.8,25.4,8.5
韋紀力,4,27,8,16.9,14.8,29.6,62.6
馬昆,2,24,3,1.3,8.3,12.5,5.4
麥當能,1,35,2,-21.0,2.9,5.7,-60.0
麥道朗,26,121,54,-23.0,21.5,44.6,-19.0
黃寶妮,18,210,35,-68.5,8.6,16.7,-32.6
黃智弘,25,300,76,-24.3,8.3,25.3,-8.1
黎應揚,0,1,0,-1.0,0.0,0.0,-100.0
