Jockey,Trainer,Wins,Starts,Places,WinRate,PlaceRate
三浦皇成,鹿戶雄一,0,1,0,0.0,0.0
何澤堯,丁冠豪,2,11,2,18.2,18.2
何澤堯,伍鵬志,1,22,5,4.5,22.7
何澤堯,呂健威,16,116,40,13.8,34.5
何澤堯,告東尼,0,1,0,0.0,0.0
何澤堯,大衛希斯,0,1,0,0.0,0.0
何澤堯,姚本輝,1,14,3,7.1,21.4
何澤堯,巫偉傑,0,13,4,0.0,30.8
何澤堯,廖康銘,0,3,1,0.0,33.3
何澤堯,徐雨石,0,9,1,0.0,11.1
何澤堯,文家良,3,60,10,5.0,16.7
何澤堯,方嘉柏,7,58,16,12.1,27.6
何澤堯,桂福特,0,2,0,0.0,0.0
何澤堯,游達榮,0,8,1,0.0,12.5
何澤堯,羅富全,1,24,6,4.2,25.0
何澤堯,葉楚航,1,15,4,6.7,26.7
何澤堯,蘇偉賢,2,25,4,8.0,16.0
何澤堯,鄭俊偉,0,4,1,0.0,25.0
何澤堯,韋達,0,1,0,0.0,0.0
何澤堯,黎昭昇,0,1,0,0.0,0.0
周俊樂,丁冠豪,0,10,0,0.0,0.0
周俊樂,伍鵬志,1,32,4,3.1,12.5
周俊樂,呂健威,4,38,14,10.5,36.8
周俊樂,告東尼,2,15,7,13.3,46.7
周俊樂,大衛希斯,0,3,0,0.0,0.0
周俊樂,姚本輝,3,22,9,13.6,40.9
周俊樂,巫偉傑,10,79,23,12.7,29.1
周俊樂,廖康銘,5,26,7,19.2,26.9
周俊樂,徐雨石,1,3,1,33.3,33.3
周俊樂,文家良,3,38,6,7.9,15.8
周俊樂,桂福特,1,7,2,14.3,28.6
周俊樂,沈集成,3,28,10,10.7,35.7
周俊樂,游達榮,7,50,18,14.0,36.0
周俊樂,羅富全,2,26,6,7.7,23.1
周俊樂,葉楚航,1,53,5,1.9,9.4
周俊樂,賀賢,0,3,0,0.0,0.0
周俊樂,鄭俊偉,0,21,2,0.0,9.5
周俊樂,韋達,0,7,2,0.0,28.6
奧爾民,丁冠豪,0,2,0,0.0,0.0
奧爾民,伍鵬志,0,22,2,0.0,9.1
奧爾民,呂健威,3,22,10,13.6,45.5
奧爾民,告東尼,0,2,0,0.0,0.0
奧爾民,大衛希斯,1,7,2,14.3,28.6
奧爾民,姚本輝,0,14,3,0.0,21.4
奧爾民,巫偉傑,0,1,0,0.0,0.0
奧爾民,廖康銘,3,27,10,11.1,37.0
奧爾民,徐雨石,5,56,17,8.9,30.4
奧爾民,文家良,2,16,6,12.5,37.5
奧爾民,方嘉柏,2,15,7,13.3,46.7
奧爾民,桂福特,0,4,0,0.0,0.0
奧爾民,沈集成,0,11,1,0.0,9.1
奧爾民,游達榮,1,10,1,10.0,10.0
奧爾民,羅富全,0,11,0,0.0,0.0
奧爾民,葉楚航,0,3,0,0.0,0.0
奧爾民,蔡約翰,0,12,3,0.0,25.0
奧爾民,蘇偉賢,5,55,12,9.1,21.8
奧爾民,賀賢,6,82,19,7.3,23.2
奧爾民,鄭俊偉,0,21,4,0.0,19.0
奧爾民,韋達,0,18,2,0.0,11.1
奧爾民,黎昭昇,2,18,4,11.1,22.2
川田將雅,高野友和,0,1,0,0.0,0.0
巫顯東,丁冠豪,0,16,2,0.0,12.5
巫顯東,呂健威,3,11,6,27.3,54.5
巫顯東,大衛希斯,0,1,0,0.0,0.0
巫顯東,姚本輝,2,9,3,22.2,33.3
巫顯東,巫偉傑,0,1,0,0.0,0.0
巫顯東,徐雨石,0,35,0,0.0,0.0
巫顯東,文家良,0,1,0,0.0,0.0
巫顯東,沈集成,0,18,1,0.0,5.6
巫顯東,游達榮,0,3,0,0.0,0.0
巫顯東,羅富全,0,6,0,0.0,0.0
巫顯東,蔡約翰,0,1,0,0.0,0.0
巫顯東,蘇偉賢,0,14,0,0.0,0.0
巫顯東,賀賢,0,1,0,0.0,0.0
巫顯東,鄭俊偉,0,23,0,0.0,0.0
巫顯東,黎昭昇,0,3,1,0.0,33.3
巴度,丁冠豪,1,12,4,8.3,33.3
巴度,伍鵬志,0,11,1,0.0,9.1
巴度,呂健威,0,8,0,0.0,0.0
巴度,告東尼,1,36,7,2.8,19.4
巴度,大衛希斯,0,8,1,0.0,12.5
巴度,姚本輝,1,13,5,7.7,38.5
巴度,巫偉傑,3,38,12,7.9,31.6
巴度,廖康銘,5,43,13,11.6,30.2
巴度,徐雨石,2,12,4,16.7,33.3
巴度,文家良,1,12,3,8.3,25.0
巴度,方嘉柏,2,39,8,5.1,20.5
巴度,桂福特,0,8,1,0.0,12.5
巴度,沈集成,0,1,0,0.0,0.0
巴度,游達榮,0,6,0,0.0,0.0
巴度,羅富全,3,40,13,7.5,32.5
巴度,葉楚航,2,26,3,7.7,11.5
巴度,蔡約翰,1,18,3,5.6,16.7
巴度,蘇偉賢,1,13,5,7.7,38.5
巴度,賀賢,0,13,2,0.0,15.4
巴度,鄭俊偉,3,12,7,25.0,58.3
巴度,韋達,2,19,7,10.5,36.8
巴度,黎昭昇,7,53,16,13.2,30.2
巴米高,呂健威,0,1,0,0.0,0.0
巴米高,大衛希斯,0,1,0,0.0,0.0
巴米高,蘇偉賢,0,1,0,0.0,0.0
巴米高,韋達,0,1,0,0.0,0.0
巴米高,黎昭昇,0,2,1,0.0,50.0
布宜學,告東尼,0,1,0,0.0,0.0
布宜學,巫偉傑,0,1,0,0.0,0.0
布宜學,文家良,1,1,1,100.0,100.0
布宜學,蔡約翰,0,1,0,0.0,0.0
布文,丁冠豪,0,2,0,0.0,0.0
布文,伍鵬志,0,11,2,0.0,18.2
布文,呂健威,3,14,7,21.4,50.0
布文,告東尼,5,37,9,13.5,24.3
布文,大衛希斯,4,35,9,11.4,25.7
布文,姚本輝,1,17,6,5.9,35.3
布文,巫偉傑,3,25,7,12.0,28.0
布文,廖康銘,4,22,7,18.2,31.8
布文,徐雨石,1,12,4,8.3,33.3
布文,文家良,2,21,8,9.5,38.1
布文,方嘉柏,6,38,14,15.8,36.8
布文,桂福特,2,9,3,22.2,33.3
布文,沈集成,11,51,22,21.6,43.1
布文,游達榮,4,30,8,13.3,26.7
布文,田中博康,0,1,0,0.0,0.0
布文,羅富全,0,7,0,0.0,0.0
布文,葉楚航,1,19,4,5.3,21.1
布文,蔡約翰,6,66,32,9.1,48.5
布文,蘇偉賢,0,5,1,0.0,20.0
布文,賀賢,1,18,5,5.6,27.8
布文,鄭俊偉,0,4,0,0.0,0.0
布文,韋達,3,58,15,5.2,25.9
布文,黎昭昇,2,24,10,8.3,41.7
布浩榮,伍鵬志,0,3,0,0.0,0.0
布浩榮,呂健威,1,8,2,12.5,25.0
布浩榮,大衛希斯,0,1,0,0.0,0.0
