Jockey,Distance,Wins,Starts,Places,WinRate
三浦皇成,1200,0,1,0,0.0
何澤堯,1000,3,29,9,10.3
何澤堯,1200,13,138,41,9.4
何澤堯,1400,5,62,13,8.1
何澤堯,1600,2,29,5,6.9
何澤堯,1650,5,51,15,9.8
何澤堯,1800,1,21,2,4.8
何澤堯,2000,0,7,0,0.0
何澤堯,2200,0,5,1,0.0
周俊樂,1000,3,25,9,12.0
周俊樂,1200,13,168,47,7.7
周俊樂,1400,10,74,14,13.5
周俊樂,1600,1,28,7,3.6
周俊樂,1650,9,62,20,14.5
周俊樂,1800,0,26,3,0.0
周俊樂,2000,1,10,1,10.0
周俊樂,2200,0,4,0,0.0
奧爾民,1000,3,36,8,8.3
奧爾民,1200,14,149,48,9.4
奧爾民,1400,4,61,11,6.6
奧爾民,1600,3,27,7,11.1
奧爾民,1650,2,55,11,3.6
奧爾民,1800,1,26,3,3.8
奧爾民,2000,0,6,0,0.0
奧爾民,2200,0,5,0,0.0
川田將雅,1600,0,1,0,0.0
巫顯東,1000,0,17,1,0.0
巫顯東,1200,0,47,1,0.0
巫顯東,1400,0,12,1,0.0
巫顯東,1600,0,8,0,0.0
巫顯東,1650,0,15,0,0.0
巫顯東,1800,1,10,1,10.0
巫顯東,2000,3,6,5,50.0
巫顯東,2400,0,1,1,0.0
巴度,1000,4,34,13,11.8
巴度,1200,8,162,33,4.9
巴度,1400,6,65,17,9.2
巴度,1600,4,35,9,11.4
巴度,1650,3,44,11,6.8
巴度,1800,1,25,9,4.0
巴度,2000,1,9,3,11.1
巴度,2200,0,3,1,0.0
巴米高,1000,0,1,0,0.0
巴米高,1200,0,1,0,0.0
巴米高,1650,0,3,1,0.0
巴米高,1800,0,1,0,0.0
布宜學,1000,1,1,1,100.0
布宜學,1200,0,1,0,0.0
布宜學,1650,0,2,0,0.0
布文,1000,1,38,6,2.6
布文,1200,17,182,62,9.3
布文,1400,8,73,24,11.0
布文,1600,3,35,10,8.6
布文,1650,15,71,31,21.1
布文,1800,6,41,14,14.6
布文,2000,3,11,3,27.3
布文,2200,2,7,3,28.6
布文,2400,0,2,1,0.0
布浩榮,1000,0,2,1,0.0
布浩榮,1200,0,13,2,0.0
布浩榮,1400,0,6,1,0.0
布浩榮,1600,0,5,0,0.0
布浩榮,1650,1,5,2,20.0
布浩榮,1800,0,1,1,0.0
布浩榮,2000,0,1,0,0.0
希威森,1000,1,36,5,2.8
希威森,1200,9,152,30,5.9
希威森,1400,2,61,11,3.3
希威森,1600,3,25,6,12.0
希威森,1650,6,66,23,9.1
希威森,1800,3,28,6,10.7
希威森,2000,0,2,0,0.0
希威森,2200,0,3,0,0.0
李寶利,1000,0,1,0,0.0
李寶利,1200,0,4,1,0.0
李寶利,1400,0,3,0,0.0
李寶利,1650,0,2,0,0.0
李寶利,1800,0,2,0,0.0
李慕華,1000,0,1,0,0.0
李慕華,1200,0,1,1,0.0
李慕華,1600,0,1,0,0.0
李慕華,1650,0,3,0,0.0
李慕華,2000,0,2,1,0.0
李慕華,2400,0,1,0,0.0
杜滿樂,1600,0,1,1,0.0
杜苑欣,1000,0,9,1,0.0
杜苑欣,1200,2,36,8,5.6
杜苑欣,1400,1,16,5,6.2
杜苑欣,1600,0,8,1,0.0
杜苑欣,1650,0,16,3,0.0
杜苑欣,1800,0,7,0,0.0
杜苑欣,2000,1,2,1,50.0
杜苑欣,2200,1,3,2,33.3
梁家俊,1000,2,30,6,6.7
梁家俊,1200,11,142,30,7.7
梁家俊,1400,3,55,6,5.5
梁家俊,1600,1,27,7,3.7
梁家俊,1650,1,43,3,2.3
梁家俊,1800,3,26,6,11.5
梁家俊,2000,1,11,4,9.1
梁家俊,2200,1,2,1,50.0
楊明綸,1000,4,37,5,10.8
楊明綸,1200,8,142,19,5.6
楊明綸,1400,3,66,8,4.5
楊明綸,1600,0,30,5,0.0
楊明綸,1650,0,61,7,0.0
楊明綸,1800,2,28,6,7.1
楊明綸,2000,0,6,1,0.0
楊明綸,2200,0,2,1,0.0
橫山和生,2000,0,1,1,0.0
潘大衛,1000,0,9,1,0.0
潘大衛,1200,0,52,2,0.0
潘大衛,1400,0,28,1,0.0
潘大衛,1600,0,11,0,0.0
潘大衛,1650,0,22,3,0.0
潘大衛,1800,0,6,1,0.0
潘大衛,2000,0,3,0,0.0
潘大衛,2200,0,1,0,0.0
潘明輝,1000,2,30,6,6.7
潘明輝,1200,8,152,32,5.3
潘明輝,1400,5,73,15,6.8
潘明輝,1600,4,27,6,14.8
潘明輝,1650,4,59,8,6.8
潘明輝,1800,1,29,8,3.4
潘明輝,2000,0,9,2,0.0
潘明輝,2200,0,2,0,0.0
潘明輝,2400,1,1,1,100.0
潘頓,1000,11,53,30,20.8
潘頓,1200,54,211,106,25.6
潘頓,1400,18,93,43,19.4
潘頓,1600,7,46,20,15.2
潘頓,1650,11,87,39,12.6
潘頓,1800,8,40,18,20.0
潘頓,2000,1,13,4,7.7
潘頓,2200,1,7,4,14.3
班德禮,1000,0,36,3,0.0
班德禮,1200,16,141,37,11.3
班德禮,1400,5,75,18,6.7
班德禮,1600,4,35,8,11.4
班德禮,1650,3,55,11,5.5
班德禮,1800,3,25,7,12.0
班德禮,2000,0,9,2,0.0
班德禮,2200,0,5,1,0.0
班德禮,2400,0,1,0,0.0
田泰安,1000,1,44,4,2.3
田泰安,1200,15,191,52,7.9
田泰安,1400,6,90,20,6.7
田泰安,1600,1,40,5,2.5
田泰安,1650,5,76,17,6.6
田泰安,1800,4,40,12,10.0
田泰安,2000,1,10,1,10.0
田泰安,2200,1,6,1,16.7
田泰安,2400,0,1,0,0.0
紀仁安,1000,2,12,5,16.7
紀仁安,1200,5,58,16,8.6
紀仁安,1400,4,36,12,11.1
紀仁安,1600,1,17,4,5.9
紀仁安,1650,1,25,9,4.0
紀仁安,1800,0,13,2,0.0
紀仁安,2000,0,7,1,0.0
紀仁安,2200,1,2,1,50.0
紀仁安,2400,1,1,1,100.0
艾兆禮,1000,4,39,7,10.3
艾兆禮,1200,22,192,49,11.5
艾兆禮,1400,9,86,27,10.5
艾兆禮,1600,3,36,9,8.3
艾兆禮,1650,10,76,22,13.2
艾兆禮,1800,4,33,11,12.1
艾兆禮,2000,1,11,4,9.1
艾兆禮,2200,0,2,0,0.0
