Trainer,Distance,Wins,Starts,Places,WinRate
丁冠豪,1000,2,22,4,9.1
丁冠豪,1200,5,73,16,6.8
丁冠豪,1400,3,41,9,7.3
丁冠豪,1600,1,19,8,5.3
丁冠豪,1650,1,48,9,2.1
丁冠豪,1800,1,23,4,4.3
丁冠豪,2000,0,5,0,0.0
丁冠豪,2200,0,4,0,0.0
上村洋行,2000,0,1,1,0.0
伍鵬志,1000,1,42,7,2.4
伍鵬志,1200,4,134,20,3.0
伍鵬志,1400,4,75,18,5.3
伍鵬志,1600,3,30,5,10.0
伍鵬志,1650,4,67,10,6.0
伍鵬志,1800,5,51,13,9.8
伍鵬志,2000,0,13,2,0.0
伍鵬志,2200,0,10,3,0.0
伍鵬志,2400,0,1,0,0.0
伯特,2000,0,1,0,0.0
侯耀誠,1200,0,1,0,0.0
包義定,2400,0,1,0,0.0
呂健威,1000,5,29,7,17.2
呂健威,1200,18,175,59,10.3
呂健威,1400,11,95,32,11.6
呂健威,1600,3,43,11,7.0
呂健威,1650,4,52,17,7.7
呂健威,1800,2,18,4,11.1
呂健威,2000,3,6,5,50.0
呂健威,2400,0,1,1,0.0
告東尼,1000,4,41,7,9.8
告東尼,1200,10,148,29,6.8
告東尼,1400,8,85,16,9.4
告東尼,1600,2,41,8,4.9
告東尼,1650,7,78,15,9.0
告東尼,1800,3,55,16,5.5
告東尼,2000,2,22,7,9.1
告東尼,2200,0,8,1,0.0
告東尼,2400,0,2,1,0.0
堀宣行,1200,0,2,1,0.0
大衛希斯,1000,2,48,8,4.2
大衛希斯,1200,25,213,47,11.7
大衛希斯,1400,8,93,16,8.6
大衛希斯,1600,1,45,11,2.2
大衛希斯,1650,5,85,23,5.9
大衛希斯,1800,6,41,12,14.6
大衛希斯,2000,0,13,3,0.0
大衛希斯,2200,1,5,2,20.0
大衛希斯,2400,0,1,0,0.0
姚本輝,1000,1,23,5,4.3
姚本輝,1200,13,141,42,9.2
姚本輝,1400,6,60,19,10.0
姚本輝,1600,3,43,10,7.0
姚本輝,1650,5,61,17,8.2
姚本輝,1800,4,29,8,13.8
姚本輝,2000,0,12,6,0.0
姚本輝,2200,0,4,0,0.0
岳伯仁,1600,0,1,0,0.0
岳伯仁,2400,0,1,0,0.0
岳品賢,1200,0,1,0,0.0
岳本賢,2000,0,1,0,0.0
岳本賢,2400,0,1,0,0.0
巫偉傑,1000,2,34,12,5.9
巫偉傑,1200,13,167,47,7.8
巫偉傑,1400,11,91,24,12.1
巫偉傑,1600,0,33,4,0.0
巫偉傑,1650,7,71,14,9.9
巫偉傑,1800,0,16,0,0.0
巫偉傑,2000,0,4,0,0.0
巫偉傑,2200,1,2,1,50.0
巴伯樂,1600,0,1,0,0.0
布銘球,2400,0,1,1,0.0
廖康銘,1000,4,43,8,9.3
廖康銘,1200,14,188,55,7.4
廖康銘,1400,10,68,17,14.7
廖康銘,1600,7,48,14,14.6
廖康銘,1650,12,76,33,15.8
廖康銘,1800,2,18,4,11.1
廖康銘,2000,2,13,5,15.4
廖康銘,2200,1,3,1,33.3
徐雨石,1000,5,41,11,12.2
徐雨石,1200,6,135,18,4.4
徐雨石,1400,1,27,3,3.7
徐雨石,1600,2,20,5,10.0
徐雨石,1650,2,46,11,4.3
徐雨石,1800,1,16,3,6.2
徐雨石,2000,0,6,0,0.0
徐雨石,2200,1,4,1,25.0
手塚貴久,2000,0,1,1,0.0
文家良,1000,7,37,12,18.9
文家良,1200,16,168,48,9.5
文家良,1400,3,78,9,3.8
文家良,1600,2,28,6,7.1
文家良,1650,5,47,10,10.6
文家良,1800,0,16,2,0.0
文家良,2000,1,5,1,20.0
文家良,2200,1,6,3,16.7
方嘉柏,1000,5,45,15,11.1
方嘉柏,1200,26,170,52,15.3
方嘉柏,1400,3,71,16,4.2
方嘉柏,1600,2,30,6,6.7
方嘉柏,1650,13,76,22,17.1
方嘉柏,1800,2,39,11,5.1
方嘉柏,2000,0,8,0,0.0
方嘉柏,2200,0,3,1,0.0
方嘉柏,2400,0,1,0,0.0
杉山晴紀,2000,0,1,0,0.0
桂福特,1000,1,18,4,5.6
桂福特,1200,10,108,29,9.3
桂福特,1400,3,62,16,4.8
桂福特,1600,2,23,7,8.7
桂福特,1650,1,22,4,4.5
桂福特,1800,3,22,9,13.6
桂福特,2000,0,5,1,0.0
桂福特,2200,0,1,0,0.0
森一誠,1600,0,1,0,0.0
武井亮,1600,0,1,0,0.0
武井亮,2400,0,1,0,0.0
武英智,2000,0,1,0,0.0
池江泰壽,1600,0,1,1,0.0
沈集成,1000,2,29,8,6.9
沈集成,1200,20,184,48,10.9
沈集成,1400,0,47,3,0.0
沈集成,1600,1,17,2,5.9
沈集成,1650,12,84,28,14.3
沈集成,1800,10,33,16,30.3
沈集成,2000,4,9,4,44.4
沈集成,2200,1,4,2,25.0
沈集成,2400,1,2,1,50.0
游孝廉,1600,0,2,1,0.0
游達榮,1000,1,19,5,5.3
游達榮,1200,6,117,24,5.1
游達榮,1400,5,80,11,6.2
游達榮,1600,1,35,5,2.9
游達榮,1650,11,86,28,12.8
游達榮,1800,0,30,4,0.0
游達榮,2000,1,8,1,12.5
游達榮,2200,0,1,0,0.0
田中博康,2000,0,1,0,0.0
羅富全,1000,3,36,11,8.3
羅富全,1200,15,183,41,8.2
羅富全,1400,7,79,21,8.9
羅富全,1600,2,37,10,5.4
羅富全,1650,3,66,10,4.5
羅富全,1800,3,35,10,8.6
羅富全,2000,1,13,5,7.7
羅富全,2200,0,1,1,0.0
葉楚航,1000,2,35,8,5.7
葉楚航,1200,5,152,20,3.3
葉楚航,1400,4,58,7,6.9
葉楚航,1600,1,18,5,5.6
