Trainer,Wins,Starts,Places,Profit,WinRate,PlaceRate,ROI
丁冠豪,14,265,55,-72.3,5.3,20.8,-27.3
上村洋行,0,1,1,-1.0,0.0,100.0,-100.0
伍鵬志,25,479,87,-137.5,5.2,18.2,-28.7
伯特,0,1,0,-1.0,0.0,0.0,-100.0
侯耀誠,0,1,0,-1.0,0.0,0.0,-100.0
包義定,0,1,0,-1.0,0.0,0.0,-100.0
呂健威,56,487,158,-48.5,11.5,32.4,-10.0
告東尼,41,549,118,-236.7,7.5,21.5,-43.1
堀宣行,0,2,1,-2.0,0.0,50.0,-100.0
大衛希斯,54,616,139,-223.4,8.8,22.6,-36.3
姚本輝,40,431,132,-98.0,9.3,30.6,-22.7
岳伯仁,0,2,0,-2.0,0.0,0.0,-100.0
岳品賢,0,1,0,-1.0,0.0,0.0,-100.0
岳本賢,0,2,0,-2.0,0.0,0.0,-100.0
巫偉傑,41,483,124,-70.1,8.5,25.7,-14.5
巴伯樂,0,1,0,-1.0,0.0,0.0,-100.0
布銘球,0,1,1,-1.0,0.0,100.0,-100.0
廖康銘,57,517,156,-145.9,11.0,30.2,-28.2
徐雨石,20,339,60,-154.2,5.9,17.7,-45.5
手塚貴久,0,1,1,-1.0,0.0,100.0,-100.0
文家良,37,443,97,57.0,8.4,21.9,12.9
方嘉柏,59,515,141,-99.9,11.5,27.4,-19.4
杉山晴紀,0,1,0,-1.0,0.0,0.0,-100.0
桂福特,23,316,79,-59.0,7.3,25.0,-18.7
森一誠,0,1,0,-1.0,0.0,0.0,-100.0
武井亮,0,2,0,-2.0,0.0,0.0,-100.0
武英智,0,1,0,-1.0,0.0,0.0,-100.0
池江泰壽,0,2,2,-2.0,0.0,100.0,-100.0
沈集成,59,480,131,92.8,12.3,27.3,19.3
游孝廉,0,2,1,-2.0,0.0,50.0,-100.0
游達榮,31,440,89,-100.1,7.0,20.2,-22.7
田中博康,0,2,0,-2.0,0.0,0.0,-100.0
羅富全,39,507,130,-119.8,7.7,25.6,-23.6
葉楚航,20,402,59,-180.1,5.0,14.7,-44.8
葛威法,0,2,2,-2.0,0.0,100.0,-100.0
蔡約翰,53,554,173,-67.3,9.6,31.2,-12.1
蘇偉賢,26,410,91,-126.2,6.3,22.2,-30.8
費伯華,1,2,2,0.7,50.0,100.0,35.0
賀賢,28,387,96,34.1,7.2,24.8,8.8
鄭俊偉,15,355,57,-162.4,4.2,16.1,-45.7
韋達,23,396,88,-253.4,5.8,22.2,-64.0
高野友和,0,1,0,-1.0,0.0,0.0,-100.0
鹿戶雄一,0,1,0,-1.0,0.0,0.0,-100.0
黎昭昇,24,353,80,-155.1,6.8,22.7,-43.9
