dataset,signal,rows,mean,stdev,minimum,maximum,neutral_60,neutral_60_rate,recent_provenance_rows,recent_missing_neutral,recent_missing_neutral_rate
overall,form_score,3054,55.132,13.014,40.0,100.0,239,7.8,1474,0,0.0
overall,speed_score,3054,61.252,7.868,38.62,84.63,930,30.5,1474,0,0.0
overall,class_score,3054,65.479,7.225,52.45,77.51,295,9.7,1474,0,0.0
overall,jockey_score,3054,69.913,9.924,49.88,94.2,320,10.5,1474,0,0.0
overall,trainer_score,3054,69.663,8.243,56.39,87.0,491,16.1,1474,0,0.0
overall,draw_score,3054,63.877,8.292,49.06,77.45,0,0.0,1474,0,0.0
overall,distance_score,3054,63.598,6.751,54.0,72.0,743,24.3,1474,251,17.0
overall,track_going_score,3054,60.181,1.494,58.0,66.0,2662,87.2,1474,1294,87.8
overall,weight_score,3054,63.612,5.434,50.0,74.0,132,4.3,1474,0,0.0
overall,consistency_score,3054,58.357,12.035,27.0,100.0,209,6.8,1474,3,0.2
overall,risk_score,3054,68.226,4.459,50.0,76.5,33,1.1,1474,0,0.0
overall,confidence_score,3054,77.185,8.985,46.23,83.0,3,0.1,1474,0,0.0
overall,formline_strength_score,3054,76.288,12.887,58.0,96.0,859,28.1,1474,0,0.0
overall,margin_trend_score,3054,60.392,7.839,48.0,76.0,2099,68.7,1474,0,0.0
overall,same_distance_signal_score,3054,61.755,6.966,54.0,72.0,1079,35.3,1474,0,0.0
overall,trackwork_trend_score,3054,61.346,7.599,48.09,76.75,1430,46.8,1474,0,0.0
overall,race_shape_context_score,3054,63.5,7.882,39.06,82.0,2,0.1,1474,0,0.0
overall,matrix_stability,3054,57.133,10.693,35.854,96.0,117,3.8,1474,0,0.0
overall,matrix_sectional,3054,60.428,6.199,33.62,81.45,906,29.7,1474,0,0.0
overall,matrix_race_shape,3054,63.5,7.882,39.06,82.0,2,0.1,1474,0,0.0
overall,matrix_trainer_signal,3054,69.788,7.726,51.86,89.52,125,4.1,1474,0,0.0
overall,matrix_horse_health,3054,67.379,3.606,55.72,74.88,0,0.0,1474,0,0.0
overall,matrix_form_line,3054,75.628,9.006,58.6,96.0,314,10.3,1474,0,0.0
overall,matrix_class_advantage,3054,65.012,5.433,52.84,76.632,7,0.2,1474,0,0.0
archive,form_score,1580,55.49,13.249,40.0,100.0,169,10.7,0,0,
archive,speed_score,1580,61.153,6.319,38.62,84.63,875,55.4,0,0,
archive,class_score,1580,64.57,7.099,52.45,77.51,217,13.7,0,0,
archive,jockey_score,1580,70.207,10.271,51.4,94.2,226,14.3,0,0,
archive,trainer_score,1580,69.823,8.543,57.6,85.0,352,22.3,0,0,
archive,draw_score,1580,64.276,7.939,49.06,75.0,0,0.0,0,0,
archive,distance_score,1580,62.844,6.586,54.0,72.0,492,31.1,0,0,
archive,track_going_score,1580,60.284,1.632,58.0,66.0,1368,86.6,0,0,
archive,weight_score,1580,63.628,5.37,50.0,74.0,47,3.0,0,0,
archive,consistency_score,1580,58.371,13.065,27.0,100.0,205,13.0,0,0,
archive,risk_score,1580,66.516,4.043,50.5,76.5,27,1.7,0,0,
archive,confidence_score,1580,72.51,9.853,46.23,83.0,3,0.2,0,0,
archive,formline_strength_score,1580,79.42,11.236,58.0,96.0,124,7.8,0,0,
archive,margin_trend_score,1580,60.656,7.582,48.0,76.0,1125,71.2,0,0,
archive,same_distance_signal_score,1580,62.268,7.704,54.0,72.0,320,20.3,0,0,
archive,trackwork_trend_score,1580,60.392,7.365,48.09,76.75,704,44.6,0,0,
archive,race_shape_context_score,1580,64.276,7.939,49.06,75.0,0,0.0,0,0,
archive,matrix_stability,1580,57.133,11.171,35.854,96.0,117,7.4,0,0,
archive,matrix_sectional,1580,60.848,4.151,45.728,76.01,862,54.6,0,0,
