meeting,meeting_name,date,race_number,venue,track,course,distance,distance_num,race_class,race_class_label,race_class_num,field_size,horse_number,horse_name,horse_id,jockey,trainer,finish_pos,is_win,is_top3,is_top4,barrier,weight,weight_carried,days_since_last,base_rating,final_rating,starts,wins,hk_starts,is_debut,is_import,current_live_recomputed_ability,card_age,card_rating,card_rating_change,card_declared_bodyweight,card_priority_rank,card_has_claim,card_claim_lbs,card_gear_count,card_gear_first_time,card_gear_tt,card_gear_cp,card_gear_blinkers,last6_runs,last6_mean_finish,last6_best_finish,last6_worst_finish,last6_top3_count,last6_top5_count,current_live_ability,current_live_rank,current_live_rank_score,current_live_grade,current_live_model_pick_status,stored_feature_score_count,stored_matrix_score_count,season_starts,season_wins,season_seconds,season_thirds,same_distance_starts,same_distance_wins,same_distance_seconds,same_distance_thirds,same_venue_distance_starts,same_venue_distance_wins,same_venue_distance_seconds,same_venue_distance_thirds,tw_entries_count,tw_gallop_count,tw_flags_count,tw_confidence_high,tw_confidence_low,tw_jockey_present,tw_mode_barrier_trial,raw_formline_higher_win_count,raw_formline_same_win_count,raw_formline_lower_win_count,raw_l400,raw_finish_time_adj,raw_total_starts,raw_total_wins,raw_last_margin,raw_last_finish,raw_weight_trend_span,flag_best_distance_match,flag_best_distance_unproven,flag_engine_progressive,flag_engine_steady,flag_engine_fastslow,flag_running_style_front,flag_running_style_back,flag_draw_good,flag_draw_bad,flag_position_up,flag_position_down,flag_finish_competitive,flag_finish_slow,flag_energy_up,flag_energy_down,flag_l400_up,flag_l400_down,flag_trackwork_slowing,flag_medical_issue,flag_margin_narrowing,flag_margin_widening,flag_scenario_drop_class,flag_scenario_hot_pace,flag_hidden_form,flag_forgiveness,flag_track_bias_positive,flag_track_bias_negative,trend_forensic_wave,prior_combo_starts,prior_combo_win_rate,prior_combo_place_rate,prior_combo_roi,prior_jockey_cd_starts,prior_jockey_cd_win_rate,prior_jockey_cd_place_rate,prior_jockey_cd_roi,prior_trainer_cd_starts,prior_trainer_cd_win_rate,prior_trainer_cd_place_rate,prior_trainer_cd_roi,prior_class_distance_starts,prior_class_distance_win_rate,prior_class_distance_place_rate,prior_class_distance_roi,prior_draw_class_starts,prior_draw_class_win_rate,prior_draw_class_place_rate,prior_draw_class_roi,prior_weight_class_starts,prior_weight_class_win_rate,prior_weight_class_place_rate,prior_weight_class_roi,prior_rest_bucket_starts,prior_rest_bucket_win_rate,prior_rest_bucket_place_rate,prior_rest_bucket_roi,prior_runstyle_cd_starts,prior_runstyle_cd_win_rate,prior_runstyle_cd_place_rate,prior_runstyle_cd_roi,prior_horse_cd_starts,prior_horse_cd_win_rate,prior_horse_cd_place_rate,prior_horse_cd_roi,prior_horse_rest_starts,prior_horse_rest_win_rate,prior_horse_rest_place_rate,prior_horse_rest_roi,prior_horse_style_starts,prior_horse_style_win_rate,prior_horse_style_place_rate,prior_horse_style_roi,prior_combo_place_edge,prior_combo_win_edge,prior_jockey_cd_place_edge,prior_jockey_cd_win_edge,prior_trainer_cd_place_edge,prior_trainer_cd_win_edge,prior_draw_class_place_edge,prior_draw_class_win_edge,prior_weight_class_place_edge,prior_weight_class_win_edge,prior_rest_bucket_place_edge,prior_rest_bucket_win_edge,prior_runstyle_cd_place_edge,prior_runstyle_cd_win_edge,prior_horse_cd_place_edge,prior_horse_cd_win_edge,prior_horse_rest_place_edge,prior_horse_rest_win_edge,prior_horse_style_place_edge,prior_horse_style_win_edge,feat_jockey_score,feat_trainer_score,feat_draw_score,feat_form_score,feat_speed_score,feat_class_score,feat_distance_score,feat_track_going_score,feat_weight_score,feat_consistency_score,feat_risk_score,feat_confidence_score,feat_formline_strength_score,feat_margin_trend_score,feat_same_distance_signal_score,feat_trackwork_trend_score,matrix_stability,matrix_sectional,matrix_race_shape,matrix_trainer_signal,matrix_horse_health,matrix_form_line,matrix_class_advantage
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-05-27_HappyValley,2026-05-27_HappyValley,2026-05-27,1,跑馬地,Turf,B,1200,1200,C4,Class 4,4.0,12,1,勇敢孖寶,K421,何澤堯,呂健威,9,0,0,0,9,135.0,135.0,35.0,,,25.0,0.0,25.0,0,0,64.0313,4.0,40.0,-2.0,1150.0,1.0,0,0.0,1.0,0,0,0,1,6,9.3333,5.0,12.0,0,1,67.42,3,67.42,B-,NO_PICK,12,7,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,44.0,4.0,1.0,0,0,0,0,3.0,3.0,0.0,24.05,0.6,25.0,0.0,3.0,8.0,15.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63.0,9.5,19.0,0.0,44.0,11.36,29.55,-5.45,78.0,11.54,25.64,-22.05,1012.0,8.5,25.49,0.0,256.0,8.2,25.0,0.0,1071.0,11.48,31.0,0.0,2008.0,8.02,24.7,0.0,700.0,3.86,16.0,0.0,,,,,,,,,,,,,-6.49,1.0,4.06,2.86,0.15,3.04,-0.49,-0.3,5.51,2.98,-0.79,-0.48,-9.49,-4.64,,,,,,,60.7172,66.545,49.06,44.0816,67.0,63.57,66.0,60.0,54.0,59.8141,73.5,83.0,96.0,60.0,54.0,65.95,52.5615,64.55,60.0,63.3397,67.625,96.0,61.1775
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-05-27_HappyValley,2026-05-27_HappyValley,2026-05-27,1,跑馬地,Turf,B,1200,1200,C4,Class 4,4.0,12,2,魅力星,K052,田泰安,蔡約翰,10,0,0,0,2,135.0,135.0,17.0,,,38.0,2.0,38.0,0,0,63.5081,4.0,40.0,0.0,1195.0,1.0,0,0.0,3.0,0,1,0,0,6,6.6667,1.0,13.0,3,3,70.7,2,70.7,B,MODEL_TOP_PICK,12,7,2.0,0.0,1.0,4.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,33.0,2.0,1.0,0,0,0,0,0.0,1.0,3.0,26.52,2.51,38.0,2.0,14.0,10.0,23.0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,49.0,12.2,28.6,0.0,112.0,5.36,23.21,-50.71,97.0,5.15,28.87,-73.09,1012.0,8.5,25.49,0.0,257.0,10.89,31.52,0.0,1071.0,11.48,31.0,0.0,4684.0,9.18,26.35,0.0,450.0,15.11,38.0,0.0,,,,,3.0,0.0,0.0,-100.0,2.0,0.0,0.0,0.0,3.11,3.7,-2.28,-3.14,3.38,-3.35,6.03,2.39,5.51,2.98,0.86,0.68,12.51,6.61,,,-25.49,-8.5,-25.49,-8.5,62.3044,66.2362,75.0,61.0884,55.85,77.51,72.0,66.0,54.0,58.6154,63.0,83.0,76.0,76.0,72.0,49.59,58.9494,59.4025,60.0,64.0737,61.85,76.0,71.6325
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-05-27_HappyValley,2026-05-27_HappyValley,2026-05-27,1,跑馬地,Turf,B,1200,1200,C4,Class 4,4.0,12,3,洛河,J308,巴度,丁冠豪,5,0,0,0,6,135.0,135.0,280.0,,,28.0,0.0,28.0,0,0,61.8755,4.0,40.0,-1.0,1195.0,1.5,0,0.0,2.0,0,1,1,0,6,6.6667,3.0,10.0,2,2,66.64,4,66.64,B-,NO_PICK,12,7,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,3.0,40.0,3.0,3.0,0,0,0,0,2.0,1.0,0.0,23.39,0.72,28.0,0.0,4.0,10.0,34.0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,89.0,8.99,30.34,-42.58,35.0,2.86,14.29,-62.86,1012.0,8.5,25.49,0.0,258.0,11.63,28.68,0.0,1071.0,11.48,31.0,0.0,152.0,5.26,17.11,0.0,450.0,15.11,38.0,0.0,6.0,0.0,33.33,-100.0,,,,,4.0,0.0,50.0,0.0,-25.49,-8.5,4.85,0.49,-11.2,-5.64,3.19,3.13,5.51,2.98,-8.38,-3.24,12.51,6.61,7.84,-8.5,,,24.51,-8.5,59.5921,59.4242,65.0,46.4286,59.82,69.12,66.0,60.0,54.0,55.0308,64.0,83.0,85.0,48.0,72.0,75.25,52.7516,59.883,60.0,59.5165,62.4,85.0,65.34
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-05-27_HappyValley,2026-05-27_HappyValley,2026-05-27,1,跑馬地,Turf,B,1200,1200,C4,Class 4,4.0,12,4,喜行,K399,班德禮,大衛希斯,8,0,0,0,12,134.0,134.0,17.0,,,26.0,0.0,26.0,0,0,63.6596,4.0,39.0,0.0,1150.0,1.0,0,0.0,2.0,0,1,0,1,6,6.1667,2.0,12.0,2,4,64.31,8,64.31,B-,NO_PICK,12,7,0.0,1.0,1.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,36.0,3.0,1.0,0,0,0,0,2.0,3.0,0.0,24.51,0.21,26.0,0.0,1.0,3.0,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,14.0,7.1,42.9,0.0,85.0,3.53,21.18,-40.35,101.0,7.92,31.68,-48.81,1012.0,8.5,25.49,0.0,241.0,2.9,16.18,0.0,1071.0,11.48,31.0,0.0,4684.0,9.18,26.35,0.0,450.0,15.11,38.0,0.0,,,,,1.0,0.0,0.0,-100.0,,,,,17.41,-1.4,-4.31,-4.97,6.19,-0.58,-9.31,-5.6,5.51,2.98,0.86,0.68,12.51,6.61,,,-25.49,-8.5,,,60.4864,62.0789,49.06,61.0204,55.95,73.12,72.0,60.0,54.0,59.1282,67.0,83.0,96.0,48.0,72.0,50.09,59.1705,57.3675,60.0,61.203,64.05,96.0,68.34
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-05-27_HappyValley,2026-05-27_HappyValley,2026-05-27,1,跑馬地,Turf,B,1200,1200,C4,Class 4,4.0,12,5,飛越晨曦,K483,梁家俊,伍鵬志,12,0,0,0,4,132.0,132.0,7.0,,,19.0,0.0,19.0,0,0,59.2393,4.0,37.0,-3.0,1122.0,1.0,0,0.0,3.0,0,1,0,1,6,11.8333,10.0,14.0,0,0,64.51,7,64.51,B-,NO_PICK,12,7,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,42.0,4.0,1.0,0,0,0,0,2.0,2.0,0.0,23.8,1.49,19.0,0.0,8.0,10.0,27.0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,30.0,0.0,20.0,0.0,65.0,7.69,23.08,-4.46,74.0,10.81,28.38,2.7,1012.0,8.5,25.49,0.0,258.0,11.63,28.68,0.0,1071.0,11.48,31.0,0.0,1818.0,7.21,23.93,0.0,700.0,3.86,16.0,0.0,,,,,,,,,,,,,-5.49,-8.5,-2.41,-0.81,2.89,2.31,3.19,3.13,5.51,2.98,-1.56,-1.29,-9.49,-4.64,,,,,,,57.7996,57.6451,75.0,40.0,58.31,58.45,66.0,60.0,54.0,37.5897,68.0,83.0,86.0,76.0,54.0,52.04,40.2399,58.9015,60.0,57.7301,64.6,86.0,57.3375
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-05-27_HappyValley,2026-05-27_HappyValley,2026-05-27,1,跑馬地,Turf,B,1200,1200,C4,Class 4,4.0,12,6,五福星,J099,霍宏聲,羅富全,7,0,0,0,7,132.0,132.0,67.0,,,42.0,1.0,42.0,0,0,58.6887,5.0,37.0,-3.0,1078.0,1.0,0,0.0,1.0,0,0,0,1,6,10.8333,9.0,13.0,0,0,62.51,10,62.51,C+,NO_PICK,12,7,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,43.0,5.0,1.0,0,0,0,0,3.0,2.0,1.0,25.36,2.85,42.0,1.0,16.0,13.0,22.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,30.0,6.7,16.7,0.0,90.0,13.33,23.33,95.56,92.0,8.7,25.0,-38.04,1012.0,8.5,25.49,0.0,256.0,8.2,25.0,0.0,1071.0,11.48,31.0,0.0,233.0,5.15,18.88,0.0,450.0,15.11,38.0,0.0,8.0,0.0,25.0,-100.0,1.0,100.0,100.0,130.0,2.0,50.0,50.0,0.0,-8.79,-1.8,-2.16,4.83,-0.49,0.2,-0.49,-0.3,5.51,2.98,-6.61,-3.35,12.51,6.61,-0.49,-8.5,74.51,91.5,24.51,41.5,61.8209,60.4081,65.0,40.0,41.62,63.57,66.0,60.0,54.0,37.0769,69.0,83.0,86.0,48.0,54.0,71.35,41.9658,48.053,60.0,61.1851,65.15,86.0,61.1775
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-05-27_HappyValley,2026-05-27_HappyValley,2026-05-27,1,跑馬地,Turf,B,1200,1200,C4,Class 4,4.0,12,7,建測精英,K198,艾道拿,黎昭昇,6,0,0,0,10,130.0,130.0,122.0,,,36.0,0.0,36.0,0,0,60.2578,5.0,35.0,-2.0,1139.0,1.0,0,0.0,2.0,1,1,0,1,6,7.5,5.0,11.0,0,3,61.67,11,61.67,C+,NO_PICK,12,7,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,40.0,4.0,1.0,0,0,0,0,1.0,3.0,0.0,24.91,0.68,36.0,0.0,4.0,5.0,18.0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,35.0,5.7,22.9,0.0,88.0,7.95,26.14,-20.45,86.0,5.81,17.44,-38.26,1012.0,8.5,25.49,0.0,241.0,2.9,16.18,0.0,1282.0,8.19,23.71,0.0,152.0,5.26,17.11,0.0,450.0,15.11,38.0,0.0,3.0,0.0,0.0,-100.0,,,,,,,,,-2.59,-2.8,0.65,-0.55,-8.05,-2.69,-9.31,-5.6,-1.78,-0.31,-8.38,-3.24,12.51,6.61,-25.49,-8.5,,,,,60.2613,59.6095,49.06,51.1565,48.15,63.57,66.0,60.0,64.0,52.5385,55.5,83.0,84.0,48.0,54.0,64.45,53.0386,52.2975,60.0,59.968,61.225,84.0,63.6775
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-05-27_HappyValley,2026-05-27_HappyValley,2026-05-27,1,跑馬地,Turf,B,1200,1200,C4,Class 4,4.0,12,8,鑽得勝,K216,布文,葉楚航,4,0,0,1,5,129.0,129.0,21.0,,,27.0,0.0,27.0,0,0,63.1549,4.0,34.0,-2.0,1026.0,1.0,0,0.0,1.0,1,0,0,0,6,8.8333,4.0,13.0,0,1,71.11,1,71.11,B,MODEL_TOP_PICK,12,7,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,3.0,3.0,0,0,0,0,0.0,1.0,0.0,23.93,1.1,27.0,0.0,6.0,10.0,11.0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.0,16.7,33.3,0.0,114.0,14.04,35.09,-40.79,48.0,14.58,27.08,-16.88,1012.0,8.5,25.49,0.0,258.0,11.63,28.68,0.0,1282.0,8.19,23.71,0.0,4684.0,9.18,26.35,0.0,450.0,15.11,38.0,0.0,1.0,0.0,0.0,-100.0,,,,,,,,,7.81,8.2,9.6,5.54,1.59,6.08,3.19,3.13,-1.78,-0.31,0.86,0.68,12.51,6.61,-25.49,-8.5,,,,,67.5295,58.8159,65.0,44.0816,62.2,63.57,54.0,66.0,64.0,58.1987,76.0,83.0,79.0,76.0,54.0,73.3,52.6503,63.53,60.0,63.6084,72.5,79.0,63.6775
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-05-27_HappyValley,2026-05-27_HappyValley,2026-05-27,1,跑馬地,Turf,B,1200,1200,C4,Class 4,4.0,12,9,本能,K289,周俊樂,徐雨石,1,1,1,1,1,125.0,125.0,21.0,,,31.0,0.0,31.0,0,0,61.1653,4.0,32.0,-2.0,1106.0,1.5,1,2.0,0.0,0,0,0,0,6,9.3333,6.0,13.0,0,0,66.35,6,66.35,B-,NO_PICK,12,7,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,20.0,4.0,1.0,0,0,0,0,2.0,2.0,1.0,23.52,0.51,31.0,0.0,3.0,6.0,20.0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,65.0,7.69,23.08,-40.15,58.0,5.17,22.41,-76.55,1012.0,8.5,25.49,0.0,257.0,10.89,31.52,0.0,1543.0,6.29,20.03,0.0,4684.0,9.18,26.35,0.0,700.0,3.86,16.0,0.0,1.0,0.0,0.0,-100.0,3.0,0.0,0.0,-100.0,4.0,0.0,0.0,0.0,-25.49,-8.5,-2.41,-0.81,-3.08,-3.33,6.03,2.39,-5.46,-2.21,0.86,0.68,-9.49,-4.64,-25.49,-8.5,-25.49,-8.5,-25.49,-8.5,57.8492,57.6248,75.0,40.0,59.82,63.57,66.0,66.0,64.0,48.641,71.0,83.0,85.0,48.0,54.0,49.84,44.4404,61.983,60.0,57.7482,69.75,85.0,63.6775
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-05-27_HappyValley,2026-05-27_HappyValley,2026-05-27,1,跑馬地,Turf,B,1200,1200,C4,Class 4,4.0,12,10,星之願,J480,潘頓,廖康銘,3,0,1,1,3,127.0,127.0,38.0,,,34.0,0.0,34.0,0,0,64.5511,5.0,32.0,-2.0,1038.0,1.0,0,0.0,1.0,0,0,0,0,6,9.0,6.0,11.0,0,0,66.45,5,66.45,B-,NO_PICK,12,7,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,44.0,5.0,3.0,0,0,0,0,1.0,1.0,3.0,25.26,1.02,34.0,0.0,6.0,11.0,,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18.0,11.1,27.8,0.0,100.0,21.0,51.0,-24.6,110.0,18.18,35.45,43.55,1012.0,8.5,25.49,0.0,257.0,10.89,31.52,0.0,1282.0,8.19,23.71,0.0,2008.0,8.02,24.7,0.0,450.0,15.11,38.0,0.0,5.0,0.0,20.0,-100.0,3.0,0.0,33.33,-100.0,,,,,2.31,2.6,25.51,12.5,9.96,9.68,6.03,2.39,-1.78,-0.31,-0.79,-0.48,12.51,6.61,-5.49,-8.5,7.84,-8.5,,,82.5442,66.5881,75.0,40.0,62.09,63.57,54.0,60.0,60.0,50.2667,69.0,83.0,79.0,48.0,54.0,74.6,47.5667,61.3585,60.0,75.364,67.25,79.0,62.6775
