subset,candidate,races,top3_auc,zero_hit,one_hit,two_hit,total_top2_hits,hits_per_race,winner_top2,winner_top2_rate,top2_set_changes,hit_helped,hit_harmed,winner_helped,winner_harmed,zero_to_positive,one_to_two,one_to_zero,two_to_lower
all,baseline_pure_matrix,245,0.689,72,121,52,225,0.9184,95,38.8,0,0,0,0,0,0,0,0,0
all,speed_only_substitution,245,0.6913,70,119,56,231,0.9429,98,40.0,34,12,6,6,3,5,7,3,3
all,speed_stability_shift,245,0.6979,66,121,58,237,0.9673,96,39.2,52,20,8,8,7,11,9,5,3
all,speed_balanced_context,245,0.6963,68,121,56,233,0.951,96,39.2,38,14,6,5,4,8,6,4,2
all,speed_distance_5pct,245,0.6928,70,119,56,231,0.9429,100,40.8,43,15,9,8,3,8,7,6,3
archive_development,baseline_pure_matrix,88,0.7171,17,45,26,97,1.1023,41,46.6,0,0,0,0,0,0,0,0,0
archive_development,speed_only_substitution,88,0.7199,17,46,25,96,1.0909,41,46.6,2,0,1,0,0,0,0,0,1
archive_development,speed_stability_shift,88,0.7236,16,46,26,98,1.1136,40,45.5,17,4,3,1,2,3,1,2,1
archive_development,speed_balanced_context,88,0.7216,17,45,26,97,1.1023,40,45.5,9,2,2,0,1,1,1,1,1
archive_development,speed_distance_5pct,88,0.7187,20,42,26,94,1.0682,42,47.7,8,1,4,1,0,0,1,3,1
archive_temporal_holdout,baseline_pure_matrix,39,0.6847,12,20,7,34,0.8718,15,38.5,0,0,0,0,0,0,0,0,0
archive_temporal_holdout,speed_only_substitution,39,0.6838,13,18,8,34,0.8718,14,35.9,7,1,1,0,1,0,1,1,0
archive_temporal_holdout,speed_stability_shift,39,0.6973,13,17,9,35,0.8974,15,38.5,9,3,2,1,1,1,2,2,0
archive_temporal_holdout,speed_balanced_context,39,0.6964,13,18,8,34,0.8718,15,38.5,7,2,2,1,1,1,1,2,0
archive_temporal_holdout,speed_distance_5pct,39,0.6793,13,19,7,33,0.8462,15,38.5,6,1,2,1,1,1,0,2,0
independent_recent,baseline_pure_matrix,109,0.6744,39,54,16,86,0.789,37,33.9,0,0,0,0,0,0,0,0,0
independent_recent,speed_only_substitution,109,0.6776,35,54,20,94,0.8624,42,38.5,23,11,3,6,1,5,6,1,2
independent_recent,speed_stability_shift,109,0.6846,32,57,20,97,0.8899,40,36.7,22,12,1,6,3,7,5,0,1
independent_recent,speed_balanced_context,109,0.6837,33,57,19,95,0.8716,40,36.7,20,10,1,4,1,6,4,0,1
independent_recent,speed_distance_5pct,109,0.6824,33,56,20,96,0.8807,41,37.6,26,13,3,6,2,7,6,1,2
external_2026_07_15,baseline_pure_matrix,9,0.6083,4,2,3,8,0.8889,2,22.2,0,0,0,0,0,0,0,0,0
external_2026_07_15,speed_only_substitution,9,0.6083,5,1,3,7,0.7778,1,11.1,2,0,1,0,1,0,0,1,0
external_2026_07_15,speed_stability_shift,9,0.6083,5,1,3,7,0.7778,1,11.1,4,1,2,0,1,0,1,1,1
external_2026_07_15,speed_balanced_context,9,0.6,5,1,3,7,0.7778,1,11.1,2,0,1,0,1,0,0,1,0
external_2026_07_15,speed_distance_5pct,9,0.6208,4,2,3,8,0.8889,2,22.2,3,0,0,0,0,0,0,0,0
