candidate,dataset,meeting,race_number,baseline_top2,candidate_top2,baseline_hits,candidate_hits,baseline_winner,candidate_winner
speed_only_substitution,archive,2026-05-06_ShaTin,6,5-6,5-11,0,0,0,0
speed_only_substitution,archive,2026-05-06_ShaTin,7,5-4,4-2,2,1,0,0
speed_only_substitution,archive,2026-05-13_HappyValley,4,3-1,3-2,0,0,0,0
speed_only_substitution,archive,2026-05-13_HappyValley,7,6-12,6-9,0,0,0,0
speed_only_substitution,archive,2026-05-13_HappyValley,9,1-4,1-8,1,0,0,0
speed_only_substitution,archive,2026-05-17_ShaTin,11,1-3,1-2,1,1,1,0
speed_only_substitution,archive,2026-05-20_HappyValley,6,5-8,5-3,1,2,1,1
speed_only_substitution,archive,2026-05-24_ShaTin,2,14-10,14-11,1,1,1,1
speed_only_substitution,archive,2026-05-24_ShaTin,3,5-4,5-12,0,0,0,0
speed_only_substitution,external_2026_07_15,2026-07-15_HappyValley,1,4-9,4-2,0,0,0,0
speed_only_substitution,external_2026_07_15,2026-07-15_HappyValley,8,2-3,4-2,1,0,1,0
speed_only_substitution,independent_recent,2026-05-27_HappyValley,7,11-3,11-1,0,0,0,0
speed_only_substitution,independent_recent,2026-05-27_HappyValley,8,1-2,1-8,2,1,0,0
speed_only_substitution,independent_recent,2026-06-03_HappyValley,3,3-8,3-7,0,1,0,1
speed_only_substitution,independent_recent,2026-06-03_HappyValley,7,7-5,7-10,1,2,0,0
speed_only_substitution,independent_recent,2026-06-03_HappyValley,8,6-2,6-11,1,2,1,1
speed_only_substitution,independent_recent,2026-06-07_ShaTin,6,6-9,6-1,0,0,0,0
speed_only_substitution,independent_recent,2026-06-07_ShaTin,7,4-10,4-8,1,1,0,1
speed_only_substitution,independent_recent,2026-06-10_HappyValley,6,2-3,2-8,1,1,0,1
speed_only_substitution,independent_recent,2026-06-10_HappyValley,9,11-6,11-1,1,2,1,1
speed_only_substitution,independent_recent,2026-06-13_ShaTin,5,2-5,2-1,1,1,0,0
speed_only_substitution,independent_recent,2026-06-21_ShaTin,10,1-7,1-13,1,1,1,0
speed_only_substitution,independent_recent,2026-06-27_ShaTin,1,2-1,2-14,0,0,0,0
speed_only_substitution,independent_recent,2026-06-27_ShaTin,7,6-3,6-4,2,1,1,1
speed_only_substitution,independent_recent,2026-06-27_ShaTin,8,8-2,8-7,0,1,0,0
speed_only_substitution,independent_recent,2026-07-01_ShaTin,3,14-1,14-2,1,2,0,1
speed_only_substitution,independent_recent,2026-07-01_ShaTin,8,10-4,10-3,1,1,0,1
speed_only_substitution,independent_recent,2026-07-04_ShaTin,5,4-8,13-4,1,2,0,0
speed_only_substitution,independent_recent,2026-07-04_ShaTin,8,2-9,2-10,1,0,0,0
speed_only_substitution,independent_recent,2026-07-08_HappyValley,2,9-4,9-2,0,0,0,0
speed_only_substitution,independent_recent,2026-07-12_ShaTin,1,4-10,10-11,0,1,0,0
speed_only_substitution,independent_recent,2026-07-12_ShaTin,5,2-3,2-12,0,1,0,0
speed_only_substitution,independent_recent,2026-07-12_ShaTin,7,9-10,10-5,0,1,0,0
speed_only_substitution,independent_recent,2026-07-12_ShaTin,8,9-4,9-2,1,2,0,1
speed_stability_shift,archive,2026-04-19_ShaTin,3,2-9,2-1,0,1,0,0
speed_stability_shift,archive,2026-04-19_ShaTin,4,1-4,1-13,1,0,0,0
speed_stability_shift,archive,2026-04-19_ShaTin,6,5-3,5-8,0,1,0,0
speed_stability_shift,archive,2026-04-22_HappyValley,5,11-4,11-1,1,2,1,1
speed_stability_shift,archive,2026-04-26_ShaTin,3,1-2,1-13,1,1,1,0
speed_stability_shift,archive,2026-04-26_ShaTin,6,6-13,6-4,1,1,0,1
speed_stability_shift,archive,2026-04-26_ShaTin,10,10-6,10-3,0,1,0,0
speed_stability_shift,archive,2026-04-29_HappyValley,1,7-11,7-6,0,0,0,0
speed_stability_shift,archive,2026-04-29_HappyValley,2,4-10,4-9,1,1,1,1
speed_stability_shift,archive,2026-04-29_HappyValley,3,2-5,2-9,1,0,0,0
speed_stability_shift,archive,2026-05-03_ShaTin,5,1-8,1-2,2,2,1,0
speed_stability_shift,archive,2026-05-03_ShaTin,9,5-10,5-7,0,0,0,0
speed_stability_shift,archive,2026-05-03_ShaTin,10,14-13,14-6,1,1,1,1
speed_stability_shift,archive,2026-05-06_ShaTin,1,9-6,9-1,1,1,1,1
speed_stability_shift,archive,2026-05-06_ShaTin,6,5-6,5-11,0,0,0,0
speed_stability_shift,archive,2026-05-06_ShaTin,7,5-4,4-2,2,1,0,0
speed_stability_shift,archive,2026-05-09_ShaTin,6,6-9,6-13,1,1,1,1
speed_stability_shift,archive,2026-05-13_HappyValley,7,6-12,6-9,0,0,0,0
speed_stability_shift,archive,2026-05-13_HappyValley,9,1-4,1-8,1,0,0,0
speed_stability_shift,archive,2026-05-17_ShaTin,9,12-7,12-11,1,0,0,0
speed_stability_shift,archive,2026-05-17_ShaTin,11,1-3,1-2,1,1,1,0
speed_stability_shift,archive,2026-05-20_HappyValley,6,5-8,5-3,1,2,1,1
speed_stability_shift,archive,2026-05-24_ShaTin,1,1-13,1-6,1,2,1,1
speed_stability_shift,archive,2026-05-24_ShaTin,2,14-10,14-11,1,1,1,1
speed_stability_shift,archive,2026-05-24_ShaTin,4,8-4,8-3,0,1,0,1
speed_stability_shift,archive,2026-05-24_ShaTin,7,2-11,2-7,0,0,0,0
speed_stability_shift,external_2026_07_15,2026-07-15_HappyValley,1,4-9,4-2,0,0,0,0
speed_stability_shift,external_2026_07_15,2026-07-15_HappyValley,3,10-4,10-9,2,1,1,1
speed_stability_shift,external_2026_07_15,2026-07-15_HappyValley,5,9-6,9-1,1,2,0,0
speed_stability_shift,external_2026_07_15,2026-07-15_HappyValley,8,2-3,2-4,1,0,1,0
speed_stability_shift,independent_recent,2026-05-27_HappyValley,7,11-3,11-1,0,0,0,0
speed_stability_shift,independent_recent,2026-06-03_HappyValley,3,3-8,3-7,0,1,0,1
speed_stability_shift,independent_recent,2026-06-03_HappyValley,7,7-5,7-10,1,2,0,0
speed_stability_shift,independent_recent,2026-06-03_HappyValley,8,6-2,6-11,1,2,1,1
speed_stability_shift,independent_recent,2026-06-07_ShaTin,5,5-12,12-2,0,0,0,0
speed_stability_shift,independent_recent,2026-06-07_ShaTin,9,1-5,1-6,1,1,1,0
speed_stability_shift,independent_recent,2026-06-10_HappyValley,8,1-10,1-8,0,1,0,1
speed_stability_shift,independent_recent,2026-06-10_HappyValley,9,11-6,11-1,1,2,1,1
speed_stability_shift,independent_recent,2026-06-13_ShaTin,5,2-5,2-1,1,1,0,0
