dataset,meeting,race_number,promotion_outcome,rank1_hit,rank2_hit,rank3_hit,rank2_winner,rank3_winner,score_gap_rank2_rank3,signal_deltas,supporting_evidence,rank1,rank2,rank3,actual_top3
archive,2026-04-12_ShaTin,8,無hit變化：第二及第三選皆失,True,False,False,False,False,3.62,"{""speed"":0.0,""formline"":0.7,""class_context"":-9.94,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0}",[],#7 活力拍檔,#4 安都,#11 金滙千帥,"[""1. #7 活力拍檔"",""2. #1 英駿飛駒"",""3. #12 魅力知耀""]"
archive,2026-04-12_ShaTin,11,無hit變化：第二及第三選皆失,True,False,False,False,False,1.38,"{""speed"":0.0,""formline"":0.0,""class_context"":0.0,""distance_context"":0.0,""risk"":1.0,""confidence"":0.0}",[],#7 競駿輝煌,#11 閃耀天河,#12 巴基之勝,"[""1. #5 翠紅"",""2. #9 扶搖勢勁"",""3. #7 競駿輝煌""]"
archive,2026-04-15_HappyValley,1,有幫助：1→2,True,False,True,False,True,1.55,"{""speed"":0.0,""formline"":0.7,""class_context"":-5.55,""distance_context"":-6.0,""risk"":0.0,""confidence"":0.0}",[],#5 銀亮濠俠,#3 幸運傳承,#6 喆喆友福,"[""1. #6 喆喆友福"",""2. #5 銀亮濠俠"",""3. #4 辣得金""]"
archive,2026-04-15_HappyValley,2,無hit變化：第二及第三選皆中,False,True,True,True,False,1.43,"{""speed"":0.0,""formline"":3.5,""class_context"":0.39,""distance_context"":0.0,""risk"":-5.0,""confidence"":0.0}",[],#9 龍又生,#6 富裕君子,#7 東方寶寶,"[""1. #6 富裕君子"",""2. #7 東方寶寶"",""3. #3 小皇爺""]"
archive,2026-04-15_HappyValley,3,無hit變化：第二及第三選皆失,True,False,False,False,False,0.85,"{""speed"":0.0,""formline"":0.0,""class_context"":0.0,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0}",[],#1 凡凡有餘,#4 先到先得,#7 紅磚戰士,"[""1. #1 凡凡有餘"",""2. #10 時間寶"",""3. #11 爆竹""]"
archive,2026-04-15_HappyValley,5,無hit變化：第二及第三選皆失,True,False,False,False,False,2.88,"{""speed"":0.0,""formline"":-2.1,""class_context"":0.0,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0}",[],#1 一起美麗,#3 龍文鞭影,#11 智多多寶,"[""1. #1 一起美麗"",""2. #4 做好自己"",""3. #10 知道穩勝""]"
archive,2026-04-15_HappyValley,7,有傷害：1→0,False,True,False,False,False,0.37,"{""speed"":0.0,""formline"":-3.5,""class_context"":0.0,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0}","[""第二／第三選分差極近（0.37）""]",#5 彩虹七色,#6 星運少爵,#3 八仟好運,"[""1. #11 環球英雄"",""2. #1 當家精彩"",""3. #6 星運少爵""]"
archive,2026-04-19_ShaTin,1,無hit變化：第二及第三選皆中,False,True,True,True,False,0.18,"{""speed"":0.0,""formline"":0.0,""class_context"":0.0,""distance_context"":0.0,""risk"":2.0,""confidence"":0.0}","[""第二／第三選分差極近（0.18）""]",#8 香港精神,#1 領創動力,#11 開心三多,"[""1. #1 領創動力"",""2. #4 風起雲湧"",""3. #11 開心三多""]"
archive,2026-04-19_ShaTin,6,有傷害：1→0,False,True,False,False,False,0.55,"{""speed"":0.0,""formline"":1.4,""class_context"":-9.94,""distance_context"":-6.0,""risk"":0.0,""confidence"":0.0}",[],#5 有派頭,#8 盛勢威楓,#3 精彩動力,"[""1. #9 花開"",""2. #11 林寶精神"",""3. #8 盛勢威楓""]"
archive,2026-04-19_ShaTin,11,無hit變化：第二及第三選皆失,True,False,False,False,False,1.37,"{""speed"":0.0,""formline"":0.0,""class_context"":-1.16,""distance_context"":0.0,""risk"":-1.0,""confidence"":0.0}",[],#8 春風萬里,#4 錶之宇宙,#3 天將龍駒,"[""1. #14 海上大軍"",""2. #12 嘉應傳承"",""3. #8 春風萬里""]"
archive,2026-04-22_HappyValley,3,無hit變化：第二及第三選皆中,False,True,True,False,True,1.55,"{""speed"":0.0,""formline"":-2.1,""class_context"":-13.94,""distance_context"":-6.0,""risk"":0.0,""confidence"":0.0}",[],#9 耀昌勝世,#1 本領非凡,#5 贏玥,"[""1. #5 贏玥"",""2. #1 本領非凡"",""3. #7 得意佳作""]"
archive,2026-04-22_HappyValley,4,無hit變化：第二及第三選皆失,True,False,False,False,False,0.61,"{""speed"":0.0,""formline"":-2.1,""class_context"":9.55,""distance_context"":6.0,""risk"":0.0,""confidence"":0.0}","[""班次context支持第三選（+9.6）"",""路程context支持第三選（+6.0）""]",#6 銳目,#10 眼健康,#4 良駒好友,"[""1. #6 銳目"",""2. #2 團長好"",""3. #1 競駿非凡""]"
archive,2026-04-22_HappyValley,5,有幫助：1→2,True,False,True,False,False,0.12,"{""speed"":0.0,""formline"":8.4,""class_context"":0.0,""distance_context"":-12.0,""risk"":0.0,""confidence"":0.0}","[""form line支持第三選（+8.4）""]",#11 雷神太保,#4 紅錢到,#1 伶俐驫駒,"[""1. #11 雷神太保"",""2. #12 過關勇士"",""3. #1 伶俐驫駒""]"
archive,2026-04-22_HappyValley,6,有傷害：1→0,False,True,False,False,False,1.68,"{""speed"":0.0,""formline"":-2.8,""class_context"":-4.0,""distance_context"":6.0,""risk"":-5.0,""confidence"":0.0}","[""路程context支持第三選（+6.0）""]",#4 美麗登場,#6 鴻圖新星,#8 福進,"[""1. #3 皇者有利"",""2. #6 鴻圖新星"",""3. #7 天火同人""]"
archive,2026-04-22_HappyValley,9,無hit變化：第二及第三選皆失,True,False,False,False,False,0.99,"{""speed"":0.0,""formline"":0.7,""class_context"":5.55,""distance_context"":12.0,""risk"":-1.0,""confidence"":0.0}","[""路程context支持第三選（+12.0）"",""班次context支持第三選（+5.5）""]",#1 志滿同行,#3 好好戀愛,#12 包裝明將,"[""1. #9 快活英雄"",""2. #1 志滿同行"",""3. #7 金牌活力""]"
archive,2026-04-26_ShaTin,1,有傷害：1→0,False,True,False,False,False,0.73,"{""speed"":0.0,""formline"":2.1,""class_context"":4.39,""distance_context"":6.0,""risk"":2.0,""confidence"":0.0}","[""路程context支持第三選（+6.0）""]",#5 星運少爵,#9 利高八斗,#11 賢者威楓,"[""1. #13 包裝天王"",""2. #9 利高八斗"",""3. #10 星光大道""]"
archive,2026-04-26_ShaTin,4,無hit變化：第二及第三選皆失,True,False,False,False,False,1.52,"{""speed"":0.0,""formline"":10.5,""class_context"":-1.55,""distance_context"":-2.0,""risk"":-1.0,""confidence"":0.0}","[""form line支持第三選（+10.5）""]",#5 勁勇皇駒,#9 日日賞,#11 幸運威龍,"[""1. #5 勁勇皇駒"",""2. #4 嵐臣"",""3. #14 星光快驅""]"
archive,2026-04-26_ShaTin,5,無hit變化：第二及第三選皆失,True,False,False,False,False,1.66,"{""speed"":0.0,""formline"":-2.8,""class_context"":0.0,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0}",[],#1 嘉應高昇,#3 驕陽明駒,#4 舉步生風,"[""1. #1 嘉應高昇"",""2. #2 里見夢境"",""3. #5 精算暴雪""]"
archive,2026-04-26_ShaTin,6,有傷害：1→0,False,True,False,False,False,0.04,"{""speed"":0.0,""formline"":0.7,""class_context"":0.0,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0}","[""第二／第三選分差極近（0.04）""]",#6 健康快車,#13 傑出雷霆,#3 星月飛雲,"[""1. #4 增強"",""2. #13 傑出雷霆"",""3. #14 幸運糖""]"
archive,2026-04-26_ShaTin,8,無hit變化：第二及第三選皆中,False,True,True,True,False,2.69,"{""speed"":0.0,""formline"":8.4,""class_context"":-5.94,""distance_context"":0.0,""risk"":1.0,""confidence"":0.0}","[""form line支持第三選（+8.4）""]",#10 友瑩仁,#9 三軍勇將,#1 喜蓮勁感,"[""1. #9 三軍勇將"",""2. #1 喜蓮勁感"",""3. #4 一世美麗""]"
archive,2026-04-26_ShaTin,9,無hit變化：第二及第三選皆失,True,False,False,False,False,1.99,"{""speed"":0.0,""formline"":1.4,""class_context"":-13.94,""distance_context"":-18.0,""risk"":0.0,""confidence"":0.0}",[],#2 浪漫勇士,#8 數字天文,#7 球星,"[""1. #2 浪漫勇士"",""2. #1 蒙面舞會"",""3. #4 同工之妙""]"
archive,2026-04-26_ShaTin,11,無hit變化：第二及第三選皆中,False,True,True,True,False,0.23,"{""speed"":0.0,""formline"":0.7,""class_context"":0.0,""distance_context"":6.0,""risk"":0.0,""confidence"":0.0}","[""路程context支持第三選（+6.0）""]",#11 極上紗瓏,#5 時時歡聲,#9 韋金主,"[""1. #5 時時歡聲"",""2. #9 韋金主"",""3. #12 千帆駒""]"
archive,2026-04-29_HappyValley,2,無hit變化：第二及第三選皆失,True,False,False,False,False,0.11,"{""speed"":0.0,""formline"":2.1,""class_context"":0.0,""distance_context"":0.0,""risk"":1.0,""confidence"":0.0}","[""第二／第三選分差極近（0.11）""]",#4 可靠大師,#10 金多囍,#9 皇帝英豪,"[""1. #4 可靠大師"",""2. #12 友得盈"",""3. #6 至合拍""]"
archive,2026-04-29_HappyValley,6,有傷害：1→0,False,True,False,False,False,2.02,"{""speed"":0.0,""formline"":0.0,""class_context"":-12.39,""distance_context"":-16.0,""risk"":-2.0,""confidence"":0.0}",[],#3 爆出美麗,#1 勁進駒,#9 快靚旺,"[""1. #4 暴風之子"",""2. #1 勁進駒"",""3. #6 快搏""]"
archive,2026-04-29_HappyValley,7,無hit變化：第二及第三選皆中,False,True,True,False,False,1.31,"{""speed"":0.0,""formline"":4.9,""class_context"":0.0,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0}",[],#5 勇敢巨星,#8 好評如潮,#2 顏色之皇,"[""1. #3 天天同樂"",""2. #8 好評如潮"",""3. #2 顏色之皇""]"
archive,2026-04-29_HappyValley,8,有幫助：1→2,True,False,True,False,False,1.12,"{""speed"":0.0,""formline"":11.9,""class_context"":-4.39,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0}","[""form line支持第三選（+11.9）""]",#4 踏雪尋梅,#12 喵喵怪,#11 泰泰精神,"[""1. #4 踏雪尋梅"",""2. #6 東來欣賞"",""3. #11 泰泰精神""]"
archive,2026-05-03_ShaTin,3,有幫助：1→2,True,False,True,False,False,1.1,"{""speed"":0.0,""formline"":0.0,""class_context"":0.0,""distance_context"":12.0,""risk"":1.0,""confidence"":0.0}","[""路程context支持第三選（+12.0）""]",#4 觀萬物,#13 熊噹噹,#3 順善寶,"[""1. #4 觀萬物"",""2. #3 順善寶"",""3. #2 神駒馬靈""]"
