dataset,split,source_mode,meeting,date,race_number,horse_number,horse_id,horse_name,venue,track,distance_num,race_class_num,field_size,is_debut,is_import,weight_carried,days_since_last,starts,wins,hk_starts,card_rating,last6_runs,last6_mean_finish,last6_best_finish,last6_worst_finish,last6_top3_count,last6_top5_count,season_starts,season_wins,season_seconds,season_thirds,same_distance_starts,same_distance_wins,same_distance_seconds,same_distance_thirds,same_venue_distance_starts,same_venue_distance_wins,same_venue_distance_seconds,same_venue_distance_thirds,tw_entries_count,tw_gallop_count,tw_flags_count,tw_confidence_high,tw_confidence_low,tw_jockey_present,raw_formline_higher_win_count,raw_formline_same_win_count,raw_formline_lower_win_count,raw_l400,raw_finish_time_adj,raw_total_starts,raw_total_wins,raw_last_margin,raw_last_finish,raw_weight_trend_span,prior_combo_starts,prior_combo_win_rate,prior_combo_place_rate,prior_jockey_cd_starts,prior_jockey_cd_win_rate,prior_jockey_cd_place_rate,prior_trainer_cd_starts,prior_trainer_cd_win_rate,prior_trainer_cd_place_rate,prior_class_distance_starts,prior_class_distance_win_rate,prior_class_distance_place_rate,prior_weight_class_starts,prior_weight_class_win_rate,prior_weight_class_place_rate,prior_rest_bucket_starts,prior_rest_bucket_win_rate,prior_rest_bucket_place_rate,evidence_form_count,evidence_form_coverage,evidence_speed_count,evidence_speed_coverage,evidence_class_weight_count,evidence_class_weight_coverage,evidence_distance_count,evidence_distance_coverage,evidence_trainer_count,evidence_trainer_coverage,evidence_readiness_count,evidence_readiness_coverage,evidence_formline_count,evidence_formline_coverage,reference_original_rank,reference_original_top2,reference_original_ability,label_finish_position,label_is_winner,label_is_top3
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,1,1,L114,嘉應感恩,沙田,Turf,1000,,6,0,0,126.0,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,21.0,14.29,33.33,,,,,,,42.0,7.14,21.43,1818.0,7.21,23.93,1,0.25,0,0.0,1,0.3333,0,0.0,1,0.3333,1,0.25,0,0.0,6,0,61.71,6,0,0
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,1,2,L183,通情達理,沙田,Turf,1000,,6,0,0,126.0,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,31.0,32.26,64.52,,,,,,,42.0,7.14,21.43,1818.0,7.21,23.93,1,0.25,0,0.0,1,0.3333,0,0.0,1,0.3333,1,0.25,0,0.0,1,1,68.49,1,1,1
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,1,3,L236,銀騎士,沙田,Turf,1000,,6,0,0,126.0,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,27.0,0.0,11.11,,,,,,,42.0,7.14,21.43,1818.0,7.21,23.93,1,0.25,0,0.0,1,0.3333,0,0.0,1,0.3333,1,0.25,0,0.0,4,0,62.23,4,0,0
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,1,4,L348,盛世英雄,沙田,Turf,1000,,6,0,0,121.0,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,30.0,0.0,13.33,,,,,,,42.0,7.14,21.43,1818.0,7.21,23.93,1,0.25,0,0.0,1,0.3333,0,0.0,1,0.3333,1,0.25,0,0.0,3,0,62.61,5,0,0
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,1,5,L290,雙劍合璧,沙田,Turf,1000,,6,0,0,121.0,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,19.0,0.0,5.26,,,,,,,42.0,7.14,21.43,1818.0,7.21,23.93,1,0.25,0,0.0,1,0.3333,0,0.0,1,0.3333,1,0.25,0,0.0,5,0,61.81,2,0,1
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,1,6,L295,精英奪冠,沙田,Turf,1000,,6,0,0,121.0,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,23.0,0.0,0.0,,,,,,,42.0,7.14,21.43,1818.0,7.21,23.93,1,0.25,0,0.0,1,0.3333,0,0.0,1,0.3333,1,0.25,0,0.0,2,1,63.38,3,0,1
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,2,1,H349,同有運,沙田,Turf,1400,4,14,0,0,128.0,21.0,,,,40.0,6.0,9.6667,5.0,14.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,2.0,2.0,0.0,22.59,,,,,,,22.0,4.55,9.09,50.0,2.0,8.0,113.0,7.08,20.35,933.0,7.29,21.86,1282.0,8.19,23.71,4684.0,9.18,26.35,2,0.5,1,0.5,2,0.6667,3,1.0,3,1.0,1,0.25,3,1.0,5,0,62.99,10,0,0
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,2,2,K584,心愛的,沙田,Turf,1400,4,14,0,0,134.0,18.0,,,,39.0,6.0,9.8333,6.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,,,,0.0,0.0,0.0,0.0,2.0,0.0,23.61,,,,,,,67.0,11.94,31.34,115.0,6.09,27.83,117.0,13.68,39.32,933.0,7.29,21.86,1071.0,11.48,31.0,4684.0,9.18,26.35,2,0.5,1,0.5,2,0.6667,3,1.0,3,1.0,1,0.25,3,1.0,6,0,62.99,12,0,0
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,2,3,G095,駟跑得,沙田,Turf,1400,4,14,0,0,134.0,28.0,,,,39.0,6.0,6.3333,2.0,10.0,2.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.0,0.0,23.38,,,,,,,149.0,8.05,27.52,78.0,10.26,23.08,79.0,5.06,20.25,933.0,7.29,21.86,1071.0,11.48,31.0,4684.0,9.18,26.35,2,0.5,1,0.5,2,0.6667,3,1.0,3,1.0,1,0.25,3,1.0,11,0,57.76,8,0,0
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,2,4,J243,八里旺,沙田,Turf,1400,4,14,0,0,133.0,21.0,,,,38.0,6.0,7.0,3.0,12.0,2.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,0.0,24.22,,,,,,,,,,83.0,6.02,16.87,64.0,3.12,12.5,933.0,7.29,21.86,1071.0,11.48,31.0,4684.0,9.18,26.35,2,0.5,1,0.5,2,0.6667,3,1.0,2,0.6667,1,0.25,3,1.0,7,0,60.74,9,0,0
