split,primitive,rows,present,availability_rate
overall,weight_carried,3054,3054,100.0
overall,days_since_last,3054,2974,97.4
overall,starts,3054,2696,88.3
overall,wins,3054,2696,88.3
overall,hk_starts,3054,2458,80.5
overall,card_rating,3054,3009,98.5
overall,last6_runs,3054,3054,100.0
overall,last6_mean_finish,3054,2842,93.1
overall,last6_best_finish,3054,2842,93.1
overall,last6_worst_finish,3054,2842,93.1
overall,last6_top3_count,3054,3054,100.0
overall,last6_top5_count,3054,3054,100.0
overall,season_starts,3054,2849,93.3
overall,season_wins,3054,2849,93.3
overall,season_seconds,3054,2849,93.3
overall,season_thirds,3054,2849,93.3
overall,same_distance_starts,3054,2849,93.3
overall,same_distance_wins,3054,2849,93.3
overall,same_distance_seconds,3054,2849,93.3
overall,same_distance_thirds,3054,2849,93.3
overall,same_venue_distance_starts,3054,2821,92.4
overall,same_venue_distance_wins,3054,2821,92.4
overall,same_venue_distance_seconds,3054,2821,92.4
overall,same_venue_distance_thirds,3054,2821,92.4
overall,tw_entries_count,3054,2352,77.0
overall,tw_gallop_count,3054,2352,77.0
overall,tw_flags_count,3054,2352,77.0
overall,tw_confidence_high,3054,3054,100.0
overall,tw_confidence_low,3054,3054,100.0
overall,tw_jockey_present,3054,3054,100.0
overall,raw_formline_higher_win_count,3054,2460,80.6
overall,raw_formline_same_win_count,3054,2460,80.6
overall,raw_formline_lower_win_count,3054,2460,80.6
overall,raw_l400,3054,2591,84.8
overall,raw_finish_time_adj,3054,1897,62.1
overall,raw_total_starts,3054,2214,72.5
overall,raw_total_wins,3054,2214,72.5
overall,raw_last_margin,3054,1848,60.5
overall,raw_last_finish,3054,2120,69.4
overall,raw_weight_trend_span,3054,1354,44.3
overall,prior_combo_starts,3054,2583,84.6
overall,prior_combo_win_rate,3054,2583,84.6
overall,prior_combo_place_rate,3054,2583,84.6
overall,prior_jockey_cd_starts,3054,2526,82.7
overall,prior_jockey_cd_win_rate,3054,2526,82.7
overall,prior_jockey_cd_place_rate,3054,2526,82.7
overall,prior_trainer_cd_starts,3054,2685,87.9
overall,prior_trainer_cd_win_rate,3054,2685,87.9
overall,prior_trainer_cd_place_rate,3054,2685,87.9
overall,prior_class_distance_starts,3054,1805,59.1
overall,prior_class_distance_win_rate,3054,1805,59.1
overall,prior_class_distance_place_rate,3054,1805,59.1
overall,prior_weight_class_starts,3054,2157,70.6
overall,prior_weight_class_win_rate,3054,2157,70.6
overall,prior_weight_class_place_rate,3054,2157,70.6
overall,prior_rest_bucket_starts,3054,2974,97.4
overall,prior_rest_bucket_win_rate,3054,2974,97.4
overall,prior_rest_bucket_place_rate,3054,2974,97.4
archive_development,weight_carried,1093,1093,100.0
archive_development,days_since_last,1093,1013,92.7
archive_development,starts,1093,735,67.2
archive_development,wins,1093,735,67.2
archive_development,hk_starts,1093,497,45.5
archive_development,card_rating,1093,1067,97.6
archive_development,last6_runs,1093,1093,100.0
archive_development,last6_mean_finish,1093,957,87.6
archive_development,last6_best_finish,1093,957,87.6
archive_development,last6_worst_finish,1093,957,87.6
archive_development,last6_top3_count,1093,1093,100.0
archive_development,last6_top5_count,1093,1093,100.0
