meeting,race_number,baseline_hits,pair_type,boundary_label,rank2_number,rank2_name,rank2_is_top3,rank3_number,rank3_name,rank3_is_top3,distance_num,race_class_num,gap_official_pure_total,gap_official_sectional,weighted_gap_official_sectional,gap_official_trainer_signal,weighted_gap_official_trainer_signal,gap_official_stability,weighted_gap_official_stability,gap_official_race_shape,weighted_gap_official_race_shape,gap_official_class_advantage,weighted_gap_official_class_advantage,gap_official_horse_health,weighted_gap_official_horse_health,gap_official_form_line,weighted_gap_official_form_line,gap_rebuilt_speed_engine,reliability_rank2_speed_engine,reliability_rank3_speed_engine,gap_rebuilt_stability,reliability_rank2_stability,reliability_rank3_stability,gap_rebuilt_distance_context,reliability_rank2_distance_context,reliability_rank3_distance_context,gap_rebuilt_class_weight,reliability_rank2_class_weight,reliability_rank3_class_weight,gap_rebuilt_trainer_signal,reliability_rank2_trainer_signal,reliability_rank3_trainer_signal,gap_rebuilt_readiness_risk,reliability_rank2_readiness_risk,reliability_rank3_readiness_risk,gap_rebuilt_form_line,reliability_rank2_form_line,reliability_rank3_form_line
2026-04-12_ShaTin,1,2,rank2_protect,rank2_better,6,精英奪冠,1,4,盛世英雄,0,1000,0,-0.7657,0.0,0.0,8.25,1.8224,0.0,0.0,-10.11,-2.5882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.4375,5.0961,0.5349,0.6,0.0,0.5,0.5,0.0,0.0,0.0
2026-04-12_ShaTin,2,2,rank2_protect,rank2_better,12,劍無情,1,8,迅意,0,1400,4,-0.2173,0.0,0.0,6.075,1.342,-5.7258,-0.5262,0.0,0.0,-8.7925,-1.1738,-4.6,-0.1739,4.2,0.3146,5.5203,0.65,0.65,-2.8461,1.0,1.0,0.0,0.2,0.0,2.3557,0.875,0.875,-1.5613,0.6305,0.6472,-1.0,0.5,0.5,4.75,0.5,0.625
2026-04-12_ShaTin,3,2,rank2_protect,rank2_better,11,極速之子,1,13,同寶寶,0,1600,4,-0.6254,0.0,0.0,8.95,1.9771,-17.0932,-1.5709,0.0,0.0,-6.0,-0.801,-0.55,-0.0208,-2.8,-0.2097,-0.3,0.65,0.65,-12.8076,1.0,1.0,0.0,0.0,0.0,-1.8509,0.875,0.875,-4.7071,0.6004,0.6753,-0.5,0.5,0.5,-3.7333,0.4,0.6667
2026-04-12_ShaTin,4,0,rank3_rescue,rank3_better,7,龍傲綾羅,0,3,醒目先駒,1,1400,4,-4.4176,0.0,0.0,-25.5,-5.633,-10.3578,-0.9519,10.0,2.56,-2.5,-0.3337,-2.95,-0.1115,0.7,0.0524,-5.6524,0.65,0.65,-1.5962,1.0,1.0,0.0,0.0,0.0,3.0288,0.875,0.875,-15.3498,0.7602,0.6391,0.5,0.5,0.5,2.75,0.5,0.625
2026-04-12_ShaTin,5,0,rank3_rescue,rank3_better,4,龍之悅,0,5,輝灑自如,1,1200,4,-1.6671,0.0,0.0,-2.85,-0.6296,-22.4,-2.0586,2.64,0.6758,1.0,0.1335,5.6,0.2117,0.0,0.0,-3.2403,0.65,0.0,-2.4625,0.25,0.0,2.0,0.2,0.0,0.5966,0.875,0.875,0.8365,0.7175,0.0,0.0,0.5,0.5,0.0,0.0,0.0
2026-04-12_ShaTin,6,2,rank2_protect,rank2_better,10,應龍飛影,1,7,笑必勝,0,1200,4,-1.9957,0.0,0.0,-3.325,-0.7345,3.5273,0.3242,-5.22,-1.3363,1.5,0.2003,-4.95,-0.1871,-3.5,-0.2621,-1.1837,0.65,0.0,-0.6205,0.75,0.0,0.0,0.0,0.0,1.9886,0.875,0.875,11.4167,0.8165,0.8131,-1.5,0.5,0.5,-5.0,0.5,0.0
2026-04-12_ShaTin,7,0,rank3_rescue,rank3_better,9,盛勢威楓,0,2,自動自覺,1,1400,4,-0.2122,0.0,0.0,-0.9,-0.1988,-30.2843,-2.7831,10.0,2.56,0.0,0.0,0.0,0.0,2.8,0.2097,-5.2448,0.65,0.65,-7.2436,1.0,1.0,-4.0,0.2,0.2,7.5721,0.875,0.875,-15.6659,0.7634,0.8347,0.0,0.5,0.5,2.7429,0.4,0.5714
2026-04-12_ShaTin,8,1,both_missed,neutral,4,安都,0,11,金滙千帥,0,1600,4,-4.6207,0.0,0.0,-11.56,-2.5536,-20.3483,-1.87,0.0,0.0,-3.455,-0.4612,5.6,0.2117,0.7,0.0524,-1.4007,0.65,0.65,-5.8182,1.0,1.0,3.3333,0.3333,0.0,-4.5738,0.875,0.875,-4.3892,0.7454,0.6487,0.0,0.5,0.5,1.25,0.5,0.625
2026-04-12_ShaTin,9,2,rank2_protect,rank2_better,5,亨驥,1,3,川河帥駒,0,1400,4,-1.5909,0.0,0.0,15.625,3.4516,-13.7633,-1.2648,-10.0,-2.56,-10.455,-1.3957,0.55,0.0208,2.1,0.1573,-4.4102,0.65,0.65,-11.1864,1.0,1.0,0.0,0.2,0.0,2.1875,0.875,0.875,5.9629,0.5572,0.4614,0.5,0.5,0.5,6.25,0.5,0.625
2026-04-12_ShaTin,11,1,both_missed,neutral,11,閃耀天河,0,12,巴基之勝,0,1200,4,-1.3753,0.0,0.0,-9.45,-2.0875,-1.7531,-0.1611,3.33,0.8525,0.0,0.0,0.55,0.0208,0.0,0.0,2.5609,0.65,0.65,-7.9091,1.0,1.0,2.8572,0.3333,0.3333,0.0,0.875,0.875,1.6439,0.5659,0.7418,0.5,0.5,0.5,-0.9643,0.625,0.5714
