meeting,meeting_name,date,race_number,venue,track,course,distance,distance_num,race_class,race_class_label,race_class_num,field_size,horse_number,horse_name,horse_id,jockey,trainer,finish_pos,is_win,is_top3,is_top4,barrier,weight,weight_carried,days_since_last,base_rating,final_rating,starts,wins,hk_starts,is_debut,is_import,is_foreign_runner,current_live_recomputed_ability,card_age,card_rating,card_rating_change,card_declared_bodyweight,card_priority_rank,card_has_claim,card_claim_lbs,card_gear_count,card_gear_first_time,card_gear_tt,card_gear_cp,card_gear_blinkers,last6_runs,last6_mean_finish,last6_best_finish,last6_worst_finish,last6_top3_count,last6_top5_count,current_live_ability,current_live_rank,current_live_rank_score,current_live_grade,current_live_model_pick_status,stored_feature_score_count,stored_matrix_score_count,season_starts,season_wins,season_seconds,season_thirds,same_distance_starts,same_distance_wins,same_distance_seconds,same_distance_thirds,same_venue_distance_starts,same_venue_distance_wins,same_venue_distance_seconds,same_venue_distance_thirds,tw_entries_count,tw_gallop_count,tw_flags_count,tw_confidence_high,tw_confidence_low,tw_jockey_present,tw_mode_barrier_trial,raw_formline_higher_win_count,raw_formline_same_win_count,raw_formline_lower_win_count,raw_l400,raw_finish_time_adj,raw_total_starts,raw_total_wins,raw_last_margin,raw_last_finish,raw_weight_trend_span,flag_best_distance_match,flag_best_distance_unproven,flag_engine_progressive,flag_engine_steady,flag_engine_fastslow,flag_running_style_front,flag_running_style_back,flag_draw_good,flag_draw_bad,flag_position_up,flag_position_down,flag_finish_competitive,flag_finish_slow,flag_energy_up,flag_energy_down,flag_l400_up,flag_l400_down,flag_trackwork_slowing,flag_medical_issue,flag_margin_narrowing,flag_margin_widening,flag_scenario_drop_class,flag_scenario_hot_pace,flag_hidden_form,flag_forgiveness,flag_track_bias_positive,flag_track_bias_negative,trend_forensic_wave,prior_combo_starts,prior_combo_win_rate,prior_combo_place_rate,prior_combo_roi,prior_jockey_cd_starts,prior_jockey_cd_win_rate,prior_jockey_cd_place_rate,prior_jockey_cd_roi,prior_trainer_cd_starts,prior_trainer_cd_win_rate,prior_trainer_cd_place_rate,prior_trainer_cd_roi,prior_class_distance_starts,prior_class_distance_win_rate,prior_class_distance_place_rate,prior_class_distance_roi,prior_draw_class_starts,prior_draw_class_win_rate,prior_draw_class_place_rate,prior_draw_class_roi,prior_weight_class_starts,prior_weight_class_win_rate,prior_weight_class_place_rate,prior_weight_class_roi,prior_rest_bucket_starts,prior_rest_bucket_win_rate,prior_rest_bucket_place_rate,prior_rest_bucket_roi,prior_runstyle_cd_starts,prior_runstyle_cd_win_rate,prior_runstyle_cd_place_rate,prior_runstyle_cd_roi,prior_horse_cd_starts,prior_horse_cd_win_rate,prior_horse_cd_place_rate,prior_horse_cd_roi,prior_horse_rest_starts,prior_horse_rest_win_rate,prior_horse_rest_place_rate,prior_horse_rest_roi,prior_horse_style_starts,prior_horse_style_win_rate,prior_horse_style_place_rate,prior_horse_style_roi,prior_combo_place_edge,prior_combo_win_edge,prior_jockey_cd_place_edge,prior_jockey_cd_win_edge,prior_trainer_cd_place_edge,prior_trainer_cd_win_edge,prior_draw_class_place_edge,prior_draw_class_win_edge,prior_weight_class_place_edge,prior_weight_class_win_edge,prior_rest_bucket_place_edge,prior_rest_bucket_win_edge,prior_runstyle_cd_place_edge,prior_runstyle_cd_win_edge,prior_horse_cd_place_edge,prior_horse_cd_win_edge,prior_horse_rest_place_edge,prior_horse_rest_win_edge,prior_horse_style_place_edge,prior_horse_style_win_edge,feat_form_score,feat_speed_score,feat_class_score,feat_jockey_score,feat_trainer_score,feat_draw_score,feat_distance_score,feat_track_going_score,feat_weight_score,feat_consistency_score,feat_risk_score,feat_confidence_score,feat_formline_strength_score,feat_margin_trend_score,feat_same_distance_signal_score,feat_trackwork_trend_score,feat_race_shape_context_score,matrix_stability,matrix_sectional,matrix_race_shape,matrix_trainer_signal,matrix_horse_health,matrix_form_line,matrix_class_advantage
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-04-12_ShaTin,2026-04-12_ShaTin,2026-04-12,1,沙田,Turf,C,1000,1000.0,GR,Unknown,,6,1,嘉應感恩,L114,梁家俊,未知,6,0,0,0,2,126.0,126.0,0.0,,,,,,0,0,0,64.08,3.0,,,1014.0,1.0,0,0.0,1.0,1,1,0,0,0,,,,0,0,61.71,6,61.71,C+,NO_PICK,12,7,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,21.0,14.29,33.33,36.67,,,,,,,,,,,,,42.0,7.14,21.43,0.0,1818.0,7.21,23.93,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,60.0,75.0,60.0,60.0,64.0,60.0,62.0,66.0,60.0,60.0,60.0,60.0,75.0,60.0,60.0,75.0,60.0,63.1,60.0,61.0
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-04-12_ShaTin,2026-04-12_ShaTin,2026-04-12,1,沙田,Turf,C,1000,1000.0,GR,Unknown,,6,2,通情達理,L183,潘頓,未知,1,1,1,1,4,126.0,126.0,0.0,,,,,,0,0,0,67.12,3.0,,,1061.0,1.0,0,0.0,1.0,0,0,0,0,0,,,,0,0,68.49,1,68.49,B,NO_PICK,12,7,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,31.0,32.26,64.52,-6.13,,,,,,,,,,,,,42.0,7.14,21.43,0.0,1818.0,7.21,23.93,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,60.0,85.0,60.0,75.0,60.0,60.0,64.0,60.0,62.0,66.0,60.0,60.0,60.0,60.0,75.0,60.0,60.0,75.0,73.75,63.1,60.0,61.0
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-04-12_ShaTin,2026-04-12_ShaTin,2026-04-12,1,沙田,Turf,C,1000,1000.0,GR,Unknown,,6,3,銀騎士,L236,希威森,未知,4,0,0,1,3,126.0,126.0,0.0,,,,,,0,0,0,64.08,3.0,,,1102.0,1.0,0,0.0,1.0,0,0,0,0,0,,,,0,0,62.23,4,62.23,C+,NO_PICK,12,7,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,27.0,0.0,11.11,-100.0,,,,,,,,,,,,,42.0,7.14,21.43,0.0,1818.0,7.21,23.93,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,60.0,75.0,60.0,60.0,64.0,60.0,62.0,66.0,60.0,60.0,60.0,60.0,75.0,60.0,60.0,75.0,60.0,63.1,60.0,61.0
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-04-12_ShaTin,2026-04-12_ShaTin,2026-04-12,1,沙田,Turf,C,1000,1000.0,GR,Unknown,,6,4,盛世英雄,L348,田泰安,未知,5,0,0,0,5,121.0,121.0,0.0,,,,,,0,0,0,63.35,2.0,,,906.0,3.0,0,0.0,1.0,0,0,0,0,0,,,,0,0,62.61,3,62.61,C+,NO_PICK,12,7,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,30.0,0.0,13.33,-100.0,,,,,,,,,,,,,42.0,7.14,21.43,0.0,1818.0,7.21,23.93,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,60.0,75.0,60.0,65.0,60.0,60.0,64.0,60.0,62.0,66.0,60.0,60.0,60.0,60.0,65.0,60.0,60.0,65.0,68.25,63.1,60.0,61.0
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-04-12_ShaTin,2026-04-12_ShaTin,2026-04-12,1,沙田,Turf,C,1000,1000.0,GR,Unknown,,6,5,雙劍合璧,L290,班德禮,未知,2,0,1,1,6,121.0,121.0,0.0,,,,,,0,0,0,61.52,2.0,,,1020.0,2.0,0,0.0,1.0,0,0,0,0,0,,,,0,0,61.81,5,61.81,C+,NO_PICK,12,7,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,19.0,0.0,5.26,-100.0,,,,,,,,,,,,,42.0,7.14,21.43,0.0,1818.0,7.21,23.93,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,60.0,65.0,60.0,60.0,64.0,60.0,62.0,66.0,60.0,60.0,60.0,60.0,65.0,60.0,60.0,65.0,60.0,63.1,60.0,61.0
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-04-12_ShaTin,2026-04-12_ShaTin,2026-04-12,1,沙田,Turf,C,1000,1000.0,GR,Unknown,,6,6,精英奪冠,L295,楊明綸,未知,3,0,1,1,1,121.0,121.0,0.0,,,,,,0,0,0,64.08,2.0,,,1125.0,1.0,0,0.0,1.0,0,0,0,0,0,,,,0,0,63.38,2,63.38,C+,NO_PICK,12,7,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,23.0,0.0,0.0,-100.0,,,,,,,,,,,,,42.0,7.14,21.43,0.0,1818.0,7.21,23.93,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,60.0,75.0,60.0,60.0,64.0,60.0,62.0,66.0,60.0,60.0,60.0,60.0,75.0,60.0,60.0,75.0,60.0,63.1,60.0,61.0
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-04-12_ShaTin,2026-04-12_ShaTin,2026-04-12,2,沙田,Turf,C,1400,1400.0,C4,Class 4,4.0,14,1,同有運,H349,黃寶妮,伍鵬志,10,0,0,0,6,128.0,128.0,21.0,,,,,,0,0,0,63.17,6.0,40.0,0.0,1063.0,1.0,1,7.0,2.0,0,1,0,1,6,9.6667,5.0,14.0,0,2,62.99,5,62.99,C+,NO_PICK,12,7,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0,0,0,0,2.0,2.0,0.0,22.59,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22.0,4.5,9.1,0.0,50.0,2.0,8.0,-85.8,113.0,7.08,20.35,-11.06,933.0,7.29,21.86,0.0,202.0,4.95,20.3,0.0,1282.0,8.19,23.71,0.0,4684.0,9.18,26.35,0.0,,,,,,,,,,,,,,,,,-12.76,-2.79,-13.86,-5.29,-1.51,-0.21,-1.56,-2.34,1.85,0.9,4.49,1.89,,,,,,,,,52.24,60.0,54.45,70.0,75.0,65.0,54.0,60.0,64.0,38.0,65.0,66.0,68.0,60.0,54.0,60.0,65.0,47.32,60.0,65.0,72.25,64.75,68.0,56.84
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-04-12_ShaTin,2026-04-12_ShaTin,2026-04-12,2,沙田,Turf,C,1400,1400.0,C4,Class 4,4.0,14,2,心愛的,K584,艾兆禮,蔡約翰,12,0,0,0,7,134.0,134.0,18.0,,,,,,0,0,0,62.84,4.0,39.0,-2.0,1133.0,1.0,0,0.0,1.0,0,0,0,0,6,9.8333,6.0,12.0,0,0,62.99,6,62.99,C+,NO_PICK,12,7,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,,,,0,0,0,0,0.0,2.0,0.0,23.61,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,67.0,11.9,31.3,0.0,115.0,6.09,27.83,-45.83,117.0,13.68,39.32,-40.34,933.0,7.29,21.86,0.0,204.0,6.37,21.57,0.0,1071.0,11.48,31.0,0.0,4684.0,9.18,26.35,0.0,,,,,,,,,,,,,,,,,9.44,4.61,5.97,-1.2,17.46,6.39,-0.29,-0.92,9.14,4.19,4.49,1.89,,,,,,,,,40.0,60.0,54.45,76.1,80.9,65.0,54.0,60.0,54.0,33.0,65.0,66.0,62.0,60.0,54.0,60.0,65.0,39.2,60.0,65.0,78.26,61.25,62.0,54.34
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-04-12_ShaTin,2026-04-12_ShaTin,2026-04-12,2,沙田,Turf,C,1400,1400.0,C4,Class 4,4.0,14,3,駟跑得,G095,霍宏聲,廖康銘,8,0,0,0,9,134.0,134.0,28.0,,,,,,0,0,0,57.73,8.0,39.0,-2.0,1176.0,1.0,0,0.0,2.0,0,1,0,1,6,6.3333,2.0,10.0,2,2,57.76,11,57.76,C,NO_PICK,12,7,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,0.0,3.0,0.0,23.38,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,149.0,8.1,27.5,0.0,78.0,10.26,23.08,-2.31,79.0,5.06,20.25,-61.65,933.0,7.29,21.86,0.0,204.0,6.37,21.57,0.0,1071.0,11.48,31.0,0.0,4684.0,9.18,26.35,0.0,,,,,,,,,6.0,0.0,16.67,-100.0,,,,,5.64,0.81,1.22,2.97,-1.61,-2.23,-0.29,-0.92,9.14,4.19,4.49,1.89,,,,,-5.19,-7.29,,,47.24,60.0,60.0,60.0,70.0,49.06,60.0,60.0,54.0,62.0,64.0,66.0,63.0,60.0,60.0,60.0,49.06,54.42,60.0,49.06,64.5,60.7,63.0,58.5
/Users/imac/Library/CloudStorage/GoogleDrive-kelvin1761@gmail.com/我的雲端硬碟/Antigravity Shared/Antigravity/Wong Choi Horse Race Analysis/HK_Racing/2026-04-12_ShaTin,2026-04-12_ShaTin,2026-04-12,2,沙田,Turf,C,1400,1400.0,C4,Class 4,4.0,14,4,八里旺,J243,班德禮,鄭俊偉,9,0,0,0,5,133.0,133.0,21.0,,,,,,0,0,0,60.98,5.0,38.0,-2.0,1261.0,1.0,0,0.0,2.0,0,1,1,0,6,7.0,3.0,12.0,2,3,60.74,7,60.74,C+,NO_PICK,12,7,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,0,0,0,1.0,1.0,0.0,24.22,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,,,,,83.0,6.02,16.87,5.78,64.0,3.12,12.5,-69.38,933.0,7.29,21.86,0.0,202.0,4.95,20.3,0.0,1071.0,11.48,31.0,0.0,4684.0,9.18,26.35,0.0,,,,,,,,,3.0,0.0,0.0,-100.0,,,,,,,-4.99,-1.27,-9.36,-4.17,-1.56,-2.34,9.14,4.19,4.49,1.89,,,,,-21.86,-7.29,,,52.72,60.0,60.0,60.0,60.0,65.0,60.0,60.0,54.0,57.0,65.0,66.0,64.0,60.0,60.0,60.0,65.0,55.16,60.0,65.0,60.0,61.25,64.0,58.5
