dataset,dimension,label,eligibility,weight,horses,races,top3_auc,winner_auc,top3_mean_race_delta,winner_mean_race_delta,neutral_60_rate,top2_actual_top3_hits,hits_per_race,winner_top2_rate
overall,pure_matrix_total,純矩陣總分,總分審核,,3054,245,0.689,0.697,2.3768,2.5952,0.0,225,0.918,38.8
overall,sectional,Stored段速矩陣（含going；只審核）,只審核,0.1849,3054,245,0.5896,0.5938,2.0604,2.1013,29.7,169,0.69,24.5
overall,speed_only,Speed-only段速代理,可研究,,3054,245,0.5911,0.597,2.8517,2.9229,30.5,173,0.706,24.9
overall,trainer_signal,騎練訊號,可研究,0.2209,3054,245,0.636,0.665,3.2165,3.9323,4.1,189,0.771,34.7
overall,stability,狀態與穩定性,可研究,0.0919,3054,245,0.6718,0.6549,6.2567,5.6961,3.8,205,0.837,28.2
overall,race_shape,走位矩陣（含檔位；只審核）,只審核,0.256,3054,245,0.5653,0.5876,1.6065,2.3073,0.1,153,0.624,22.9
overall,class_advantage,級數優勢,可研究,0.1335,3054,245,0.629,0.5984,2.0974,1.7688,0.2,170,0.694,18.8
overall,horse_health,健康／新鮮感,可研究,0.0378,3054,245,0.4978,0.4794,0.0029,-0.1499,0.0,105,0.429,12.2
overall,form_line,賽績線,可研究,0.0749,3054,245,0.521,0.5077,0.6952,0.4861,10.3,134,0.547,18.0
overall,distance_context,路程context（矩陣外診斷）,矩陣外context,,3054,245,0.5975,0.6059,1.9079,2.2347,24.3,163,0.665,23.7
archive,pure_matrix_total,純矩陣總分,總分審核,,1580,127,0.7071,0.6992,2.5744,2.626,0.0,131,1.031,44.1
archive,sectional,Stored段速矩陣（含going；只審核）,只審核,0.1849,1580,127,0.5584,0.5509,1.2146,1.0191,54.6,86,0.677,21.3
archive,speed_only,Speed-only段速代理,可研究,,1580,127,0.5563,0.5523,1.8729,1.6495,55.4,84,0.661,19.7
archive,trainer_signal,騎練訊號,可研究,0.2209,1580,127,0.6322,0.6504,3.539,4.1128,5.1,97,0.764,35.4
archive,stability,狀態與穩定性,可研究,0.0919,1580,127,0.6726,0.6604,6.7224,6.3798,7.4,111,0.874,31.5
archive,race_shape,走位矩陣（含檔位；只審核）,只審核,0.256,1580,127,0.5898,0.6019,2.4037,2.6804,0.0,95,0.748,27.6
archive,class_advantage,級數優勢,可研究,0.1335,1580,127,0.6423,0.6122,2.1682,1.979,0.2,92,0.724,24.4
archive,horse_health,健康／新鮮感,可研究,0.0378,1580,127,0.5046,0.501,0.1045,0.0734,0.0,54,0.425,17.3
archive,form_line,賽績線,可研究,0.0749,1580,127,0.5378,0.4928,0.8634,0.4612,7.8,74,0.583,19.7
archive,distance_context,路程context（矩陣外診斷）,矩陣外context,,1580,127,0.5936,0.6132,1.6918,2.1977,31.1,87,0.685,22.0
external_2026_07_15,pure_matrix_total,純矩陣總分,總分審核,,107,9,0.6083,0.5816,1.7524,0.7926,0.0,8,0.889,22.2
external_2026_07_15,sectional,Stored段速矩陣（含going；只審核）,只審核,0.1849,107,9,0.5229,0.3878,1.8346,-2.7837,0.9,3,0.333,11.1
external_2026_07_15,speed_only,Speed-only段速代理,可研究,,107,9,0.5083,0.3724,1.0707,-3.2029,0.9,3,0.333,11.1
external_2026_07_15,trainer_signal,騎練訊號,可研究,0.2209,107,9,0.5875,0.5408,1.0419,0.1394,0.0,5,0.556,11.1
external_2026_07_15,stability,狀態與穩定性,可研究,0.0919,107,9,0.5708,0.4694,2.2827,-1.4875,0.0,6,0.667,11.1
external_2026_07_15,race_shape,走位矩陣（含檔位；只審核）,只審核,0.256,107,9,0.5542,0.5918,1.8755,5.1392,0.9,7,0.778,33.3
external_2026_07_15,class_advantage,級數優勢,可研究,0.1335,107,9,0.5646,0.5,1.0679,0.7038,0.9,3,0.333,0.0
external_2026_07_15,horse_health,健康／新鮮感,可研究,0.0378,107,9,0.5188,0.5255,0.0427,0.7633,0.0,5,0.556,22.2
external_2026_07_15,form_line,賽績線,可研究,0.0749,107,9,0.5833,0.5153,4.8395,-0.1889,19.6,4,0.444,0.0
external_2026_07_15,distance_context,路程context（矩陣外診斷）,矩陣外context,,107,9,0.575,0.6429,1.5185,3.7657,19.6,2,0.222,11.1
independent_recent,pure_matrix_total,純矩陣總分,總分審核,,1367,109,0.6744,0.7035,2.198,2.7082,0.0,86,0.789,33.9
independent_recent,sectional,Stored段速矩陣（含going；只審核）,只審核,0.1849,1367,109,0.6308,0.6594,3.0645,3.7656,3.1,80,0.734,29.4
independent_recent,speed_only,Speed-only段速代理,可研究,,1367,109,0.6377,0.6661,4.1392,4.9124,4.0,86,0.789,32.1
independent_recent,trainer_signal,騎練訊號,可研究,0.2209,1367,109,0.6441,0.6916,3.0204,4.0351,3.2,87,0.798,35.8
independent_recent,stability,狀態與穩定性,可研究,0.0919,1367,109,0.6787,0.663,6.0422,5.4926,0.0,88,0.807,25.7
independent_recent,race_shape,走位矩陣（含檔位；只審核）,只審核,0.256,1367,109,0.5378,0.5707,0.6554,1.6388,0.1,51,0.468,16.5
independent_recent,class_advantage,級數優勢,可研究,0.1335,1367,109,0.6186,0.5902,2.0998,1.6118,0.2,75,0.688,13.8
independent_recent,horse_health,健康／新鮮感,可研究,0.0378,1367,109,0.4883,0.4507,-0.1187,-0.4853,0.0,46,0.422,5.5
independent_recent,form_line,賽績線,可研究,0.0749,1367,109,0.4968,0.5242,0.157,0.5709,12.4,56,0.514,17.4
independent_recent,distance_context,路程context（矩陣外診斷）,矩陣外context,,1367,109,0.6037,0.5946,2.1918,2.1514,16.8,74,0.679,26.6
