dataset,split,meeting,date,venue,race_number,actual_top3,winner,stored_top2,current_top2,shadow_top2,stored_hits,current_hits,shadow_hits,stored_winner_top2,current_winner_top1,current_winner_top2,shadow_winner_top1,shadow_winner_top2,top2_changed,entered_top2,exited_top2,hit_delta,winner_delta,zero_to_positive,one_to_two,one_to_zero,two_to_one_or_zero,current_rank3,current_rank3_is_top3,current_rank3_promoted,effective_rank3_rescue,harmful_rank3_promotion,effective_replacement,harmful_replacement,field_size
independent_recent,independent_recent,2026-05-27_HappyValley,2026-05-27,HappyValley,1,9/10/11,9,8/2,2/10,2/10,0,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,9,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-05-27_HappyValley,2026-05-27,HappyValley,2,7/8/9,7,1/7,1/12,1/12,1,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,6,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-05-27_HappyValley,2026-05-27,HappyValley,3,1/2/3,3,1/8,1/10,1/10,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,3,1,0,0,0,0,0,12
independent_recent,independent_recent,2026-05-27_HappyValley,2026-05-27,HappyValley,4,5/9/11,5,1/5,5/2,5/2,1,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-05-27_HappyValley,2026-05-27,HappyValley,5,2/5/6,2,2/9,2/8,2/8,1,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,9,0,0,0,0,0,0,10
independent_recent,independent_recent,2026-05-27_HappyValley,2026-05-27,HappyValley,7,6/9/12,9,11/3,3/11,3/11,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,10,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-05-27_HappyValley,2026-05-27,HappyValley,8,1/2/3,3,1/2,2/1,2/1,2,2,2,0,0,0,0,0,0,,,0,0,0,0,0,0,10,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-05-27_HappyValley,2026-05-27,HappyValley,9,1/5/12,1,7/9,7/9,7/9,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,11,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-03_HappyValley,2026-06-03,HappyValley,1,3/6/12,3,3/9,3/9,3/9,1,1,1,1,1,1,1,1,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,12
independent_recent,independent_recent,2026-06-03_HappyValley,2026-06-03,HappyValley,2,3/4/12,4,2/3,2/4,2/4,1,1,1,0,0,1,0,1,0,,,0,0,0,0,0,0,3,1,0,0,0,0,0,12
