dataset,split,source_mode,meeting,date,race_number,horse_number,horse_id,horse_name,venue,track,distance_num,race_class_num,field_size,is_debut,is_import,raw_speed_engine,reliability_speed_engine,dim_speed_engine,raw_stability,reliability_stability,dim_stability,raw_distance_context,reliability_distance_context,dim_distance_context,raw_class_weight,reliability_class_weight,dim_class_weight,raw_trainer_signal,reliability_trainer_signal,dim_trainer_signal,raw_readiness_risk,reliability_readiness_risk,dim_readiness_risk,raw_form_line,reliability_form_line,dim_form_line,rebuild_reliability_mean,rebuild_uncertainty,supported_upside_count
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,1,1,L114,嘉應感恩,沙田,Turf,1000,,6,0,0,60.0,0.0,60.0,60.0,0.0,60.0,60.0,0.0,60.0,54.0,0.4375,57.375,63.4133,0.5122,63.4133,59.0,0.5,59.5,60.0,0.0,60.0,0.2071,0.7929,0
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,1,2,L183,通情達理,沙田,Turf,1000,,6,0,0,60.0,0.0,60.0,60.0,0.0,60.0,60.0,0.0,60.0,54.0,0.4375,57.375,79.2176,0.6078,79.2176,59.0,0.5,59.5,60.0,0.0,60.0,0.2208,0.7792,1
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,1,3,L236,銀騎士,沙田,Turf,1000,,6,0,0,60.0,0.0,60.0,60.0,0.0,60.0,60.0,0.0,60.0,54.0,0.4375,57.375,53.6165,0.5745,53.6165,59.0,0.5,59.5,60.0,0.0,60.0,0.216,0.784,0
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,1,4,L348,盛世英雄,沙田,Turf,1000,,6,0,0,60.0,0.0,60.0,60.0,0.0,60.0,60.0,0.0,60.0,66.0,0.4375,62.625,54.3984,0.6,54.3984,59.0,0.5,59.5,60.0,0.0,60.0,0.2196,0.7804,0
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,1,5,L290,雙劍合璧,沙田,Turf,1000,,6,0,0,60.0,0.0,60.0,60.0,0.0,60.0,60.0,0.0,60.0,66.0,0.4375,62.625,52.3065,0.4872,52.3065,59.0,0.5,59.5,60.0,0.0,60.0,0.2035,0.7965,0
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,1,6,L295,精英奪冠,沙田,Turf,1000,,6,0,0,60.0,0.0,60.0,60.0,0.0,60.0,60.0,0.0,60.0,66.0,0.4375,62.625,49.3023,0.5349,49.3023,59.0,0.5,59.5,60.0,0.0,60.0,0.2103,0.7897,0
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,11,1,K227,顏色之皇,沙田,Turf,1200,4,12,0,0,63.4577,0.65,62.2475,68.9545,1.0,68.9545,60.0,0.0,60.0,65.0,0.875,64.375,70.6425,0.6678,70.6425,61.0,0.5,60.5,78.0,0.5714,70.2857,0.6092,0.3908,4
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,11,2,J161,信心星,沙田,Turf,1200,4,12,0,0,60.7574,0.65,60.4923,62.8636,1.0,62.8636,51.4286,0.3333,57.1429,64.0909,0.875,63.5795,64.2189,0.3984,64.2189,62.0,0.5,61.0,74.0,0.5,67.0,0.6081,0.3919,1
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,11,3,J008,華麗再勝,沙田,Turf,1200,4,12,0,0,61.3028,0.65,60.8468,55.5,1.0,55.5,64.2857,0.2,60.8571,62.5,0.875,62.1875,59.4189,0.6238,59.4189,61.0,0.5,60.5,78.0,0.5,69.0,0.6213,0.3787,1
archive,archive_development,archived_materialized_prerace_snapshot,2026-04-12_ShaTin,2026-04-12,11,4,H337,自強不息,沙田,Turf,1200,4,12,0,0,57.5455,0.65,58.4045,53.0,1.0,53.0,60.0,0.0,60.0,64.3182,0.875,63.7784,59.0288,0.7445,59.0288,61.0,0.5,60.5,78.0,0.5714,70.2857,0.6201,0.3799,1
