dataset,split,meeting,race_number,horse_number,horse_name,is_debut,dim_speed_engine,dim_stability,dim_trainer_signal,score_balanced_core,score_stability_led,score_winner_guard,rank_balanced_core,rank_stability_led,rank_winner_guard
archive,archive_development,2026-04-12_ShaTin,1,1,嘉應感恩,0,60.0,60.0,63.4133,61.1377,61.024,61.536,2,2,2
archive,archive_development,2026-04-12_ShaTin,1,2,通情達理,0,60.0,60.0,79.2176,66.4052,65.7653,68.6479,1,1,1
archive,archive_development,2026-04-12_ShaTin,1,3,銀騎士,0,60.0,60.0,53.6165,57.8724,58.0849,57.1274,4,4,4
archive,archive_development,2026-04-12_ShaTin,1,4,盛世英雄,0,60.0,60.0,54.3984,58.133,58.3195,57.4793,3,3,3
archive,archive_development,2026-04-12_ShaTin,1,5,雙劍合璧,0,60.0,60.0,52.3065,57.4358,57.6919,56.5379,5,5,5
archive,archive_development,2026-04-12_ShaTin,1,6,精英奪冠,0,60.0,60.0,49.3023,56.4345,56.7907,55.186,6,6,6
archive,archive_development,2026-04-12_ShaTin,2,1,同有運,0,63.4202,53.4615,55.0472,57.3102,55.929,55.6689,14,14,14
archive,archive_development,2026-04-12_ShaTin,2,2,心愛的,0,58.95,54.5385,67.0468,60.1783,59.1733,60.829,8,9,6
archive,archive_development,2026-04-12_ShaTin,2,3,駟跑得,0,61.2287,63.7308,61.3608,62.1067,62.5194,62.289,5,4,5
archive,archive_development,2026-04-12_ShaTin,2,4,八里旺,0,57.7178,61.8846,55.6347,58.4123,59.1763,58.4471,11,8,9
archive,archive_development,2026-04-12_ShaTin,2,5,雪茄福星,0,62.1286,57.0385,67.2587,62.1419,61.1226,62.4011,4,6,4
archive,archive_development,2026-04-12_ShaTin,2,6,鑽得勝,0,60.6287,54.1154,61.5299,58.7582,57.6424,58.4289,10,12,10
archive,archive_development,2026-04-12_ShaTin,2,7,本能,0,62.4286,55.3077,59.127,58.9548,57.8777,58.0945,9,11,11
archive,archive_development,2026-04-12_ShaTin,2,8,迅意,0,64.0203,62.4231,55.8599,60.7681,60.7736,59.7092,6,7,8
