meeting,races,horses,versions,schema_versions,derived_persisted_horses,derived_reasoning_horses,going_keys,default_rate_worst3
2026-04-12_ShaTin,11,134,HKJC_AUTO_SCORE_V2,None,0,134,,speed_score=100.0%;track_going_score=100.0%;distance_score=69.4%
2026-04-15_HappyValley,9,106,HKJC_AUTO_SCORE_V2,None,0,106,,speed_score=100.0%;track_going_score=100.0%;distance_score=86.8%
2026-04-19_ShaTin,11,143,HKJC_AUTO_SCORE_V2,None,0,143,,speed_score=100.0%;track_going_score=100.0%;distance_score=67.1%
2026-04-22_HappyValley,9,108,HKJC_AUTO_SCORE_V2,None,0,108,,speed_score=100.0%;track_going_score=100.0%;trainer_score=25.0%
2026-04-26_ShaTin,11,142,HKJC_AUTO_SCORE_V2,None,0,142,,speed_score=100.0%;track_going_score=100.0%;distance_score=38.0%
2026-04-29_HappyValley,9,106,HKJC_AUTO_SCORE_V2,None,0,106,,speed_score=100.0%;track_going_score=100.0%;trainer_score=22.6%
2026-05-03_ShaTin,11,141,HKJC_AUTO_SCORE_V2,None,0,141,,speed_score=99.3%;track_going_score=99.3%;trainer_score=24.8%
2026-05-06_ShaTin,9,112,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,0,112,,track_going_score=76.8%;trainer_score=22.3%;distance_score=16.1%
2026-05-09_ShaTin,11,142,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2;None,0,142,,track_going_score=64.8%;trainer_score=19.7%;distance_score=16.2%
2026-05-13_HappyValley,9,101,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,0,101,,track_going_score=79.2%;trainer_score=16.8%;distance_score=13.9%
2026-05-17_ShaTin,11,146,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,0,146,,track_going_score=63.7%;trainer_score=19.2%;distance_score=15.1%
2026-05-20_HappyValley,9,108,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,0,108,,track_going_score=80.6%;trainer_score=21.3%;distance_score=16.7%
2026-05-24_ShaTin,11,146,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,0,146,,track_going_score=63.0%;distance_score=21.9%;class_score=9.6%
2026-05-27_HappyValley,9,106,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,0,106,,track_going_score=80.2%;distance_score=14.2%;weight_score=7.5%
2026-05-31_ShaTin,11,145,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,0,145,,track_going_score=29.7%;form_score=13.1%;distance_score=13.1%
2026-06-03_HappyValley,9,107,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,0,107,,track_going_score=100.0%;distance_score=15.9%;form_score=1.9%
2026-06-07_ShaTin,11,144,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,0,144,,track_going_score=83.3%;distance_score=16.0%;class_score=11.8%
2026-06-10_HappyValley,9,108,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,0,108,,track_going_score=100.0%;distance_score=13.0%;weight_score=9.3%
2026-06-13_ShaTin,11,135,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,0,135,,track_going_score=98.5%;distance_score=20.0%;class_score=7.4%
2026-06-21_ShaTin,11,146,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,0,146,,track_going_score=80.8%;distance_score=15.8%;weight_score=13.7%
2026-06-24_HappyValley,9,108,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,108,0,,track_going_score=100.0%;trainer_score=25.9%;jockey_score=15.7%
2026-06-27_ShaTin,11,151,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,151,0,,track_going_score=81.5%;trainer_score=41.7%;jockey_score=27.8%
2026-07-01_ShaTin,11,146,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,146,0,,track_going_score=74.0%;trainer_score=28.1%;jockey_score=21.9%
2026-07-04_ShaTin,11,131,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,131,0,,track_going_score=67.2%;distance_score=14.5%;trainer_score=13.0%
2026-07-08_HappyValley,9,104,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,104,0,,track_going_score=100.0%;distance_score=13.5%;form_score=1.9%
2026-07-12_ShaTin,11,152,HKJC_AUTO_SCORE_V2,HKJC_LOGIC_V4_2,152,0,,track_going_score=100.0%;distance_score=21.7%;weight_score=5.3%
